L= 50  beta= 0.01  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.009998999994385858
2	9998333712083995e-20
3	-9997666975282016e-22
4	9997000782753602e-24
5	-9996334134837665e-26
6	9995668031128795e-28
7	-9995001472092852e-30
8	9994335457190797e-32
9	-9993668987645103e-34
10	9993003020828454e-36
11	-9992343080496233e-38
12	9991599285100875e-40
13	-9992975826294286e-42
14	1076269759380719e-43
15	-19886553249688035e-45
16	-7308995095483593e-44
17	-28159550121662526e-45
18	5602659117111495e-45
19	-11261518596039177e-45
20	-6881715202018766e-44
21	-28695201123319774e-45
22	-3361297402919424e-44
23	8492090225063066e-45
24	3269284639949584e-44
25	-3636585419541851e-44
26	40385160535356326e-45
27	-54575683721171445e-46
28	-4205978099087136e-44
29	-1183479881976239e-44
30	-21537450444013262e-46
31	-18790867406444645e-45
32	103846653161719e-43
33	-3284174874062096e-44
34	-4457644868975067e-44
35	-21329372589481937e-46
36	2678259303184441e-44
37	-3669795327217402e-44
38	-6523708215968253e-44
39	-47592992690832773e-45
40	-5663481230076715e-44
41	4326295253315076e-45
42	-22637752508765464e-45
43	-39095013657520526e-46
44	-2843103977788078e-44
45	-14131170972557276e-45
46	19780960535438685e-45
47	-27486961476085055e-45
48	-2301972351375167e-46
49	-14891835901037142e-45

L= 50  beta= 0.1  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.09901172789326203
2	0.009835841974141177
3	-0.0009770913922140054
4	9706462622466303e-20
5	-9642388645282354e-21
6	9578785129284626e-22
7	-9515553972507802e-23
8	9452787088535785e-24
9	-9390387665821704e-25
10	9328446408930133e-26
11	-9266867779761062e-27
12	920574128976385e-27
13	-9144972657533013e-29
14	9084650217096416e-30
15	-9024680927214743e-31
16	8965151959980255e-32
17	-8905971498009041e-33
18	8847225566909703e-34
19	-878882355391048e-34
20	8730850306243301e-36
21	-8673216953824104e-37
22	8616003996136936e-38
23	-855909673556914e-38
24	8503110487528877e-40
25	-8446165592343841e-41
26	8358991262929841e-42
27	-853001324244649e-42
28	5211651215747476e-44
29	-41285341435274716e-45
30	-13121528798307622e-45
31	2449625784899754e-47
32	6081625944393293e-45
33	-10467805864196016e-46
34	15835918109124575e-45
35	-1494036928485067e-44
36	-5780583417503997e-45
37	-9728794170180433e-45
38	-15502518982269482e-45
39	-41797745655443686e-46
40	9691161857230133e-45
41	-7948171423975503e-45
42	-11902379812259954e-45
43	-7802207150991545e-45
44	-7961540911500056e-45
45	-4757203243393594e-45
46	10050071094539e-42
47	-5864547140803942e-45
48	-18103905620826046e-45
49	21152408935123516e-45

L= 50  beta= 0.3  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.2756171790529828
2	0.07813065866460411
3	-0.022150861192610068
4	0.006280273201033323
5	-0.0017805258313636678
6	0.0005048195960627617
7	-0.0001431218519152554
8	4057830231889838e-20
9	-11504390520402383e-21
10	3261756540210067e-21
11	-9247434928685338e-22
12	26218582640526063e-23
13	-7433253644216376e-23
14	21074965810717965e-24
15	-5974982269717188e-24
16	16940434576978831e-25
17	-4802797648538641e-25
18	1361702439920197e-25
19	-3860574678140553e-26
20	10945607838210026e-27
21	-31031989969502624e-28
22	8798275411396409e-28
23	-2494406873981524e-28
24	7072211188176531e-29
25	-2005048873462937e-29
26	5684769884037013e-30
27	-16116941574001777e-31
28	4569519740654439e-31
29	-12955085990052688e-32
30	367306172213382e-31
31	-10413529901982296e-33
32	2952472728099191e-33
33	-8370581645836662e-34
34	2373250402575736e-34
35	-6728423288174888e-35
36	19076611278415433e-36
37	-5408427025049089e-36
38	15334121520735224e-37
39	-434739030254545e-36
40	12325841195266384e-38
41	-3494513792121487e-38
42	9907697381427377e-39
43	-2808922965606614e-39
44	796425324993173e-39
45	-2257459104332928e-40
46	6401967168140911e-41
47	-1813566280345776e-41
48	5167298284235351e-42
49	-14748252595778937e-43

L= 50  beta= 0.5  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.40356854406017806
2	0.17472092476655948
3	-0.07572106506117572
4	0.032820450626035134
5	-0.014224193324736217
6	0.0061653216572546
7	-0.0026720147586122463
8	0.0011581556921720394
9	-0.0005019379805819863
10	0.0002175595503186552
11	-9428905118833588e-20
12	40868562193126093e-21
13	-1771219855426846e-20
14	7677159533043125e-21
15	-33272365526215034e-22
16	14421544417755033e-22
17	-6250213965918266e-22
18	2709087163007466e-22
19	-11741027126243973e-23
20	5089020318612028e-23
21	-22055519815944182e-24
22	9559724824244967e-24
23	-4143129464918426e-24
24	17957943374886647e-25
25	-7782868826635583e-25
26	3373399717926572e-25
27	-14620119329002961e-26
28	6336931473356498e-26
29	-27463894606930666e-27
30	11903925966620014e-27
31	-5159092685955773e-27
32	2236152529257523e-27
33	-9691355768444422e-28
34	42006125946400007e-29
35	-1820521210759334e-28
36	7890850887576354e-29
37	-34198491501222374e-30
38	14822963633784574e-30
39	-64241867331572885e-31
40	27844937639669418e-31
41	-12067834974826238e-31
42	5230671620823786e-31
43	-226694283694883e-30
44	982581679976134e-31
45	-42584521885246766e-33
46	1845779712008262e-32
47	-7999500220724245e-33
48	34671562311906056e-34
49	-14942285489805021e-34

L= 50  beta= 1.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.5374257815370713
2	0.35019175744333847
3	-0.23066163494557573
4	0.15210397419552313
5	-0.10028096664712739
6	0.06613290970842253
7	-0.043601200903424904
8	0.028753969871509178
9	-0.018957394770648818
10	0.012501957491407652
11	-0.008242498156274617
12	0.005435734330715061
13	-0.0035837612013814844
14	0.002363406509300683
15	-0.001558185892799191
16	0.0010275870725768494
17	-0.0006774846704580731
18	0.0004467852599929961
19	-0.0002945640060192993
20	0.0001942580574183723
21	-0.00012807367815934628
22	8446158871165679e-20
23	-55685238868556675e-21
24	3672310977728555e-20
25	-24211421678623262e-21
26	15966865083706685e-21
27	-10526899975840922e-21
28	69422437845660186e-22
29	-4576997772881753e-21
30	30184227468373995e-22
31	-19900358758078664e-22
32	1312382013849908e-21
33	-8652490089609683e-22
34	5706114400580104e-22
35	-3762021864073214e-22
36	24809652379334714e-23
37	-16356919637227296e-23
38	10787005096162308e-23
39	-7111835860757576e-23
40	46900890494348044e-24
41	-30921597973158685e-24
42	2039206906273565e-23
43	-13444421929084736e-24
44	8866280938982766e-24
45	-5845506726369169e-24
46	3854948566290817e-24
47	-25412459691492643e-25
48	16722556322135394e-25
49	-10593793598175802e-25

L= 50  beta= 2.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.5480867823017269
2	0.4199552141701717
3	-0.3389651484968291
4	0.2768210969324237
5	-0.22655142226949093
6	0.18560356609988188
7	-0.15201146304087199
8	0.12455797141946248
9	-0.10201862281591115
10	0.08359472273251514
11	-0.06846802349583503
12	0.0561031739674387
13	-0.045951153392504676
14	0.03765269536394822
15	-0.030839338853345333
16	0.025269969245738162
17	-0.020697300343644726
18	0.01695951218961971
19	-0.013890642844265395
20	0.011382089583125345
21	-0.009322469859575215
22	0.0076388967931394405
23	-0.006256617872699837
24	0.005126716301965395
25	-0.004199023198211832
26	0.0034407088814766016
27	-0.0028181033551778435
28	0.002309173535218543
29	-0.001891322373224032
30	0.0015497627376906365
31	-0.0012693290020342723
32	0.0010400970332035133
33	-0.0008518886775786044
34	0.000698043521214305
35	-0.0005717306685489879
36	0.00046848009542813546
37	-0.00038370736168738334
38	0.00031441248545900836
39	-0.0002575186942278313
40	0.00021101258931224593
41	-0.00017282920247324766
42	0.00014161710789622567
43	-0.00011598979722219062
44	9503787391422578e-20
45	-7782159254652224e-20
46	6369592515182336e-20
47	-5189747959070692e-20
48	4149189530887769e-20
49	-29963339699580305e-21

L= 50  beta= 4.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.5235277360113755
2	0.4014085298374406
3	-0.33901152232653775
4	0.29786797708127755
5	-0.26604285628583013
6	0.23957598214475878
7	-0.2163936764252996
8	0.19586743254770353
9	-0.17733582986327306
10	0.16069043494929636
11	-0.1455613627506556
12	0.1319295520438509
13	-0.11952148759386627
14	0.10833382123476341
15	-0.09814728319137997
16	0.08896130072297878
17	-0.08059675782439758
18	0.07305356985011116
19	-0.06618481686213194
20	0.059990497715656434
21	-0.05434999359771861
22	0.04926331568689543
23	-0.044631418838305986
24	0.04045431437678034
25	-0.036650668802262525
26	0.03322049178201633
27	-0.030096993571500065
28	0.027280182124339844
29	-0.024715210598536
30	0.022402085332042247
31	-0.020295766479325603
32	0.01839625844368664
33	-0.01666657349956287
34	0.015106712120695117
35	-0.013686294021880992
36	0.012405307300711758
37	-0.011238778666131117
38	0.010186650268322127
39	-0.009228314883939295
40	0.008363536969385583
41	-0.007575004916628266
42	0.006861789825998556
43	-0.006208153097129668
44	0.005610454566132643
45	-0.005049807890749508
46	0.004511908652003639
47	-0.003957390871054737
48	0.0033255487347042994
49	-0.002444793664172599

L= 50  beta= 8.0  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.5128105243015593
2	0.38456656386212384
3	-0.31966024158600204
4	0.2800903928892734
5	-0.25248261781312115
6	0.2320393547693616
7	-0.21563893076831597
8	0.2021125228859703
9	-0.19031108418706222
10	0.17992902968687358
11	-0.17042259978966848
12	0.1617584018704911
13	-0.15362150742128877
14	0.14607185443483722
15	-0.1388930116003781
16	0.13217483220665113
17	-0.12574891260383886
18	0.11971108730776217
19	-0.1139200740278547
20	0.1084686417356776
21	-0.10323340792905777
22	0.09830089000092232
23	-0.09356117275550067
24	0.0890936676007317
25	-0.08479951056461472
26	0.08075106064848661
27	-0.07685896071925863
28	0.07318889265222728
29	-0.06965984292315727
30	0.06633126106309228
31	-0.06312945995219679
32	0.06010804228820786
33	-0.057199619724406084
34	0.054452169025331086
35	-0.051803384951229506
36	0.04929552445112147
37	-0.046869667957052635
38	0.04456166645659887
39	-0.04231324905568534
40	0.0401520295209394
41	-0.03801549059190425
42	0.03591885877718513
43	-0.0337858643715737
44	0.031609835294350665
45	-0.029279490803829557
46	0.026738428787858277
47	-0.02376932501219236
48	0.020108027491929296
49	-0.014800510548343472

