L= 50  beta= 0.01  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.00999936039490928
2	9998874053524228e-20
3	-9998387598014548e-22
4	9997901303844925e-24
5	-9997414884774247e-26
6	9996925620078595e-28
7	-9996959823269005e-30
8	10006762535567579e-32
9	-12502206301473473e-34
10	40403471584030126e-35
11	-5615828440296011e-34
12	5082197683525802e-34
13	-5251604272976662e-34
14	-9656175598699024e-35
15	-34050724479622874e-35
16	-9486769009248164e-35
17	-7758821796849391e-34
18	-4319868030996932e-35
19	-4531626267810507e-34
20	42436350657440447e-35
21	-5336307567702092e-35
22	-3083199928005653e-34
23	-470950318673391e-33
24	42266944067989587e-35
25	14399560103323106e-35
26	33288394827094003e-35
27	-9147955830346444e-35
28	39217625457874106e-35
29	-504831636563563e-33
30	2541098841762901e-36
31	-11011428314305904e-36
32	222769665127881e-33
33	-33711911300721153e-35
34	-16601845766184287e-35
35	-18041801776516597e-35
36	36761229910836635e-35
37	-5429481191900065e-34
38	-5675120746603812e-35
39	-17364175418713157e-35
40	-18550021544869177e-35
41	-36253010142484055e-35
42	2532628512290358e-34
43	-31424922343134543e-35
44	5251604272976662e-34
45	-11011428314305904e-35
46	5353248226647178e-34
47	10079692072326174e-35
48	12536087619363645e-35
49	-39217625457874106e-35

L= 50  beta= 0.1  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.09938418091170542
2	0.009891364143975689
3	-0.0009844521048953132
4	97979132024444e-18
5	-9751512668780375e-21
6	970534516066973e-21
7	-9659383006931262e-23
8	9613651675568439e-24
9	-9568123775379432e-25
10	9522824385597636e-26
11	-9477732997292126e-27
12	9432839708986562e-28
13	-9388236715812681e-29
14	9342732750633465e-30
15	-9360459456153603e-31
16	9139824314052802e-32
17	-10625181290357943e-33
18	29815559743351372e-34
19	-30357660829594124e-34
20	1951563910473908e-33
21	5421010862427522e-35
22	-6830473686658678e-33
23	-3577867169202165e-33
24	11384122811097797e-34
25	-11926223897340549e-34
26	18973538018496328e-34
27	-11384122811097797e-34
28	1463672932855431e-33
29	-14094628242311558e-34
30	30899761915836876e-34
31	-28731357570865868e-34
32	7589415207398531e-34
33	487890977618477e-33
34	2168404344971009e-34
35	-7047314121155779e-34
36	-8673617379884035e-34
37	27647155398380363e-34
38	16805133673525319e-34
39	-23852447794681098e-34
40	20599841277224584e-34
41	-3144186300207963e-33
42	-363207727782644e-32
43	-2222614453595284e-33
44	12468324983583301e-34
45	-4391018798566293e-33
46	4174178364069192e-33
47	-5421010862427522e-35
48	-3144186300207963e-33
49	-8673617379884035e-34

L= 50  beta= 0.3  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	-0.28499864136956493
2	0.08214479434324175
3	-0.02367651963714661
4	0.0068243415979785515
5	-0.001966973854486588
6	0.0005669457210780797
7	-0.00016341025639808344
8	4710014087568439e-20
9	-13575631336025604e-21
10	3912937672907214e-21
11	-11278225139316027e-22
12	3250750623350583e-22
13	-9369609350494065e-23
