L= 50  beta= 0.01  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	0.009993295553607565
2	0.00010605420057393315
3	5065615091909333e-21
4	60754518148154585e-22
5	6065353938760368e-21
6	6065454912580386e-21
7	6065453902968179e-21
8	6065453912971962e-21
9	6065453912887368e-21
10	6065453912829294e-21
11	6065453912934621e-21
12	60654539128663515e-22
13	60654539128368375e-22
14	60654539128665675e-22
15	6065453912887573e-21
16	6065453912924683e-21
17	60654539129164095e-22
18	6065453912882838e-21
19	60654539129090225e-22
20	6065453912860497e-21
21	60654539129044816e-22
22	6065453912840114e-21
23	6065453912894721e-21
24	6065453912922724e-21
25	6065453912842028e-21
26	6065453912879355e-21
27	6065453912899496e-21
28	6065453912872399e-21
29	6065453912928764e-21
30	6065453912829699e-21
31	6065453912952615e-21
32	6065453912835554e-21
33	6065453912815582e-21
34	60654539129053845e-22
35	6065453912921395e-21
36	6065453912877197e-21
37	6065453912943293e-21
38	6065453912889545e-21
39	6065453912956304e-21
40	6065453912886943e-21
41	606545391291077e-20
42	6065453912833391e-21
43	6065453912879767e-21
44	6065453912863748e-21
45	6065453913547185e-21
46	6065453851637553e-21
47	6065460038684695e-21
48	6064841301928913e-21
49	6126718114791117e-21

L= 50  beta= 0.1  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	0.09892480901888137
2	0.010356354082299846
3	0.0005200213112523751
4	0.0005624655753452533
5	0.00045472939203172324
6	0.0004654519904559743
7	0.0004643848072466612
8	0.00046449102018935917
9	0.0004644804491814128
10	0.00046448150127647485
11	0.0004644813965649354
12	0.00046448140698682845
13	0.0004644814059486385
14	0.0004644814060528401
15	0.00046448140604207907
16	0.00046448140604274114
17	0.0004644814060430412
18	0.00046448140604309876
19	0.00046448140604293803
20	0.0004644814060430072
21	0.00046448140604335463
22	0.0004644814060429235
23	0.0004644814060434211
24	0.00046448140604310283
25	0.00046448140604305203
26	0.0004644814060428006
27	0.00046448140604306786
28	0.00046448140604257656
29	0.00046448140604285514
30	0.00046448140604285633
31	0.00046448140604302406
32	0.00046448140604301636
33	0.0004644814060428305
34	0.0004644814060425378
35	0.00046448140604272965
36	0.000464481406043533
37	0.00046448140604270015
38	0.0004644814060423361
39	0.00046448140604822563
40	0.0004644814059935092
41	0.00046448140653726976
42	0.0004644814010767148
43	0.0004644814559397863
44	0.00046448090470075276
45	0.0004644864433207181
46	0.00046443079364358753
47	0.000464989938323923
48	0.00045937189282931263
49	0.0005158198311363063

L= 50  beta= 0.3  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	0.2829077924147275
2	0.08459146853392131
3	0.021332405588939292
4	0.009198016541288087
5	0.00039818070139361836
6	0.0029345561069909947
7	0.0022034922814233296
8	0.0024142067016475694
9	0.0023534721235500076
10	0.0023709776421719465
11	0.0023659319965677974
12	0.0023673863022684385
13	0.002366967125246417
14	0.002367087944576929
15	0.0023670531206179696
16	0.0023670631579203313
17	0.002367060264852098
18	0.002367061098721092
19	0.002367060858370743
20	0.0023670609276485455
21	0.0023670609076815404
22	0.0023670609134369917
23	0.002367060911776236
24	0.0023670609122557864
25	0.0023670609121169773
26	0.002367060912157568
27	0.002367060912146914
28	0.0023670609121456705
29	0.0023670609121642047
30	0.002367060912096253
31	0.002367060912329503
32	0.0023670609115219515
33	0.0023670609143223147
34	0.002367060904604604
35	0.0023670609383223996
36	0.002367060821339064
37	0.00236706122720738
38	0.0023670598190806613
39	0.002367064704500112
40	0.0023670477548851454
41	0.002367106560773182
42	0.0023669025378172098
43	0.0023676103859158124
44	0.002365154555876773
45	0.002373674943310132
46	0.002344114048209186
47	0.0024466741906774
48	0.0020908489548330175
49	0.0033256183281717908

L= 50  beta= 0.5  steps= 1000  D= 200  prec= 1.0e-20
# m 	 <sz_1 sz_{1+m}>
1	0.4364584833547174
2	0.20256400664095153
3	0.08577258755948097
4	0.04433600507728715
5	0.014374681451859926
6	0.012117855538911074
7	0.00016326432191107369
8	0.0055576391580125315
9	0.003123461334328931
10	0.00422185670059921
11	0.003726212678192277
12	0.003949866468888273
13	0.0038489440980967807
14	0.0038944841828462383
15	0.0038739345051476194
16	0.0038832073160617923
17	0.003879023018320854
18	0.003880911135533535
19	0.0038800591346460143
20	0.0038804435901040315
21	0.003880270107776385
22	0.003880348387996906
23	0.0038803130683533363
