# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [100]
0.01	-25257223753974495e-21
0.1	-2522832806689074e-20
0.2	-25198660966287604e-21
0.3	-25174048850168444e-21
0.4	-2515695615453924e-20
0.5	-25149518927448412e-21
0.6	-25153178439278142e-21
0.7	-2516820053606096e-20
0.8	-25193150751045454e-21
0.9	-25224409138826457e-21
1	-2525579935533692e-20
1.1	-25278387234036927e-21
1.2	-2528049992303916e-20
1.3	-25248052477861703e-21
1.4	-2516534770452767e-20
1.5	-25016589921685258e-21
1.6	-2478831190274864e-20
1.7	-24472619506043008e-21
1.8	-24070582083925034e-21
1.9	-2359448901079869e-20
2	-23067571427386608e-21
2.1	-2252055473265199e-20
2.2	-2198582288572363e-20
2.3	-21491159141797316e-21
2.4	-21055130175914787e-21
2.5	-20685281658967182e-21
2.6	-20379050861801596e-21
2.7	-20126568705162647e-21
2.8	-19913969221428427e-21
2.9	-1972720662959965e-20
3	-19554567732071498e-21
3.1	-19388527966864023e-21
3.2	-1922638419047873e-20
3.3	-19069633133107655e-21
3.4	-18922674320985324e-21
3.5	-18790847857497655e-21
3.6	-18676049965252024e-21
3.7	-1856908085849336e-20
3.8	-18463208748438602e-21
3.9	-18369679899916857e-21
4	-1829631031814754e-20
4.1	-18237206689241987e-21
4.2	-18174730605292403e-21
4.3	-18087941503680565e-21
4.4	-17956797793125398e-21
4.5	-17762525542215734e-21
4.6	-17484054630442162e-21
4.7	-17091936308289496e-21
4.8	-16542744985488696e-21
4.9	-1577577586489762e-20
5	-14713456877302107e-21
5.1	-13268757708986526e-21
5.2	-11363492266925915e-21
5.3	-8906703116474325e-21
5.4	-5568288751529065e-21
5.5	-13567952945639526e-22
5.6	288324384313953e-20
5.7	6257144724957235e-21
5.8	8225486060996563e-21
5.9	8982834306596926e-21
6	9169308053750211e-21
6.1	847403986665634e-20
6.2	2830833417039957e-21
6.3	-160361408396204e-19
6.4	-5440328557531184e-20
6.5	-0.00010756125993986704
6.6	-0.00016231918449411287
6.7	-0.00020425867647232406
6.8	-0.00022560496332650804
6.9	-0.00023145831792498498
7	-0.0002321511633301677
7.1	-0.00023340618456846538
7.2	-0.00023369088484131783
7.3	-0.00022873821211259133
7.4	-0.00021695448287107434
7.5	-0.000201495953237985
7.6	-0.00018919361993654097
7.7	-0.00018719334147484178
7.8	-0.0002002437824770706
7.9	-0.00023060792966244134
8	-0.0002781274434365494
8.1	-0.0003389036235419074
8.2	-0.00040534105312239465
8.3	-0.00046917104638913786
8.4	-0.000525326577727913
8.5	-0.0005734085633504072
8.6	-0.0006155462468234613
8.7	-0.0006532962382296934
8.8	-0.0006872322079388723
8.9	-0.000718572323054629
9	-0.0007492960575976266
9.1	-0.0007803517567559335
9.2	-0.0008106832733457517
9.3	-0.0008382844019666957
9.4	-0.0008617645755790672
9.5	-0.0008808955493553738
9.6	-0.0008962968850829186
9.7	-0.0009092238123275768
9.8	-0.0009217453725784846
9.9	-0.0009364829058657399
10	-0.0009553351332590599
10.1	-0.0009780529406221423
10.2	-0.0010018818577236788
10.3	-0.0010223237056295642
10.4	-0.0010343036328705282
10.5	-0.0010334052905145285
10.6	-0.0010172373850199136
10.7	-0.0009864979529408213
10.8	-0.0009448047512771831
10.9	-0.000897303071295259
11	-0.0008491340111194671
11.1	-0.0008043287854186765
11.2	-0.0007650507159624794
11.3	-0.0007314373018049423
11.4	-0.0007021537915970183
11.5	-0.0006750641399266859
11.6	-0.0006477278936259399
11.7	-0.0006180689026063426
11.8	-0.0005851751339461038
11.9	-0.0005496367328487414
12	-0.0005131083338705287
12.1	-0.000477469614210236
12.2	-0.0004442074419581528
12.3	-0.0004142600798354683
12.4	-0.0003880452431750937
12.5	-0.000365370413818341
12.6	-0.00034542103614272857
12.7	-0.00032717530019640265
12.8	-0.00031002475827292156
12.9	-0.0002940092760903262
13	-0.00027959703253618027
13.1	-0.000267490740065694
13.2	-0.0002586410606813941
13.3	-0.00025421412317889325
13.4	-0.0002552770781670482
13.5	-0.0002622471625683797
13.6	-0.00027451117861456884
13.7	-0.00029053958831892936
13.8	-0.00030839270706262237
13.9	-0.00032637548174439357
14	-0.0003435380769588452
14.1	-0.00035969662295926003
14.2	-0.00037505390529265863
14.3	-0.0003898931832695574
14.4	-0.00040453180845746625
14.5	-0.00041933200306235003
14.6	-0.0004347158716112174
14.7	-0.0004512524361909697
14.8	-0.0004696152772120023
14.9	-0.0004901287113800805
15	-0.0005121116932449941
15.1	-0.0005336863906888089
15.2	-0.0005523940888756267
15.3	-0.0005661749491282958
15.4	-0.0005739951165124256
15.5	-0.0005758666909214436
15.6	-0.0005725066491159711
15.7	-0.0005649672801053896
15.8	-0.0005543713805929122
15.9	-0.0005417279617640871
16	-0.0005278575405475594
16.1	-0.0005134304513401391
16.2	-0.0004989436322068524
16.3	-0.0004845632032215808
16.4	-0.00047003466109893697
16.5	-0.0004548205302852184
16.6	-0.00043840445040778094
16.7	-0.00042062353396347707
16.8	-0.00040190318177117906
16.9	-0.00038326365095120305
17	-0.00036603308793244234
17.1	-0.0003513970458574086
17.2	-0.00034000577448191284
17.3	-0.0003317982890967371
17.4	-0.0003261200988253188
17.5	-0.00032197379824339307
17.6	-0.00031810574049561036
17.7	-0.00031294492950657734
17.8	-0.00030472851672930457
