# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [80]
0.01	-55.49205529434162
0.1	-55.49334851311759
0.2	-55.49753830866108
0.3	-55.50403440728116
0.4	-55.51204657664062
0.5	-55.52102947284042
0.6	-55.531288226262134
0.7	-55.544729628900974
0.8	-55.565754822719335
0.9	-55.60214276273518
1	-55.66567668332438
1.1	-55.77215390967017
1.2	-55.940585777336466
1.3	-56.191686034098524
1.4	-56.54598804711961
1.5	-57.021673502200436
1.6	-57.631012909287435
1.7	-58.37329584614328
1.8	-59.22353949809922
1.9	-60.12143458781305
2	-60.970474472040884
2.1	-61.65635116613783
2.2	-62.082558695655756
2.3	-62.206104943687826
2.4	-62.051615792640796
2.5	-61.69524827845563
2.6	-61.230017892307394
2.7	-60.73346613941857
2.8	-60.25171591603157
2.9	-59.80085075915724
3	-59.378008280317715
3.1	-58.97370844262153
3.2	-58.58050529822171
3.3	-58.19700606134202
3.4	-57.82836795112072
3.5	-57.484855142269346
3.6	-57.179715948220355
3.7	-56.92707326000992
3.8	-56.7401797840664
3.9	-56.630143002547044
4	-56.60523096773231
4.1	-56.670897927662196
4.2	-56.830543406716366
4.3	-57.08732234751374
4.4	-57.4469744493575
4.5	-57.92151337323776
4.6	-58.532586340483746
4.7	-59.312237167671135
4.8	-60.299547720975085
4.9	-61.534599722539625
5	-63.05197095469661
5.1	-64.87266355619897
5.2	-66.9987274715818
5.3	-69.44626051536169
5.4	-72.29839910906162
5.5	-75.72476295116653
5.6	-79.92324544186489
5.7	-85.02205630207766
5.8	-91.05143796422571
5.9	-97.99466693153583
6	-105.84842370792956
6.1	-114.65799565121458
6.2	-124.60241873621884
6.3	-136.04935365410427
6.4	-149.5024978408161
6.5	-165.41251422863914
6.6	-183.96757866052553
6.7	-205.01813582198974
6.8	-228.10416308373382
6.9	-252.5679635541954
7	-277.820176863518
7.1	-303.74011054195176
7.2	-331.0049389806697
7.3	-361.0716203820686
7.4	-395.7351479185097
7.5	-436.47233621284516
7.6	-483.86626750753
7.7	-537.3936811870352
7.8	-595.7570975044636
7.9	-657.653656657634
8	-722.5691230630464
8.1	-791.125097143393
8.2	-864.8268965085595
8.3	-945.4363857954299
8.4	-1034.2533237903342
8.5	-1131.556826836076
8.6	-1236.5403705844938
8.7	-1347.8896677829614
8.8	-1464.576066215293
8.9	-1586.2520413031204
9	-1713.2289305693387
9.1	-1846.4479392456167
9.2	-1987.5145406128709
9.3	-2138.510135151922
9.4	-2301.5454891975223
9.5	-2478.3804958427195
9.6	-2670.365678945091
9.7	-2878.6660175021225
9.8	-3104.4933296784207
9.9	-3348.9894559811323
10	-3612.4063352964677
10.1	-3892.460227126237
10.2	-4182.445536118735
10.3	-4470.355557505462
10.4	-4740.229634134545
10.5	-4976.0980141754735
10.6	-5167.332870936902
10.7	-5312.626406873106
10.8	-5419.668100092045
10.9	-5500.060701497724
11	-5562.625358353528
11.1	-5609.478687694211
11.2	-5636.897309257337
11.3	-5639.579985225934
11.4	-5614.91440902931
11.5	-5564.449148412302
11.6	-5492.432526349636
11.7	-5403.17931347176
11.8	-5299.156986431355
11.9	-5180.644946870728
12	-5046.463673938147
12.1	-4895.21968897414
12.2	-4727.02310356952
12.3	-4545.128675910183
12.4	-4356.437011400116
12.5	-4170.246347437756
12.6	-3995.6935365335703
12.7	-3839.1883613284404
12.8	-3703.071011373763
12.9	-3585.86276561694
13	-3483.5296792817226
13.1	-3391.0135741472805
13.2	-3303.888926428298
13.3	-3219.946335435501
13.4	-3139.841672299973
13.5	-3066.2574592069673
13.6	-3002.188734118099
13.7	-2949.44824634098
13.8	-2907.9967948269605
13.9	-2876.2572561787624
14	-2852.2219409397635
14.1	-2834.668396599762
14.2	-2823.7625946094154
14.3	-2820.815749169879
14.4	-2827.4797432162427
14.5	-2844.796428202261
14.6	-2872.35241997362
14.7	-2907.9092879101136
14.8	-2947.9004567310153
14.9	-2988.63941499344
15	-3027.731763702471
15.1	-3065.1759257488106
15.2	-3103.6152109729906
15.3	-3147.5253751623436
15.4	-3201.637220558161
15.5	-3269.123300344162
15.6	-3350.225066087082
15.7	-3442.039817970904
15.8	-3539.6856102721517
15.9	-3638.319422467348
16	-3735.153297339344
16.1	-3830.635664746188
16.2	-3928.247884283196
16.3	-4033.0515742101215
16.4	-4149.769482728905
16.5	-4281.310959336178
16.6	-4428.252803382314
16.7	-4589.175950009806
16.8	-4761.562784829904
16.9	-4943.230275302815
17	-5134.247376369222
17.1	-5338.522724455661
17.2	-5563.6928405640665
17.3	-5818.9385693786535
17.4	-6112.096260463017
17.5	-6447.515840612999
17.6	-6825.1213482389985
17.7	-7241.222957120258
17.8	-7691.386723758775
17.9	-8173.825914370306
18	-8690.969791169144
18.1	-9248.49828466323
18.2	-9853.0567024066
18.3	-10510.663763039092
18.4	-11227.579590972207
18.5	-12012.755980048078
18.6	-12878.34627752721
18.7	-13837.568041831475
18.8	-14903.273521810966
18.9	-16088.606521822852
19	-17406.26187082529
19.1	-18862.829622702975
19.2	-20450.265493517454
19.3	-22141.011267722177
19.4	-23891.830042939266
19.5	-25654.80591399802
19.6	-27385.778098152525
19.7	-29040.826519648523
19.8	-30564.30754079108
19.9	-31880.738181383647
20	-32899.71543329422
