# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [80]
0.01	-0.5589709217793785
0.1	-0.5589824818800896
0.2	-0.5590204541288071
0.3	-0.5590786411830055
0.4	-0.5591477494628754
0.5	-0.5592179166506271
0.6	-0.5592818750223681
0.7	-0.5593388677621759
0.8	-0.5593994982196259
0.9	-0.5594919958619567
1	-0.5596707450662436
1.1	-0.5600282864263729
1.2	-0.5607120637917469
1.3	-0.5619458121849523
1.4	-0.5640502091136745
1.5	-0.5674460521047788
1.6	-0.5726092897507228
1.7	-0.5799454282136699
1.8	-0.5895810716756573
1.9	-0.6011353305433594
2	-0.6135987835550287
2.1	-0.6254501145233112
2.2	-0.6350373347227689
2.3	-0.6410799271682446
2.4	-0.6430409675416254
2.5	-0.6411880501435535
2.6	-0.6363619540553819
2.7	-0.6296271802223184
2.8	-0.6219802119842666
2.9	-0.6141912178182504
3	-0.6067638215134562
3.1	-0.5999653247072773
3.2	-0.5938888021471912
3.3	-0.5885246981656278
3.4	-0.5838271508280012
3.5	-0.5797637733042598
3.6	-0.5763419850621362
3.7	-0.5736119887954214
3.8	-0.5716532768730457
3.9	-0.5705550655521169
4	-0.5704005663503671
4.1	-0.5712616924834184
4.2	-0.5732066871248992
4.3	-0.5763206757702869
4.4	-0.5807378964078888
4.5	-0.5866814972178471
4.6	-0.5944991202688539
4.7	-0.6046707196088849
4.8	-0.6177733004750837
4.9	-0.6344167301272081
5	-0.65516965539484
5.1	-0.6804475412656457
5.2	-0.7103556199750081
5.3	-0.7448955837193254
5.4	-0.7845998849324073
5.5	-0.8309506891104437
5.6	-0.8859278351050873
5.7	-0.9509687052959952
5.8	-1.0265231811380187
5.9	-1.1124485022763613
6	-1.2086015911902934
6.1	-1.3152894348334572
6.2	-1.4344531766649544
6.3	-1.5703989576888724
6.4	-1.728816630866379
6.5	-1.9137369832745559
6.6	-2.1243867643270953
6.7	-2.3547615440287277
6.8	-2.5957569795241775
6.9	-2.8386621304431916
7	-3.0794644388975034
7.1	-3.3227665677742504
7.2	-3.583095018517947
7.3	-3.8819410795829437
7.4	-4.241193411647622
7.5	-4.675512991980041
7.6	-5.186255159818947
7.7	-5.759838088151366
7.8	-6.373146800996492
7.9	-7.005033933265073
8	-7.648107304702258
8.1	-8.31359318948712
8.2	-9.026915658602176
8.3	-9.817617147294113
8.4	-10.708394422267801
8.5	-11.706952226205104
8.6	-12.804438455780632
8.7	-13.982022920740352
8.8	-15.221016165125935
8.9	-16.50952218063313
9	-17.84448671412625
9.1	-19.23270953345811
9.2	-20.69118116986087
9.3	-22.243791317253894
9.4	-23.9147383778316
9.5	-25.723175449984904
9.6	-27.682589662529754
9.7	-29.8044103845985
9.8	-32.10196930671178
9.9	-34.58983344146786
10	-37.27437322644953
10.1	-40.135095949383924
10.2	-43.1042354861683
10.3	-46.05827025606542
10.4	-48.83330113314097
10.5	-51.26651164474646
10.6	-53.25030122449427
10.7	-54.770950598246905
10.8	-55.90344364300005
10.9	-56.759171418242474
11	-57.41908841231373
11.1	-57.8967852551505
11.2	-58.15133046308234
11.3	-58.13404776613917
11.4	-57.8323464912992
11.5	-57.28099779268455
11.6	-56.540860419002236
11.7	-55.665885957310756
11.8	-54.68021530308679
11.9	-53.575217211108935
12	-52.32090213206364
12.1	-50.88439173617801
12.2	-49.25286156105661
12.3	-47.45345361583177
12.4	-45.55827705048781
12.5	-43.66867621125137
12.6	-41.884965879088014
12.7	-40.276955654798094
12.8	-38.86892138176238
12.9	-37.64271629863369
13	-36.552407189261714
13.1	-35.542206500668286
13.2	-34.565862307735735
13.3	-33.60477626861693
13.4	-32.674941306714096
13.5	-31.816446526539753
13.6	-31.072520691414578
13.7	-30.470896905800803
13.8	-30.01506934913107
13.9	-29.68750190281699
14	-29.462337261418124
14.1	-29.319709708553972
14.2	-29.253567453868538
14.3	-29.270281956641828
14.4	-29.38098807585439
14.5	-29.592111017411586
14.6	-29.896809117539497
14.7	-30.271171486702613
14.8	-30.679181509169556
14.9	-31.08483913624213
15	-31.466312833416932
15.1	-31.826942241152018
15.2	-32.197514235460304
15.3	-32.62745389510298
15.4	-33.16804581549641
15.5	-33.853345611702984
15.6	-34.68591837693523
15.7	-35.63481812796072
15.8	-36.647947770792825
15.9	-37.673229301745714
16	-38.67958309445062
16.1	-39.669066347200584
16.2	-40.674703547464475
16.3	-41.74571972292257
16.4	-42.92829805125604
16.5	-44.250954179115446
16.6	-45.71941392050774
16.7	-47.31978444538238
16.8	-49.02709992731296
16.9	-50.81933413543043
17	-52.69661023609184
17.1	-54.69715665022444
17.2	-56.89575671159954
17.3	-59.38111233815544
17.4	-62.226812044454405
17.5	-65.47130975753832
17.6	-69.1114254668851
17.7	-73.11392234721788
17.8	-77.44653975550769
17.9	-82.11145434193357
18	-87.15758280953798
18.1	-92.66625582769026
18.2	-98.72420984004151
18.3	-105.40447083220074
18.4	-112.77206481529123
18.5	-120.90523004676619
18.6	-129.89731376043517
18.7	-139.83357144111596
18.8	-150.77858947953962
18.9	-162.7902086034135
19	-175.92513864695678
19.1	-190.19896599175394
19.2	-205.51827967218867
19.3	-221.6461840681871
19.4	-238.2447928581468
19.5	-254.9721978858363
19.6	-271.53735451075596
19.7	-287.6297801716406
19.8	-302.77076493825376
19.9	-316.21404737060163
20	-326.98943942349865
