# L= 50  beta= [0.5]  t_max= 20.0  steps= 1000
t 	  D= [50, 100]
0.02	-40.2483070371481	-40.248307037148194
0.2	-40.563283160375356	-40.56328316037557
0.4	-41.89377547860506	-41.893775478605285
0.6	-41.88622098726354	-41.886220987263805
0.8	-40.507615230116535	-40.50761523011673
1	-40.17378203514052	-40.17378203514069
1.2	-40.16155074348969	-40.1615507434899
1.4	-40.16179255992865	-40.16179255992877
1.6	-40.160819280835774	-40.16081928083602
1.8	-40.159668880015516	-40.15966888001157
2	-40.15947572505075	-40.15947572474713
2.2	-40.16028007420868	-40.160280066784416
2.4	-40.16114875233858	-40.16114865711738
2.6	-40.161248970679985	-40.161248224121906
2.8	-40.16065671266777	-40.160652778887226
3	-40.16012582849546	-40.160096662398885
3.2	-40.16031373436933	-40.16010708557
3.4	-40.16162214400936	-40.160521572305896
3.6	-40.165259515688184	-40.16081164457648
3.8	-40.17478988238875	-40.1607451198518
4	-40.19567057406953	-40.16072986068457
4.2	-40.23135727284176	-40.16184857400362
4.4	-40.28140742243494	-40.16610428902783
4.6	-40.3444435134102	-40.17695223334086
4.8	-40.419641732664715	-40.19873463448464
5	-40.50175096102051	-40.23439422504025
5.2	-40.57815828394357	-40.28522290497266
5.4	-40.63865363998822	-40.35259479205567
5.6	-40.68765687193026	-40.4365676400095
5.8	-40.730127006267715	-40.531660255177535
6	-40.76855684880201	-40.62616673115379
6.2	-40.80112058094963	-40.70649185368239
6.4	-40.82566189349661	-40.7665817860046
6.6	-40.84489758836212	-40.81395091812227
6.8	-40.86823426881541	-40.85376946946922
7	-40.90187903451525	-40.887435638828784
7.2	-40.939596988346004	-40.91483721067055
7.4	-40.971407245758776	-40.93935487926283
7.6	-40.99688880845173	-40.966845108848055
7.8	-41.02304495191762	-40.99862223925697
8	-41.05327084360681	-41.03269462994971
8.2	-41.086383375190785	-41.06668966058065
8.4	-41.11911908257056	-41.099306863983934
8.6	-41.15184853761172	-41.13212918586107
8.8	-41.18866370584373	-41.167596863002544
9	-41.22962145253329	-41.20675775976323
9.2	-41.27078565065044	-41.25011680060617
9.4	-41.31148031298026	-41.29801514179044
9.6	-41.35302520076088	-41.348251229353295
9.8	-41.39763728287112	-41.397010729579954
10	-41.44750614165328	-41.444408271216275
10.2	-41.50020670158323	-41.49422936973333
10.4	-41.55237984797416	-41.549197646359374
10.6	-41.60224643308856	-41.608669621940784
10.8	-41.649810784679595	-41.66935173681745
11	-41.697549291755486	-41.72895521645407
11.2	-41.74738166519814	-41.78827407547067
11.4	-41.79930143344538	-41.84915447742117
11.6	-41.85352082948168	-41.91233623198212
11.8	-41.91034369023744	-41.97729043991793
12	-41.968693592029496	-42.04352489898673
12.2	-42.02638203593222	-42.11062617695536
12.4	-42.08227461702757	-42.1774738337624
12.6	-42.1371365566386	-42.243046277646705
12.8	-42.19172672398148	-42.307918482954484
13	-42.24615569490076	-42.37373364959256
13.2	-42.30130030619693	-42.44102202681358
13.4	-42.35779447866034	-42.50853746670905
13.6	-42.4144591647916	-42.574457510313145
13.8	-42.4698144099224	-42.63811143585973
14	-42.52403982842002	-42.70054052106409
14.2	-42.57886214192444	-42.76351462234697
14.4	-42.635857824710364	-42.82816786297238
14.6	-42.694770285178315	-42.89410592539612
14.8	-42.75396909454002	-42.959580166651584
15	-42.81233236838087	-43.02316925738459
15.2	-42.86978628786695	-43.08520568800975
15.4	-42.92631213978671	-43.14717431475979
15.6	-42.981897958358765	-43.21012632738611
15.8	-43.03756362246171	-43.27397802094542
16	-43.09480697323555	-43.33781611714045
16.2	-43.15382603855269	-43.40078138038768
16.4	-43.21303334304616	-43.46269249734237
16.6	-43.27030729378469	-43.52416507772031
16.8	-43.32506618678368	-43.58615696513177
17	-43.3790340012144	-43.64920884995217
17.2	-43.43472686038265	-43.71292833593331
17.4	-43.4931652477383	-43.7762589445354
17.6	-43.552892724238745	-43.83853483266227
17.8	-43.61159091483151	-43.90016826883599
18	-43.66824358597118	-43.96221116174533
18.2	-43.723831804304616	-44.025139084334874
18.4	-43.7803530825792	-44.0883964748451
18.6	-43.838904000309995	-44.15115822391201
18.8	-43.89872142296407	-44.21331975535799
19	-43.958221547866216	-44.27558252624797
19.2	-44.016762905838306	-44.33867569123468
19.4	-44.07521796537768	-44.40258663829717
19.6	-44.134846055991865	-44.46658993838154
19.8	-44.195783324300535	-44.53004168753136
20	-44.25700408033359	-44.5930696569783
