# L= 120  beta= [0.01]  t_max= 2.0  steps= 500
t 	  D= [100]
0.004	-0.009999000590234836
0.008	-0.009999001998504854
0.016	-0.009999007990502544
0.024	-0.009999018805635298
0.032	-0.009999035234562144
0.04	-0.009999058173613472
0.048	-0.009999088636840257
0.056	-0.009999127768966892
0.064	-0.009999176859245137
0.072	-0.009999237356177753
0.08	-0.009999310883074736
0.088	-0.009999399254376937
0.096	-0.009999504492663125
0.104	-0.009999628846236236
0.112	-0.0099997748071537
0.12	-0.009999945129541317
0.128	-0.010000142848006509
0.136	-0.010000371295926623
0.144	-0.01000063412337007
0.152	-0.010000935314372992
0.16	-0.010001279203257737
0.168	-0.010001670489666357
0.176	-0.010002114251939705
0.184	-0.010002615958465159
0.192	-0.010003181476576941
0.2	-0.010003817078596745
0.208	-0.010004529444577083
0.216	-0.010005325661312665
0.224	-0.010006213217182277
0.232	-0.010007199992399863
0.24	-0.010008294244264302
0.248	-0.01000950458702449
0.256	-0.010010839966024029
0.264	-0.010012309625815887
0.272	-0.010013923072011498
0.28	-0.010015690026680738
0.288	-0.010017620377201846
0.296	-0.010019724118539543
0.304	-0.010022011289020758
0.312	-0.010024491899780913
0.32	-0.010027175858148465
0.328	-0.010030072885360434
0.336	-0.01003319242908818
0.344	-0.010036543571390324
0.352	-0.01004013493279938
0.36	-0.010043974573372033
0.368	-0.010048069891611498
0.376	-0.010052427522285237
0.384	-0.010057053234223555
0.392	-0.010061951829256871
0.4	-0.010067127043506523
0.408	-0.010072581452259229
0.416	-0.01007831637970117
0.424	-0.010084331814743311
0.432	-0.010090626334177264
0.44	-0.010097197034328098
0.448	-0.010104039472311538
0.456	-0.010111147617916488
0.464	-0.01011851381701011
0.472	-0.010126128767244266
0.48	-0.010133981506701086
0.488	-0.010142059415944225
0.496	-0.010150348233792753
0.504	-0.010158832086944474
0.512	-0.01016749353341177
0.52	-0.010176313619537605
0.528	-0.01018527195020844
0.536	-0.010194346771685745
0.544	-0.010203515066341835
0.552	-0.010212752658431034
0.56	-0.010222034329896388
0.568	-0.01023133394510662
0.576	-0.010240624583322663
0.584	-0.01024987867761167
0.592	-0.010259068158900625
0.6	-0.01026816460379517
0.608	-0.01027713938481731
0.616	-0.010285963821697209
0.624	-0.01029460933240095
0.632	-0.010303047582617615
0.64	-0.01031125063248854
0.648	-0.010319191079444871
0.656	-0.010326842196094232
0.664	-0.010334178062210316
0.672	-0.010341173689964976
0.68	-0.010347805141658135
0.688	-0.010354049639314836
0.696	-0.010359885665618105
0.704	-0.010365293055767843
0.712	-0.010370253079948665
0.72	-0.010374748516205252
0.728	-0.010378763713617914
0.736	-0.01038228464574616
0.744	-0.010385298954414366
0.752	-0.010387795983975281
0.76	-0.010389766806256605
0.768	-0.010391204236459742
0.776	-0.01039210284032083
0.784	-0.010392458932909557
0.792	-0.010392270569440898
0.8	-0.010391537528546763
0.808	-0.010390261288436942
0.816	-0.010388444996418455
0.824	-0.010386093432238152
0.832	-0.010383212965728522
0.84	-0.010379811509218025
0.848	-0.010375898465184875
0.856	-0.010371484669601957
0.864	-0.010366582331427407
0.872	-0.010361204968670224
0.88	-0.01035536734144343
0.888	-0.010349085382414306
0.896	-0.010342376125022272
0.904	-0.010335257629832853
0.912	-0.010327748909368172
0.92	-0.010319869851743832
0.928	-0.010311641143409194
0.936	-0.010303084191283065
0.944	-0.01029422104455935
0.952	-0.010285074316427112
0.96	-0.01027566710594667
0.968	-0.010266022920310043
0.976	-0.01025616559768465
0.984	-0.010246119230844692
0.992	-0.010235908091771233
1	-0.010225556557396882
1.008	-0.010215089036649772
1.016	-0.010204529898968792
1.024	-0.010193903404417306
1.032	-0.01018323363554251
1.04	-0.010172544431112835
1.048	-0.010161859321845832
1.056	-0.010151201468261779
1.064	-0.010140593600753398
1.072	-0.010130057961992144
1.08	-0.010119616251761016
1.088	-0.010109289574314357
