# L= 200  beta= [0.01]  t_max= 2.0  steps= 500
t 	  D= [100]
0.004	-3.9910609313663428
0.008	-3.9911809421367237
0.016	-3.991447828766065
0.024	-3.991754293068232
0.032	-3.992105211428803
0.04	-3.992505893753926
0.048	-3.992962095533717
0.056	-3.993480025720596
0.064	-3.9940663496269297
0.072	-3.994728186012643
0.08	-3.9954730975197337
0.088	-3.9963090736075606
0.096	-3.99724450516172
0.104	-3.9982881499874723
0.112	-3.9994490884583462
0.12	-4.000736668677961
0.128	-4.0021604406238165
0.136	-4.003730078878927
0.144	-4.005455293721447
0.152	-4.007345730537502
0.16	-4.009410857732469
0.168	-4.011659843558646
0.176	-4.0141014225347105
0.184	-4.016743752407969
0.192	-4.019594262892033
0.2	-4.022659497709121
0.208	-4.025944951750175
0.216	-4.029454905451891
0.224	-4.033192258753812
0.232	-4.03715836723989
0.24	-4.041352883282233
0.248	-4.0457736051707105
0.256	-4.050416337341206
0.264	-4.055274764876986
0.272	-4.060340345469151
0.28	-4.065602221963332
0.288	-4.071047158487488
0.296	-4.076659502957432
0.304	-4.082421178479582
0.312	-4.088311705826659
0.32	-4.094308258741219
0.328	-4.10038575335028
0.336	-4.106516972430272
0.344	-4.11267272468392
0.352	-4.118822038565825
0.36	-4.124932389551759
0.368	-4.130969959082672
0.376	-4.136899922769874
0.384	-4.142686764799573
0.392	-4.148294614881367
0.4	-4.153687603522555
0.408	-4.1588302309186735
0.416	-4.163687744333753
0.424	-4.1682265185131175
0.432	-4.172414433436035
0.44	-4.176221243594454
0.448	-4.17961893296536
0.456	-4.182582049949272
0.464	-4.185088016759999
0.472	-4.187117408086681
0.48	-4.188654194286252
0.488	-4.189685944906021
0.496	-4.190203988970806
0.504	-4.1902035291789055
0.512	-4.189683707928924
0.52	-4.188647623921837
0.528	-4.187102298939124
0.536	-4.185058595263843
0.544	-4.182531085069605
0.552	-4.179537873939369
0.56	-4.176100381464335
0.568	-4.172243082599259
0.576	-4.167993214105754
0.584	-4.163380450971047
0.592	-4.158436558149203
0.6	-4.153195023312544
0.608	-4.147690676531984
0.616	-4.141959302904891
0.624	-4.136037254134642
0.632	-4.129961064926687
0.64	-4.1237670798175925
0.648	-4.117491095695806
0.656	-4.111168024824593
0.664	-4.104831582644616
0.672	-4.09851400403367
0.68	-4.092245791056286
0.688	-4.086055494545622
0.696	-4.079969531161891
0.704	-4.074012036869802
0.712	-4.068204757085198
0.72	-4.062566973088435
0.728	-4.057115463685745
0.736	-4.051864500539417
0.744	-4.046825875095629
0.752	-4.042008954614797
0.76	-4.037420764464523
0.768	-4.033066093572285
0.776	-4.028947619748375
0.784	-4.025066051487788
0.792	-4.021420282830322
0.8	-4.018007557901504
0.808	-4.014823641864419
0.816	-4.011862995173567
0.824	-4.009118948240833
0.832	-4.006583873869947
0.84	-4.004249355097749
0.848	-4.002106346391416
0.856	-4.000145326454401
0.864	-3.998356441225393
0.872	-3.9967296359597313
0.88	-3.99525477559656
0.888	-3.99392175289755
0.896	-3.9927205841142106
0.904	-3.9916414921835623
0.912	-3.9906749776676342
0.92	-3.9898118778368015
0.928	-3.9890434144568943
0.936	-3.9883612309632728
0.944	-3.9877574198064893
0.952	-3.9872245408195117
0.96	-3.9867556315047876
0.968	-3.986344210158143
0.976	-3.9859842727464816
0.984	-3.985670284440569
0.992	-3.985397166667491
1	-3.9851602805055353
1.008	-3.984955407186619
1.016	-3.984778726411202
1.024	-3.984626793113632
1.032	-3.9844965132448027
1.04	-3.984385119073298
1.048	-3.98429014443286
1.056	-3.9842094002820345
1.064	-3.984140950876135
1.072	-3.984083090792974
1.08	-3.984034323003289
1.088	-3.983993338123617
1.096	-3.9839589949501955
1.104	-3.9839303023316543
1.112	-3.9839064024082336
1.12	-3.9838865552173157
1.128	-3.983870124640481
1.136	-3.9838565656527676
1.144	-3.983845412817354
1.152	-3.9838362699616106
1.16	-3.9838288009590763
1.168	-3.983822721543009
1.176	-3.9838177920676316
1.184	-3.9838138111402284
1.192	-3.9838106100440673
1.2	-3.9838080478741054
1.208	-3.9838060073147616
1.216	-3.9838043909891616
1.224	-3.9838031183156266
1.232	-3.983802122812673
1.24	-3.9838013497964817
1.248	-3.983800754422855
1.256	-3.983800300026068
1.264	-3.983799956718511
1.272	-3.9837997002107146
1.28	-3.9837995108231397
1.288	-3.983799372661141
1.296	-3.9837992729283154
1.304	-3.9837992013563777
1.312	-3.9837991497349847
1.32	-3.9837991115240516
1.328	-3.9837990815356115
1.336	-3.9837990556735963
1.344	-3.983799030721578
1.352	-3.983799004170588
1.36	-3.9837989740790407
1.368	-3.983798938960255
1.376	-3.9837988976914547
1.384	-3.983798849440764
1.392	-3.9837987936090906
1.4	-3.983798729783405
1.408	-3.983798657699528
1.416	-3.9837985772129274
1.424	-3.9837984882747195
1.432	-3.983798390913955
1.44	-3.9837982852224805
1.448	-3.9837981713432633
1.456	-3.983798049461947
1.464	-3.9837979197987163
1.472	-3.983797782602989
1.48	-3.9837976381490017
1.488	-3.98379748673158
1.496	-3.9837973286635147
1.504	-3.983797164273104
1.512	-3.9837969939021107
1.52	-3.983796817903927
1.528	-3.9837966366420066
1.536	-3.98379645048908
1.544	-3.983796259825308
1.552	-3.9837960650377027
1.56	-3.983795866518922
1.568	-3.9837956646665527
1.576	-3.983795459882204
1.584	-3.9837952525703213
1.592	-3.9837950431378117
1.6	-3.9837948319931313
1.608	-3.983794619545104
1.616	-3.983794406202804
1.624	-3.9837941923743676
1.632	-3.983793978466249
1.64	-3.983793764882835
1.648	-3.9837935520250665
1.656	-3.983793340290413
1.664	-3.9837931300715397
1.672	-3.9837929217562107
1.68	-3.983792715726215
1.688	-3.9837925123565894
1.696	-3.9837923120154497
1.704	-3.983792115062721
1.712	-3.9837919218501874
1.72	-3.9837917327201353
1.728	-3.9837915480054686
1.736	-3.983791368028589
1.744	-3.9837911931012178
1.752	-3.9837910235237834
1.76	-3.983790859584486
1.768	-3.9837907015597773
1.776	-3.9837905497129045
1.784	-3.983790404294153
1.792	-3.9837902655398403
1.8	-3.983790133672799
1.808	-3.9837900089009373
1.816	-3.9837898914179566
1.824	-3.9837897814022343
1.832	-3.98378967901729
1.84	-3.983789584410964
1.848	-3.9837894977154376
1.856	-3.983789419047226
1.864	-3.9837893485066997
1.872	-3.983789286178284
1.88	-3.9837892321300648
1.888	-3.98378918641421
1.896	-3.983789149066463
1.904	-3.9837891201064584
1.912	-3.98378909953754
1.92	-3.9837890873471355
1.928	-3.9837890835066863
1.936	-3.983789087971738
1.944	-3.983789100682285
