# L= 80  beta= [0.01]  t_max= 2.0  steps= 500
t 	  D= [100]
0.004	-12671013585553793e-41
0.008	-2855369706771471e-41
0.016	-2707254812677311e-40
0.024	4760926880579473e-40
0.032	29322037454231613e-41
0.04	-4453888839055534e-40
0.048	-22716058494516443e-41
0.056	-10760183554562392e-41
0.064	-4387941149706769e-40
0.072	-6283337293368031e-40
0.08	7800566351819439e-41
0.088	20837094872021347e-41
0.096	16741358005575693e-42
0.104	-30210165869825176e-41
0.112	20523522593078307e-41
0.12	-13762607290808834e-41
0.128	6468416545498056e-41
0.136	-5202948558704387e-41
0.144	3573264814979388e-41
0.152	14521055677718076e-41
0.16	4011861050613764e-41
0.168	2870882073131012e-41
0.176	9987437734015078e-41
0.184	10297923759892913e-41
0.192	10475516176742223e-41
0.2	7651157498685696e-41
0.208	9384367991647315e-41
0.216	8428208232444259e-41
0.224	8340706209942878e-41
0.232	6567416677825665e-41
0.24	782728847555407e-40
0.248	599934797024957e-40
0.256	6384871140480689e-41
0.264	6825010652203469e-41
0.272	40834765715833893e-42
0.28	4858651276946107e-41
0.288	522255649010099e-40
0.296	6183085713019542e-41
0.304	635245392635653e-40
0.312	5885211621965369e-41
0.32	3425054564326245e-41
0.328	28660142798280487e-42
0.336	4597344217336947e-41
0.344	5793395537658236e-41
0.352	5897705362293016e-41
0.36	6894761279068569e-41
0.368	7166331112500485e-41
0.376	684639357597702e-40
0.384	586044748738366e-40
0.392	623500093166259e-40
0.4	627584759222116e-40
0.408	5665591987874281e-41
0.416	5435680355903668e-41
0.424	4868620178681048e-41
0.432	45621847703491814e-42
0.44	4261740699055097e-41
0.448	40739643533120623e-42
0.456	3940561050758327e-41
0.464	3896818382253398e-41
0.472	38675384798075747e-42
0.48	3826428954841131e-41
0.488	38114036160280795e-42
0.496	36788377642504587e-42
0.504	3598954179543689e-41
0.512	33522154473020706e-42
0.52	31981959935044025e-42
0.528	3279820848826993e-41
0.536	3183697692097858e-41
0.544	3371336951436163e-41
0.552	3136076155779461e-41
0.56	281593843631941e-40
0.568	2790108309625559e-41
0.576	2764186140012825e-41
0.584	2609684525070774e-41
0.592	2664116655129276e-41
0.6	2615591437799841e-41
0.608	24342068763860198e-42
0.616	24635721692875395e-42
0.624	23911968181461023e-42
0.632	21907156852409908e-42
0.64	2102125049959417e-41
0.648	20392264011894956e-42
0.656	20550204194166872e-42
0.664	20214964273340938e-42
0.672	19596345743041926e-42
0.68	1876470898172665e-41
0.688	17792774040375178e-42
0.696	17359180500438962e-42
0.704	17833044212136013e-42
0.712	1706646565418558e-41
0.72	15884519465572367e-42
0.728	1463446259838112e-41
0.736	1418032304889683e-41
0.744	13321295621470325e-42
0.752	1283282785334617e-41
0.76	12305302845766752e-42
0.768	11891174299902666e-42
0.776	11496030862487886e-42
0.784	10722121813570915e-42
0.792	10331464818750773e-42
0.8	9802596857929927e-42
0.808	9359853912807133e-42
0.816	8777543665599119e-42
0.824	8391918375238318e-42
0.832	8042548363547795e-42
0.84	7615235727160046e-42
0.848	7120102771795635e-42
0.856	6635780930033782e-42
0.864	6267292670435359e-42
0.872	5907409960496865e-42
0.88	5515429082726592e-42
0.888	518209064880496e-41
0.896	4796395427254022e-42
0.904	45804005474732544e-43
0.912	4373506426377023e-42
0.92	4140268581943727e-42
0.928	3856889053433177e-42
0.936	38529323790696545e-43
0.944	36118180775570295e-43
0.952	33867515405849745e-43
0.96	32516398294715316e-43
0.968	3161003848998081e-42
0.976	28840277321695605e-43
0.984	2778421446007588e-42
0.992	2630228317973889e-42
1	23597697868692136e-43
1.008	22724583458057214e-43
1.016	20832864834274462e-43
1.024	19463284911382338e-43
1.032	17547583460237582e-43
1.04	16270888896184086e-43
1.048	1516033492687901e-42
1.056	13576205542185846e-43
1.064	12192917692437104e-43
1.072	11451346502375893e-43
1.08	1075295707893416e-42
1.088	9986004786131239e-43
1.096	9182997930749627e-43
1.104	8473915521245316e-43
1.112	8067908935004497e-43
1.12	7738635665779522e-43
1.128	7581205736930797e-43
1.136	6962766852888333e-43
1.144	6309191482965334e-43
1.152	5645768135275557e-43
1.16	4800432479860411e-43
1.168	4389034233790042e-43
1.176	406899405491174e-42
1.184	34611916418738005e-44
1.192	2733756894770347e-43
1.2	253906568035698e-42
1.208	22550999156982163e-44
1.216	2378757433010641e-43
1.224	23312621276878516e-44
1.232	20293791917876095e-44
1.24	19428136691342028e-44
1.248	20027403008745159e-44
1.256	18003387303682292e-44
1.264	1914841618528631e-43
1.272	16768842735624893e-44
1.28	1673684913530288e-43
1.288	17241954738563722e-44
1.296	15372449495942782e-44
1.304	1669981899557093e-43
1.312	16270273940906966e-44
1.32	15707723774331838e-44
1.328	17122895027731454e-44
1.336	21116129925762187e-44
1.344	21954091031642267e-44
1.352	2260281915616566e-43
1.36	22367467938470883e-44
1.368	18734295238831673e-44
1.376	17403230903266385e-44
1.384	17041274945188359e-44
1.392	18241846966724818e-44
1.4	17298720654101442e-44
1.408	1590832595130869e-43
1.416	15654643254685992e-44
