# L= 50  beta= [0.5]  t_max= 8.0  steps= 1000
t 	  D= [200]
0.008	-7827011128061397e-25
0.016	-782613974039284e-24
0.032	-7824386559360215e-25
0.048	-7822617527548551e-25
0.064	-7820828796198671e-25
0.08	-7819014480797398e-25
0.096	-7817166224315552e-25
0.112	-7815272707738302e-25
0.128	-7813319113606512e-25
0.144	-7811286552618956e-25
0.16	-7809151468487979e-25
0.176	-7806885042090799e-25
0.192	-7804452622485247e-25
0.208	-7801813219279798e-25
0.224	-7798919098129846e-25
0.24	-7795715527959981e-25
0.256	-7792140734547503e-25
0.272	-778812611922449e-24
0.288	-7783596802305457e-25
0.304	-7778472547236628e-25
0.32	-7772669111646032e-25
0.336	-7766100054257873e-25
0.352	-7758679001222217e-25
0.368	-775032234219899e-24
0.384	-7740952286939736e-25
0.4	-7730500170273988e-25
0.416	-771890985186787e-24
0.432	-7706141022313858e-25
0.448	-7692172204904074e-25
0.464	-7677003237906067e-25
0.48	-7660657038658655e-25
0.496	-7643180489099175e-25
0.512	-7624644339800131e-25
0.528	-7605142101304403e-25
0.544	-7584787968650878e-25
0.56	-7563713899422479e-25
0.576	-7542066027697568e-25
0.592	-7520000639160244e-25
0.608	-7497679952019687e-25
0.624	-7475267943244561e-25
0.64	-7452926432668705e-25
0.656	-7430811593899708e-25
0.672	-7409071007798314e-25
0.688	-7387841318538418e-25
0.704	-7367246500908794e-25
0.72	-734739670516081e-24
0.736	-7328387615329781e-25
0.752	-7310300239244137e-25
0.768	-7293201042483799e-25
0.784	-7277142341785833e-25
0.8	-7262162883297052e-25
0.816	-7248288544424444e-25
0.832	-7235533112357171e-25
0.848	-7223899105782382e-25
0.864	-7213378617547729e-25
0.88	-7203954164675423e-25
0.896	-7195599538008591e-25
0.912	-7188280647415153e-25
0.928	-7181956360276524e-25
0.944	-7176579331590229e-25
0.96	-7172096823878748e-25
0.976	-7168451514684589e-25
0.992	-7165582288937752e-25
1.008	-7163425013088616e-25
1.024	-7161913287713327e-25
1.04	-71609791752363e-23
1.056	-7160553899466797e-25
1.072	-7160568513858743e-25
1.088	-716095453554744e-24
1.104	-7161644542484684e-25
1.12	-7162572731108698e-25
1.136	-7163675432283203e-25
1.152	-71648915833432e-23
1.168	-7166163154307622e-25
1.184	-7167435526602895e-25
1.2	-7168657822769104e-25
1.216	-7169783186073468e-25
1.232	-7170769009148458e-25
1.248	-7171577111296516e-25
1.264	-717217386445059e-24
1.28	-7172530268281836e-25
1.296	-7172621975418048e-25
1.312	-7172429268239066e-25
1.328	-717193698920921e-24
1.344	-7171134427174384e-25
1.36	-7170015162508764e-25
1.376	-7168576874405557e-25
1.392	-716682111396414e-24
1.408	-7164753047050571e-25
1.424	-7162381171139133e-25
1.44	-7159717010545618e-25
1.456	-7156774794588075e-25
1.472	-7153571123241234e-25
1.488	-7150124624873954e-25
1.504	-7146455610562641e-25
1.52	-714258572934015e-24
1.536	-7138537628571295e-25
1.552	-7134334623384815e-25
1.568	-7130000378801412e-25
1.584	-7125558607905896e-25
1.6	-7121032789010496e-25
1.616	-7116445904410317e-25
1.632	-7111820202909523e-25
1.648	-7107176987883364e-25
1.664	-7102536432235351e-25
1.68	-709791742116467e-24
1.696	-709333742325064e-24
1.712	-7088812389980463e-25
1.728	-7084356683408357e-25
1.744	-7079983031319702e-25
1.76	-707570250889567e-24
1.776	-7071524545552994e-25
1.792	-7067456955362116e-25
1.808	-706350598919483e-24
1.824	-7059676406517755e-25
1.84	-7055971564577423e-25
1.856	-7052393522569778e-25
1.872	-7048943158277091e-25
1.888	-7045620294603666e-25
1.904	-7042423833387249e-25
1.92	-70393518938718e-23
1.936	-7036401953279867e-25
1.952	-7033570986997689e-25
1.968	-7030855605986431e-25
1.984	-7028252189191163e-25
2	-7025757008851795e-25
2.016	-7023366346825941e-25
2.032	-702107660032183e-24
2.048	-701888437549118e-24
2.064	-7016786567774582e-25
2.08	-7014780428074627e-25
2.096	-7012863614167523e-25
2.112	-7011034226815751e-25
2.128	-7009290830354947e-25
2.144	-7007632458243053e-25
2.16	-70060586037224e-23
2.176	-7004569196243627e-25
2.192	-7003164564535451e-25
2.208	-7001845387398575e-25
2.224	-7000612633447828e-25
2.24	-6999467491236566e-25
2.256	-6998411291242867e-25
2.272	-6997445421374141e-25
2.288	-6996571237712046e-25
2.304	-6995789972155041e-25
2.32	-6995102638775245e-25
2.336	-6994509940888614e-25
2.352	-6994012180557093e-25
2.368	-6993609172149691e-25
2.384	-6993300161790581e-25
2.4	-6993083753653559e-25
2.416	-6992957843459277e-25
2.432	-6992919559305405e-25
2.448	-6992965212312105e-25
2.464	-6993090266735576e-25
2.48	-6993289333547817e-25
2.496	-6993556183037904e-25
2.512	-6993883777569557e-25
2.528	-6994264200749773e-25
2.544	-6994688618042184e-25
2.56	-6995147390303577e-25
2.576	-6995630156794284e-25
2.592	-6996125972362722e-25
2.608	-699662347184235e-24
2.624	-6997110833959461e-25
2.64	-6997575796080582e-25
2.656	-6998005790629018e-25
2.672	-6998388049907709e-25
2.688	-6998709741515349e-25
2.704	-6998958181535922e-25
2.72	-6999120858996119e-25
2.736	-699918559583172e-24
2.752	-69991406784687e-23
2.768	-6998974839237992e-25
2.784	-6998677864668624e-25
2.8	-6998240505347852e-25
2.816	-6997653824107305e-25
2.832	-6996909502008952e-25
2.848	-6996000277830448e-25
2.864	-6994920180924504e-25
2.88	-6993664359016661e-25
2.896	-6992228923917685e-25
2.912	-6990610860624748e-25
2.928	-6988808076547937e-25
2.944	-6986820449016533e-25
2.96	-6984650849069941e-25
2.976	-6982303880172945e-25
2.992	-6979783027299962e-25
3.008	-6977092099630478e-25
3.024	-6974236524561694e-25
3.04	-6971223027559344e-25
3.056	-6968059363980524e-25
3.072	-6964754197013927e-25
3.088	-6961317010840783e-25
3.104	-6957758026885326e-25
3.12	-6954088053133116e-25
3.136	-6950318340003323e-25
3.152	-6946460501967427e-25
3.168	-6942526433510237e-25
3.184	-6938528255615222e-25
3.2	-693447831717883e-24
3.216	-6930389240459568e-25
3.232	-692627386602081e-24
3.248	-6922145088764069e-25
3.264	-6918015860896437e-25
3.28	-6913899003955493e-25
3.296	-6909806258562918e-25
3.312	-6905747841583806e-25
3.328	-6901733089139096e-25
3.344	-6897771078028127e-25
3.36	-6893870674432047e-25
3.376	-6890040113823927e-25
3.392	-6886286619785311e-25
3.408	-6882616200225401e-25
3.424	-6879033569075516e-25
3.44	-6875542200592906e-25
3.456	-6872144580454585e-25
3.472	-6868842689441776e-25
3.488	-6865638554439872e-25
3.504	-6862534550116943e-25
3.52	-6859533379531771e-25
3.536	-6856638026027406e-25
3.552	-6853851915174735e-25
3.568	-6851179233176727e-25
3.584	-6848625274817506e-25
3.6	-6846196677902573e-25
3.616	-6843901212097409e-25
3.632	-6841746671927291e-25
3.648	-6839738789525068e-25
3.664	-6837879028545377e-25
3.68	-6836163884650624e-25
3.696	-6834586668301076e-25
3.712	-6833140945754507e-25
3.728	-6831823883656318e-25
3.744	-6830638464223221e-25
3.76	-682959456787717e-24
3.776	-6828709200809219e-25
3.792	-6828005911393641e-25
3.808	-6827513340057717e-25
3.824	-6827263199716139e-25
3.84	-6827288355255556e-25
3.856	-6827621001690551e-25
3.872	-6828288988412601e-25
3.888	-6829306881747668e-25
3.904	-6830660004115977e-25
3.92	-6832285084058415e-25
3.936	-6834057104053087e-25
3.952	-6835793660005229e-25
3.968	-6837284088566145e-25
3.984	-6838341753587842e-25
4	-683886356566718e-24
4.016	-6838867521738944e-25
4.032	-6838487260297152e-25
4.048	-6837932815915813e-25
4.064	-6837447094931734e-25
4.08	-6837284316127974e-25
4.096	-68377185059722e-23
4.112	-6839068322091972e-25
4.128	-6841713097150929e-25
4.144	-6846078491145143e-25
4.16	-6852583457689441e-25
4.176	-6861558980133568e-25
4.192	-6873166192715709e-25
4.208	-6887345601027115e-25
4.224	-6903815213695253e-25
4.24	-6922110175567763e-25
4.256	-694163899514906e-24
4.272	-6961738019343712e-25
4.288	-6981722457991036e-25
4.304	-7000935175065588e-25
4.32	-7018788580635134e-25
4.336	-7034797969877872e-25
4.352	-7048615073512521e-25
4.368	-7060075229353199e-25
4.384	-7069266491403997e-25
4.4	-7076619242738263e-25
4.416	-7083003383190396e-25
4.432	-7089805072257376e-25
4.448	-7098935751998262e-25
4.464	-7112709319048322e-25
4.48	-7133525315371277e-25
4.496	-7163340061568157e-25
4.512	-7203004329543246e-25
4.528	-7251659312056228e-25
4.544	-7306425646790078e-25
4.56	-7362529314680468e-25
4.576	-7413827215093031e-25
4.592	-7453545039483445e-25
4.608	-7475003488108139e-25
4.624	-7472174629177894e-25
4.64	-744001011346017e-24
4.656	-737455468547109e-24
4.672	-7272881502157515e-25
4.688	-7132879047629459e-25
4.704	-6952913454489777e-25
4.72	-673139929007296e-24
4.736	-6466327945256629e-25
4.752	-6154809502458619e-25
4.768	-5792675177169414e-25
4.784	-5374170749772734e-25
4.8	-4891760056935465e-25
4.816	-43360600542570313e-26
4.832	-36959419937904074e-26
4.848	-2958841388870443e-25
4.864	-21113025361498902e-26
4.88	-11397310411872481e-26
4.896	-3125286653275898e-27
4.912	1225482709272685e-25
4.928	263972639823916e-24
4.944	4218389198456414e-25
4.96	5966149653120488e-25
