# L= 80  beta= [0.5]  t_max= 8.0  steps= 1000
t 	  D= [200]
0.008	-64.60398080439876
0.016	-64.60832037015011
0.032	-64.61900747962837
0.048	-64.63293603130981
0.064	-64.65088451129913
0.08	-64.67374940861868
0.096	-64.70254175064011
0.112	-64.73837584921996
0.128	-64.78244860898062
0.144	-64.83600801038682
0.16	-64.90030984690996
0.176	-64.97656247889942
0.192	-65.06586025650758
0.208	-65.16910732339306
0.224	-65.2869346768676
0.24	-65.41961453594585
0.256	-65.56697714137182
0.272	-65.72833595294111
0.288	-65.90242769081541
0.304	-66.08737367582796
0.32	-66.28066837721366
0.336	-66.47919993925044
0.352	-66.67930575285052
0.368	-66.87686394868204
0.384	-67.06741916024703
0.4	-67.24633823486866
0.416	-67.40898898864697
0.432	-67.55093285110934
0.448	-67.6681205565098
0.464	-67.75707910298084
0.48	-67.81507814859621
0.496	-67.84026489758509
0.512	-67.83175831633444
0.528	-67.78969608593978
0.544	-67.71523084642422
0.56	-67.61047575708332
0.576	-67.47840289156858
0.592	-67.32270120245772
0.608	-67.14760344935658
0.624	-66.9576933616029
0.64	-66.75770525264271
0.656	-66.55232826177168
0.672	-66.34602641062773
0.688	-66.14288385774611
0.704	-65.94648231912554
0.72	-65.75981484891528
0.736	-65.58523731295493
0.752	-65.42445619753454
0.768	-65.2785490953783
0.784	-65.14801245959754
0.8	-65.03283010219914
0.816	-64.93255545199693
0.832	-64.8464007272299
0.848	-64.77332681950234
0.864	-64.71212869335521
0.88	-64.66151233199362
0.896	-64.6201605609553
0.912	-64.58678633322045
0.928	-64.56017316522625
0.944	-64.53920331032312
0.96	-64.52287491392593
0.976	-64.51030981151919
0.992	-64.50075382793234
1.008	-64.49357145032428
1.024	-64.48823662235101
1.04	-64.48432118886713
1.056	-64.4814822514432
1.072	-64.47944941047729
1.088	-64.47801259681893
1.104	-64.47701095291842
1.12	-64.4763230209262
1.136	-64.47585833661088
1.152	-64.47555041217241
1.168	-64.47535101342602
1.184	-64.47522559104843
1.2	-64.47514970459224
1.216	-64.47510627498568
1.232	-64.47508351032951
1.248	-64.47507336598413
1.264	-64.47507041952476
1.28	-64.47507106140867
1.296	-64.47507292138764
1.312	-64.47507446783713
1.328	-64.47507473176314
1.344	-64.47507311924319
1.36	-64.47506928559402
1.376	-64.47506305197538
1.392	-64.47505435071314
1.408	-64.47504318977448
1.424	-64.47502962982196
1.44	-64.47501376940134
1.456	-64.47499573531053
1.472	-64.47497567620866
1.488	-64.47495375821313
1.504	-64.47493016169904
1.52	-64.47490507879834
1.536	-64.47487871129947
1.552	-64.47485126876295
1.568	-64.47482296675638
1.584	-64.47479402514129
1.6	-64.47476466638729
1.616	-64.47473511390892
1.632	-64.47470559040949
1.648	-64.47467631625143
1.664	-64.47464750785116
1.68	-64.47461937611159
1.696	-64.47459212490607
1.712	-64.47456594961832
1.728	-64.47454103575323
1.744	-64.47451755763034
1.76	-64.47449567716612
1.776	-64.47447554275514
1.792	-64.47445728825939
1.808	-64.47444103211751
1.824	-64.47442687656893
1.84	-64.47441490701368
1.856	-64.4744051914999
1.872	-64.4743977803506
1.888	-64.47439270592622
1.904	-64.47438998253136
1.92	-64.47438960645752
1.936	-64.47439155616927
1.952	-64.4743957926253
1.968	-64.47440225973358
1.984	-64.47441088493812
2	-64.47442157992808
2.016	-64.47443424146577
2.032	-64.474448752327
2.048	-64.47446498234125
2.064	-64.47448278952848
2.08	-64.47450202131647
2.096	-64.47452251583611
2.112	-64.47454410327494
2.128	-64.47456660728557
2.144	-64.47458984643087
2.16	-64.47461363565759
2.176	-64.47463778778722
2.192	-64.47466211500645
2.208	-64.4746864303527
2.224	-64.47471054917555
2.24	-64.47473429056677
2.256	-64.47475747874478
2.272	-64.47477994438853
2.288	-64.47480152590006
2.304	-64.4748220705974
2.32	-64.4748414358184
2.336	-64.47485948993814
2.352	-64.4748761132792
2.368	-64.47489119892342
2.384	-64.47490465340601
2.4	-64.47491639729719
2.416	-64.4749263656603
2.432	-64.47493450839183
2.448	-64.4749407904337
2.464	-64.47494519186301
2.48	-64.47494770785953
2.496	-64.47494834854922
2.512	-64.47494713872814
2.528	-64.47494411747434
2.544	-64.47493933764358
2.56	-64.4749328652642
2.576	-64.47492477882984
2.592	-64.47491516850121
2.608	-64.47490413522293
2.624	-64.47489178976379
2.64	-64.47487825169044
2.656	-64.4748636482835
2.672	-64.4748481134023
2.688	-64.47483178631602
2.704	-64.474814810503
2.72	-64.47479733243266
2.736	-64.47477950034119
2.752	-64.47476146300836
2.768	-64.47474336854688
2.784	-64.47472536321534
2.8	-64.47470759026021
2.816	-64.47469018880226
2.832	-64.4746732927704
2.848	-64.47465702989186
2.864	-64.4746415207489
2.88	-64.47462687790805
2.896	-64.4746132051246
2.912	-64.47460059663408
2.928	-64.47458913652663
2.944	-64.47457889821808
2.96	-64.4745699440123
2.976	-64.47456232476296
2.992	-64.47455607963045
3.008	-64.47455123594158
3.024	-64.47454780914354
3.04	-64.47454580285817
3.056	-64.47454520903155
3.072	-64.47454600817368
3.088	-64.47454816969235
3.104	-64.47455165230666
3.12	-64.47455640454726
3.136	-64.47456236532764
3.152	-64.47456946458762
3.168	-64.47457762399873
3.184	-64.4745867577291
3.2	-64.47459677325479
3.216	-64.47460757221516
3.232	-64.47461905130457
3.248	-64.47463110318907
3.264	-64.47464361744358
3.28	-64.47465648150096
3.296	-64.47466958160393
3.312	-64.47468280375465
3.328	-64.4746960346507
3.344	-64.47470916260441
3.36	-64.47472207843451
3.376	-64.47473467632588
3.392	-64.47474685465022
3.408	-64.47475851674196
3.424	-64.4747695716218
3.44	-64.47477993466671
3.456	-64.4747895282181
3.472	-64.47479828212667
3.488	-64.47480613422866
3.504	-64.4748130307517
3.52	-64.47481892664834
3.536	-64.47482378585387
3.552	-64.47482758146968
3.568	-64.47483029586978
3.584	-64.47483192073146
3.6	-64.47483245699
3.616	-64.47483191472084
3.632	-64.47483031294846
3.648	-64.47482767938686
3.664	-64.47482405011276
3.68	-64.47481946917706
3.696	-64.4748139881556
3.712	-64.47480766564439
3.728	-64.47480056670503
3.744	-64.47479276226257
3.76	-64.47478432846515
3.776	-64.47477534600615
3.792	-64.47476589942042
3.808	-64.47475607635492
3.824	-64.47474596682363
3.84	-64.47473566245185
3.856	-64.47472525571413
3.872	-64.47471483917585
3.888	-64.47470450473985
3.904	-64.47469434290727
3.92	-64.47468444205093
3.936	-64.47467488770994
3.952	-64.47466576190824
3.968	-64.47465714250602
3.984	-64.47464910260118
4	-64.47464170999469
4.016	-64.4746350267281
4.032	-64.47462910868113
4.048	-64.47462400520435
4.064	-64.4746197587867
4.08	-64.47461640477327
4.096	-64.47461397115471
4.112	-64.47461247843259
4.128	-64.47461193955779
4.144	-64.47461235992834
4.16	-64.47461373744838
4.176	-64.4746160626557
4.192	-64.47461931892572
4.208	-64.47462348275717
4.224	-64.47462852413483
4.24	-64.47463440696501
4.256	-64.47464108957676
4.272	-64.4746485252787
4.288	-64.47465666296763
4.304	-64.47466544779344
4.32	-64.47467482189255
4.336	-64.47468472519873
4.352	-64.47469509633648
4.368	-64.47470587358997
4.384	-64.4747169959327
4.4	-64.47472840409354
4.416	-64.47474004163583
4.432	-64.47475185603315
4.448	-64.47476379973355
4.464	-64.47477583121483
4.48	-64.47478791603903
4.496	-64.47480002793287
4.512	-64.47481214992617
4.528	-64.47482427558593
4.544	-64.47483641035309
4.56	-64.47484857296838
4.576	-64.4748607969649
4.592	-64.47487313224019
4.608	-64.47488564674255
4.624	-64.47489842829188
4.64	-64.474911586496
4.656	-64.47492525468746
4.672	-64.47493959179694
4.688	-64.47495478411479
4.704	-64.47497104693542
4.72	-64.47498862611843
4.736	-64.47500779962523
4.752	-64.47502887907562
4.768	-64.47505221133258
4.784	-64.4750781800817
4.8	-64.47510720735438
4.816	-64.47513975498309
4.832	-64.47517632604703
4.848	-64.4752174664524
4.864	-64.47526376680777
4.88	-64.47531586469212
4.896	-64.47537444725168
4.912	-64.47544025389558
4.928	-64.47551407873449
4.944	-64.47559677239977
4.96	-64.47568924298226
4.976	-64.47579245600713
4.992	-64.47590743353925
5.008	-64.47603525261472
5.024	-64.47617704320326
5.04	-64.47633398584264
5.056	-64.4765073090209
5.072	-64.47669828635102
5.088	-64.47690823359916
5.104	-64.47713850567581
5.12	-64.4773904937302
5.136	-64.4776656224909
5.152	-64.47796534795162
5.168	-64.47829115542561
5.184	-64.47864455790058
5.2	-64.47902709453457
5.216	-64.4794403290598
5.232	-64.4798858478245
5.248	-64.48036525720848
5.264	-64.48088018019483
5.28	-64.48143225197049
5.296	-64.48202311452769
5.312	-64.48265441034556
5.328	-64.48332777532363
5.344	-64.48404483119253
5.36	-64.48480717767008
5.376	-64.48561638461909
5.392	-64.48647398444665
5.408	-64.48738146494321
5.424	-64.48834026271389
5.44	-64.48935175731481
5.456	-64.49041726616726
5.472	-64.49153804030114
5.488	-64.49271526095734
5.504	-64.49395003707338
5.52	-64.49524340366743
5.536	-64.49659632113641
5.552	-64.4980096754777
5.568	-64.49948427943907
5.584	-64.50102087459284
5.6	-64.50262013431579
5.616	-64.50428266764413
5.632	-64.50600902395301
5.648	-64.50779969839293
5.664	-64.50965513800035
5.68	-64.51157574838078
5.696	-64.51356190085319
5.712	-64.51561393993059
5.728	-64.51773219100888
5.744	-64.51991696812713
5.76	-64.52216858166433
5.776	-64.52448734583561
5.792	-64.52687358585426
5.808	-64.5293276446297
5.824	-64.53184988887287
5.84	-64.53444071449142
5.856	-64.53710055115596
5.872	-64.53982986593186
5.888	-64.54262916587314
5.904	-64.54549899948529
5.92	-64.54843995697333
5.936	-64.55145266919902
5.952	-64.55453780528487
5.968	-64.55769606881395
5.984	-64.56092819258957
6	-64.56423493193581
6.016	-64.56761705654047
6.032	-64.57107534085993
6.048	-64.5746105531355
6.064	-64.57822344309321
6.08	-64.5819147284316
6.096	-64.58568508023478
6.112	-64.5895351074847
6.128	-64.5934653408801
6.144	-64.59747621621817
6.16	-64.60156805762776
6.176	-64.60574106099178
6.192	-64.60999527793243
6.208	-64.6143306007663
6.224	-64.61874674885105
6.24	-64.62324325672864
6.256	-64.62781946438889
6.272	-64.63247450980036
6.288	-64.63720732351526
6.304	-64.6420166246038
6.32	-64.64690091636969
6.336	-64.6518584793041
6.352	-64.65688735778072
6.368	-64.66198533653798
6.384	-64.66714990369827
6.4	-64.67237819950124
6.416	-64.67766695420391
6.432	-64.6830124240472
6.448	-64.6884103392391
6.464	-64.69385588010663
6.48	-64.69934369437394
6.496	-64.70486795908778
6.512	-64.71042247790876
6.528	-64.71600079432169
6.544	-64.72159629935703
6.56	-64.72720231977974
6.576	-64.732812184613
6.592	-64.73841927648635
6.608	-64.74401707464689
6.624	-64.74959919063667
6.64	-64.75515939250101
6.656	-64.76069161398136
6.672	-64.76618995059317
6.688	-64.77164865018773
6.704	-64.77706210777693
6.72	-64.78242487245475
6.736	-64.78773166988583
6.752	-64.79297743920104
6.768	-64.79815737973414
6.784	-64.80326700146976
6.8	-64.80830217328742
6.816	-64.81325916452417
6.832	-64.81813467731348
6.848	-64.82292586892765
6.864	-64.82763036456977
6.88	-64.83224626168565
6.896	-64.83677212702516
6.912	-64.8412069876098
6.928	-64.8455503166123
6.944	-64.84980201500291
6.96	-64.85396238970418
6.976	-64.85803212890178
6.992	-64.86201227509974
7.008	-64.865904196469
7.024	-64.8697095570163
7.04	-64.8734302860899
7.056	-64.87706854772384
7.072	-64.88062671030454
7.088	-64.8841073169988
7.104	-64.88751305733136
7.12	-64.8908467402211
7.136	-64.8941112686951
7.152	-64.89730961638749
7.168	-64.90044480580758
7.184	-64.90351988821955
7.2	-64.90653792482834
7.216	-64.90950196882629
7.232	-64.91241504774567
7.248	-64.91528014551528
7.264	-64.91810018366073
7.28	-64.9208780012268
7.296	-64.92361633323841
7.312	-64.92631778781498
7.328	-64.92898482238812
7.344	-64.9316197197767
7.36	-64.93422456511621
7.376	-64.9368012247681
7.392	-64.9393513283335
7.408	-64.94187625476457
7.424	-64.94437712332531
7.44	-64.94685478985997
7.456	-64.94930984852266
7.472	-64.95174263886315
7.488	-64.95415325796978
7.504	-64.95654157723794
7.52	-64.95890726324355
7.536	-64.96124980212005
7.552	-64.96356852675626
7.568	-64.96586264603991
7.584	-64.96813127529882
7.6	-64.97037346705984
7.616	-64.97258824127891
7.632	-64.97477461430309
7.648	-64.97693162599174
7.664	-64.97905836462346
7.68	-64.9811539894108
7.696	-64.98321775060565
7.712	-64.9852490072899
7.728	-64.98724724299493
7.744	-64.989212079294
7.76	-64.99114328747619
7.776	-64.99304079835524
7.792	-64.99490471021144
7.808	-64.99673529482055
7.824	-64.99853300149398
7.84	-65.00029845905266
7.856	-65.00203247566705
7.872	-65.00373603652822
7.888	-65.00541029935474
7.904	-65.00705658779032
7.92	-65.00867638279263
7.936	-65.01027131216759
7.952	-65.01184313843723
7.968	-65.0133937452711
7.984	-65.01492512273362
8	-65.01643935161661
