# L= 80  beta= [0.5]  t_max= 8.0  steps= 1000
t 	  D= [200]
0.008	-0.40583793476370145
0.016	-0.4058381977830432
0.032	-0.4058393822591294
0.048	-0.40584170539882836
0.064	-0.40584555562471697
0.08	-0.405851424922215
0.096	-0.4058599301740184
0.112	-0.4058718365533362
0.128	-0.40588808241199503
0.144	-0.4059098048154209
0.16	-0.4059383645626571
0.176	-0.405975369202706
0.192	-0.40602269224149456
0.208	-0.40608248645575873
0.224	-0.40615718902465114
0.24	-0.40624951609305493
0.256	-0.4063624444281896
0.272	-0.40649917805487734
0.288	-0.4066630981777636
0.304	-0.4068576953319296
0.32	-0.4070864835399043
0.336	-0.40735289726743135
0.352	-0.4076601731145724
0.368	-0.4080112193839539
0.384	-0.40840847784767875
0.4	-0.4088537830894012
0.416	-0.4093482256254084
0.432	-0.40989202551260345
0.448	-0.410484423254009
0.464	-0.4111235944657297
0.48	-0.4118065939632573
0.496	-0.41252933369226646
0.512	-0.4132865973463009
0.528	-0.4140720926930682
0.544	-0.41487854071161995
0.56	-0.4156977987729073
0.576	-0.4165210134192318
0.592	-0.41733879693491593
0.608	-0.41814142093767254
0.624	-0.41891901970361545
0.64	-0.4196617958710924
0.656	-0.42036022151397334
0.672	-0.42100522826698167
0.688	-0.4215883811385352
0.704	-0.42210203176491284
0.72	-0.42253944805089066
0.736	-0.4228949183222628
0.752	-0.423163829217
0.768	-0.4233427175135707
0.784	-0.4234292969055152
0.8	-0.4234224613655639
0.816	-0.42332226720102417
0.832	-0.4231298961950679
0.848	-0.42284760237650376
0.864	-0.4224786449868685
0.88	-0.4220272101452127
0.896	-0.42149832357343786
0.912	-0.42089775656284995
0.928	-0.42023192715608687
0.944	-0.41950779830550705
0.96	-0.4187327745616479
0.976	-0.41791459865313424
0.992	-0.4170612491473183
1.008	-0.4161808402317275
1.024	-0.41528152452943
1.04	-0.41437139975519116
1.056	-0.4134584199302908
1.072	-0.41255031179830104
1.088	-0.4116544970181537
1.104	-0.41077802065031693
1.12	-0.40992748639377974
1.136	-0.40910899897283365
1.152	-0.4083281140116088
1.168	-0.4075897956693921
1.184	-0.4068983822406747
1.2	-0.4062575598504027
1.216	-0.40567034429771165
1.232	-0.4051390710214515
1.248	-0.40466539307906074
1.264	-0.40425028694832144
1.28	-0.4038940658805782
1.296	-0.40359640045546297
1.312	-0.40335634591258573
1.328	-0.40317237576592846
1.344	-0.4030424211434051
1.36	-0.4029639152377033
1.376	-0.40293384220642753
1.392	-0.4029487898198933
1.408	-0.40300500512455595
1.424	-0.4030984523692207
1.44	-0.4032248724298887
1.456	-0.40337984296775564
1.472	-0.40355883856298314
1.488	-0.4037572900844574
1.504	-0.403970642582416
1.52	-0.40419441102595177
1.536	-0.40442423325049337
1.552	-0.40465591953080265
1.568	-0.4048854982518732
1.584	-0.40510925721261776
1.6	-0.40532378016438775
1.616	-0.4055259782575128
1.632	-0.40571311614249
1.648	-0.40588283254823243
1.664	-0.40603315523566635
1.68	-0.4061625103010165
1.696	-0.4062697258775827
1.712	-0.4063540303570746
1.728	-0.40641504532067896
1.744	-0.40645277343508146
1.76	-0.4064675816287988
1.776	-0.40646017991881456
1.792	-0.40643159630603387
