# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [80]
0.01	-2525722367132331e-20
0.1	-25228318649989793e-21
0.2	-2519860133894956e-20
0.3	-25173822243234543e-21
0.4	-25156243264890634e-21
0.5	-25147490350265134e-21
0.6	-25147796596945703e-21
0.7	-25154735276222608e-21
0.8	-25161209745571428e-21
0.9	-25152318715871314e-21
1	-2510049143024587e-20
1.1	-24958059387770574e-21
1.2	-2464658655944089e-20
1.3	-24043995232820228e-21
1.4	-22975950877982076e-21
1.5	-21228299838909737e-21
1.6	-18606714554935266e-21
1.7	-15058934897259872e-21
1.8	-10822938332677589e-21
1.9	-64899059042781094e-22
2	-28615194989148784e-22
2.1	-6176358656073368e-22
2.2	-9607228083710884e-24
2.3	-8148622256226447e-22
2.4	-2553651409247011e-21
2.5	-4754705313362118e-21
2.6	-709550305368741e-20
2.7	-940742500775624e-20
2.8	-11620299372293574e-21
2.9	-13706301011208542e-21
3	-15644207139027977e-21
3.1	-1740436104042792e-20
3.2	-18951821266096086e-21
3.3	-20261070747654278e-21
3.4	-21329985189290017e-21
3.5	-2218526613527337e-20
3.6	-2286620642152049e-20
3.7	-2339296462786105e-20
3.8	-23767931324456416e-21
3.9	-2399035908512385e-20
4	-240453608276385e-19
4.1	-23910299688987907e-21
4.2	-23704256838375534e-21
4.3	-2345573478318386e-20
4.4	-2305930749615404e-20
4.5	-22464079518991872e-21
4.6	-21692913269242527e-21
4.7	-20675610481540195e-21
4.8	-19173993537139788e-21
4.9	-1695942725529815e-20
5	-13960935033438807e-21
5.1	-1027207120779408e-20
5.2	-6159154970304431e-21
5.3	-21866963920652633e-22
5.4	6375672709142568e-22
5.5	16377102850185186e-22
5.6	1544922562117545e-21
5.7	11257428522207413e-22
5.8	38969575907370444e-23
5.9	-6807580823089382e-22
6	-18958966316823736e-22
6.1	-28816982579877037e-22
6.2	-2984400671874515e-21
6.3	-13423086793026242e-22
6.4	26745517684944044e-22
6.5	8379702489436737e-21
6.6	12496961659783574e-21
6.7	1061489961952605e-20
6.8	10579927227142871e-22
6.9	-13330297498020037e-21
7	-26859097085969894e-21
7.1	-3486617236340049e-20
7.2	-3665191434224817e-20
7.3	-3522847811908428e-20
7.4	-3487381778539148e-20
7.5	-3794142895003846e-20
7.6	-42582196897748655e-21
7.7	-4346824587104665e-20
7.8	-354597286901779e-19
7.9	-17457741015192843e-21
8	6196394875702508e-21
8.1	28310290964251538e-21
8.2	4408431643473959e-20
8.3	535732254722235e-19
8.4	5936331806331544e-20
8.5	6296030974868745e-20
8.6	6325705791128866e-20
8.7	57958015670843654e-21
8.8	46435271574010254e-21
8.9	3081659982458307e-20
9	14307308774450829e-21
9.1	-7795128975961634e-22
9.2	-13500113968737682e-21
9.3	-2410581725293209e-20
9.4	-343884356438416e-19
9.5	-4807265082764518e-20
9.6	-6988993642012919e-20
9.7	-0.00010330927524034307
9.8	-0.00014883771162537064
9.9	-0.00020426505439882667
10	-0.0002659221865187594
10.1	-0.00032958221092285614
10.2	-0.0003910144607812587
10.3	-0.0004466968161487877
10.4	-0.0004945269607835483
10.5	-0.0005339401492484081
10.6	-0.0005654353969170543
10.7	-0.0005901452184528772
10.8	-0.0006095666821738445
10.9	-0.0006251816497154858
11	-0.0006381849618114347
11.1	-0.0006494799001458815
11.2	-0.0006594676609657734
11.3	-0.0006675589857780763
11.4	-0.0006721230997916599
11.5	-0.0006710836126255017
11.6	-0.0006625659780406707
11.7	-0.0006453379080228992
11.8	-0.0006193998268107372
11.9	-0.0005868049628742716
12	-0.0005519121889979591
12.1	-0.0005202180319302256
12.2	-0.0004961747401060744
12.3	-0.000481422347313691
12.4	-0.00047451480255571415
12.5	-0.00047206698464937456
12.6	-0.0004704020410184267
12.7	-0.00046680998103074416
12.8	-0.0004600210746132876
12.9	-0.0004499575847954117
13	-0.00043716988155255063
13.1	-0.0004224112848872641
13.2	-0.000406497659682922
13.3	-0.00039034333212497447
13.4	-0.00037508235576368896
13.5	-0.00036206299433939426
13.6	-0.0003523690799023731
13.7	-0.000346015381739834
13.8	-0.0003416049076105602
13.9	-0.00033696764276092513
14	-0.0003303258345540702
14.1	-0.0003209375990280938
14.2	-0.0003087176806252656
14.3	-0.0002935619726346458
14.4	-0.0002752851680082515
14.5	-0.00025413083916943244
14.6	-0.00023122909543385467
14.7	-0.0002084375830000383
14.8	-0.00018750313344692538
14.9	-0.0001691685777434962
15	-0.0001529508049393104
15.1	-0.00013770901889849872
15.2	-0.0001225906476912764
15.3	-0.00010783117447137484
15.4	-9497656569168643e-20
15.5	-8634848223199593e-20
15.6	-8407754663892911e-20
15.7	-8940019688037625e-20
15.8	-0.00010255916702591344
15.9	-0.00012299247480019134
16	-0.0001494398735056779
16.1	-0.0001800711478834708
16.2	-0.00021282792376798855
16.3	-0.00024578472340322174
16.4	-0.00027735419775267096
16.5	-0.00030641701044843185
16.6	-0.00033227018128526736
16.7	-0.0003542607461021096
16.8	-0.0003713909974960136
16.9	-0.00038225227201280277
17	-0.00038532877758355857
17.1	-0.00037950369575109915
17.2	-0.0003644519928823697
17.3	-0.0003406566390407876
17.4	-0.00030913875077354986
17.5	-0.0002710552912697116
17.6	-0.00022723056502394883
17.7	-0.0001779822086405336
17.8	-0.00012362285883620706
17.9	-6532169776252348e-20
18	-5383801152341771e-21
18.1	5361192528834394e-20
18.2	0.00011011448335566822
18.3	0.00016409843851837688
18.4	0.00021648560808703508
18.5	0.00026819989186714556
18.6	0.00031951093247110533
18.7	0.0003699322950399075
18.8	0.0004185668791975835
18.9	0.000464452382539937
19	0.0005066540516577006
19.1	0.0005443945098327601
19.2	0.0005775513181975776
19.3	0.000607258183623612
19.4	0.000635985972579974
19.5	0.000666840423797017
19.6	0.0007023745569801388
19.7	0.0007435842126587407
19.8	0.0007897217995083384
19.9	0.0008389102354655644
20	0.000888887904927245
