# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [200]
0.01	-55.492229532765066
0.1	-55.49250298984359
0.2	-55.49337130504361
0.3	-55.496124149263515
0.4	-55.50386346486856
0.5	-55.52342938961891
0.6	-55.568868352287865
0.7	-55.6669621199736
0.8	-55.864734610944275
0.9	-56.23776007104433
1	-56.89613431787989
1.1	-57.983184016491165
1.2	-59.661365322661496
1.3	-62.08131718536883
1.4	-65.33344926725015
1.5	-69.38559099063478
1.6	-74.01668720370274
1.7	-78.77146510357336
1.8	-82.98280246844624
1.9	-85.9074232128384
2	-86.95667945276487
2.1	-85.90955501832376
2.2	-82.98248124145424
2.3	-78.7324688944611
2.4	-73.8701894826071
2.5	-69.07164816440458
2.6	-64.84216888025004
2.7	-61.455576042398796
2.8	-58.96712709167402
2.9	-57.276896869571935
3	-56.20916640892231
3.1	-55.57848613827014
3.2	-55.22860257243496
3.3	-55.04573309894518
3.4	-54.955577077054095
3.5	-54.91369589986309
3.6	-54.89543522839289
3.7	-54.88803810251501
3.8	-54.88531413801333
3.9	-54.88444280956789
4	-54.884211965557824
4.1	-54.884121636569
4.2	-54.88399579697888
4.3	-54.88379259910377
4.4	-54.88353611227576
4.5	-54.883283864634045
4.6	-54.88309518489679
4.7	-54.88301811464515
4.8	-54.883073913835304
4.9	-54.88325229194286
5	-54.883515789483944
5.1	-54.883812674828825
5.2	-54.88409317897554
5.3	-54.88432376852869
5.4	-54.88449483455263
5.5	-54.88462264152484
5.6	-54.88474996780864
5.7	-54.88492868384101
5.8	-54.88521588574002
5.9	-54.88567518480217
6	-54.88636043373995
6.1	-54.887305875965076
6.2	-54.888527000328615
6.3	-54.89003123904531
6.4	-54.89179635653225
6.5	-54.893801394939494
6.6	-54.89604989694654
6.7	-54.898554890324505
6.8	-54.90136960170008
6.9	-54.904567380373365
7	-54.90817302107698
7.1	-54.912178984392064
7.2	-54.91657207711801
7.3	-54.9213277891031
7.4	-54.92640776293681
7.5	-54.9317738739918
7.6	-54.9374042065228
7.7	-54.94328998629789
7.8	-54.94941952628797
7.9	-54.955777951055296
8	-54.962349153343524
8.1	-54.96909511857496
8.2	-54.97597876187427
8.3	-54.983023692672056
8.4	-54.990256139211205
8.5	-54.99765348832744
8.6	-55.00517239810603
8.7	-55.012773817724714
8.8	-55.020430078583765
8.9	-55.02812825307139
9	-55.035869235932964
9.1	-55.04365032045524
9.2	-55.05144519257101
9.3	-55.05921633782861
9.4	-55.06693654642758
9.5	-55.07458871707314
9.6	-55.08216912533929
9.7	-55.08969589456251
9.8	-55.09720776391659
9.9	-55.10475256369788
10	-55.112369943952515
10.1	-55.12007696432172
10.2	-55.127865817890125
10.3	-55.13571475888404
10.4	-55.143602508690954
10.5	-55.15151222786778
10.6	-55.15942677044872
10.7	-55.16732766760561
10.8	-55.175198692483434
10.9	-55.18302893014702
11	-55.19081426940939
11.1	-55.19855791180687
11.2	-55.20627020856265
11.3	-55.213968875650544
11.4	-55.221677982756844
11.5	-55.22942281336645
11.6	-55.23722215528451
11.7	-55.24508245331337
11.8	-55.25299688188632
11.9	-55.26094955484406
12	-55.26892237902584
12.1	-55.276901486246864
12.2	-55.28488155098898
12.3	-55.29286689498056
12.4	-55.30086862295166
12.5	-55.30889870441466
12.6	-55.31696377512437
12.7	-55.325061122818816
12.8	-55.333177594481235
12.9	-55.341291462142635
13	-55.34937739209907
13.1	-55.3574138439954
13.2	-55.36539034689193
13.3	-55.37331102862089
13.4	-55.381192736756745
13.5	-55.389059671506715
13.6	-55.396937482950115
13.7	-55.404848022808686
13.8	-55.41280510676038
13.9	-55.420812635150156
14	-55.42886629063694
14.1	-55.43695803047633
14.2	-55.44508103481682
14.3	-55.453233100451406
14.4	-55.46141779861008
14.5	-55.46964343159946
14.6	-55.47791976563468
14.7	-55.48625333829192
14.8	-55.49464333452042
14.9	-55.50307977460673
15	-55.51154464954535
15.1	-55.52001565261631
15.2	-55.52847146819311
15.3	-55.536897172304954
15.4	-55.54528810586692
15.5	-55.55365088588644
15.6	-55.56200130135591
15.7	-55.570359983906954
15.8	-55.57874715140143
15.9	-55.58717774490993
16	-55.5956583260603
16.1	-55.604186954698456
16.2	-55.61275638443498
16.3	-55.62135931735386
16.4	-55.62999323537905
16.5	-55.638662449024885
16.6	-55.647376373008406
16.7	-55.656144818888635
16.8	-55.66497246037479
16.9	-55.67385520315227
17	-55.68278047943565
17.1	-55.691731232152726
17.2	-55.70069124544738
17.3	-55.70964942538381
17.4	-55.718602017523864
17.5	-55.72755276500499
17.6	-55.73651130828409
17.7	-55.74549043712197
17.8	-55.75450309502247
17.9	-55.76355981290664
18	-55.77266697257929
18.1	-55.781826466776074
18.2	-55.79103695227093
18.3	-55.80029560175704
18.4	-55.8095987874129
18.5	-55.818941284076594
18.6	-55.828315011226394
18.7	-55.8377088257242
18.8	-55.84711023719003
18.9	-55.85650850880115
19	-55.86589761036708
19.1	-55.87527793008328
19.2	-55.88465654826471
19.3	-55.89404602652895
19.4	-55.90346171750825
19.5	-55.91291827770543
19.6	-55.92242661159149
19.7	-55.93199213614286
19.8	-55.94161452264012
19.9	-55.95128870956696
20	-55.96100690443122
