# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [200]
0.01	-0.5589709209129274
0.1	-0.5589691612321217
0.2	-0.5589646013316698
0.3	-0.5589606437465675
0.4	-0.558964473144994
0.5	-0.5589911652959079
0.6	-0.5590730144369921
0.7	-0.559278240536416
0.8	-0.5597443284569964
0.9	-0.5607304225086369
1	-0.5626875238360523
1.1	-0.566330644523488
1.2	-0.5726701825761964
1.3	-0.5829232044252114
1.4	-0.5981987933293939
1.5	-0.6188875654609578
1.6	-0.6438661529287056
1.7	-0.6699755211114183
1.8	-0.6924929962491233
1.9	-0.7069093645938411
2	-0.711079764299088
2.1	-0.7059959115866035
2.2	-0.6945238860545035
2.3	-0.6794252185434754
2.4	-0.662294039052303
2.5	-0.6436883721408185
2.6	-0.6237620710968435
2.7	-0.602810155212468
2.8	-0.5815444138887494
2.9	-0.5611054919520946
3	-0.5428619432441237
3.1	-0.5280827554387991
3.2	-0.5176072672991546
3.3	-0.511636574348
3.4	-0.5097196019738156
3.5	-0.5109268815366272
3.6	-0.5141339930948621
3.7	-0.5183053508100386
3.8	-0.522685785598414
3.9	-0.5268578280445235
4	-0.530680346535321
4.1	-0.5341645272392707
4.2	-0.5373529797624123
4.3	-0.540248843257807
4.4	-0.5428076754477424
4.5	-0.5449733036061019
4.6	-0.5467231616221324
4.7	-0.5480928687692832
4.8	-0.5491680498046873
4.9	-0.5500521477042611
5	-0.5508309534157868
5.1	-0.551554007736594
5.2	-0.5522409003840444
5.3	-0.5529042629487148
5.4	-0.5535718739544585
5.5	-0.5542918033668018
5.6	-0.5551233348717713
5.7	-0.5561109265059951
5.8	-0.5572583821841112
5.9	-0.5585366405163349
6	-0.5599138342058863
6.1	-0.5613844640885338
6.2	-0.5629858473465903
6.3	-0.564796639346903
6.4	-0.5668845042862711
6.5	-0.569239225561635
6.6	-0.5717558644728563
6.7	-0.5742546969375278
6.8	-0.5765356067813038
6.9	-0.5784688692591546
7	-0.580046012306349
7.1	-0.5813547661940861
7.2	-0.5825053322509366
7.3	-0.5835639018639216
7.4	-0.5845306647468191
7.5	-0.5853807605263404
7.6	-0.5861686391321071
7.7	-0.5871365024189299
7.8	-0.5887266864173184
7.9	-0.591448385038715
8	-0.5956179823985327
8.1	-0.6010440344644432
8.2	-0.6068628565171601
8.3	-0.6117886663370982
8.4	-0.6146371188699287
8.5	-0.6147855731708015
8.6	-0.6124490586491756
8.7	-0.6086500717864832
8.8	-0.6048472674188506
8.9	-0.6023987020850887
9	-0.6020888824062742
9.1	-0.6038845700911691
9.2	-0.6069958599744306
9.3	-0.6102231214817924
9.4	-0.6124423096831447
9.5	-0.6130035291887558
9.6	-0.6119035227784444
9.7	-0.6097243197029697
9.8	-0.6073873314439007
9.9	-0.6058087197442227
10	-0.6055711578771452
10.1	-0.606713925882203
10.2	-0.6087083886664214
10.3	-0.6106503853981274
10.4	-0.6116283762465782
10.5	-0.6111085432197444
10.6	-0.6091386207194317
10.7	-0.6062894830349627
10.8	-0.6034004523368247
10.9	-0.6012592054050715
11	-0.6003411113779381
11.1	-0.6006877788334547
11.2	-0.6019422179871909
11.3	-0.6035055489855345
11.4	-0.6047536703330356
11.5	-0.6052433011561142
11.6	-0.604838794851776
11.7	-0.6037174857734161
11.8	-0.6022632481934735
11.9	-0.6009048107737844
12	-0.5999684792799456
12.1	-0.5995941607287312
12.2	-0.5997279075548436
12.3	-0.6001736931388774
12.4	-0.6006733333557295
12.5	-0.6009862235252654
12.6	-0.600950488101135
12.7	-0.6005152196096599
12.8	-0.5997393035640257
12.9	-0.598760148678074
13	-0.5977450396734303
13.1	-0.5968432653728288
13.2	-0.5961545758332494
13.3	-0.5957202414963456
13.4	-0.5955327442649645
13.5	-0.5955544137467166
13.6	-0.5957354475093417
13.7	-0.5960255544788271
13.8	-0.5963785506982201
13.9	-0.5967536100805289
14	-0.5971175795997217
14.1	-0.5974485560287608
14.2	-0.5977360209612207
14.3	-0.5979732047848461
14.4	-0.5981433848184309
14.5	-0.5982079984978849
14.6	-0.5981054599848413
14.7	-0.5977647846683173
14.8	-0.5971307197293051
14.9	-0.5961906777879055
15	-0.5949912700076196
15.1	-0.5936355976354072
15.2	-0.5922606485815867
15.3	-0.5910028221591462
15.4	-0.5899645048386637
15.5	-0.5891939814053628
15.6	-0.5886850947561679
15.7	-0.5883939979671728
15.8	-0.5882625301035918
15.9	-0.588236308701314
16	-0.5882717107789036
16.1	-0.5883346756444373
16.2	-0.5883988662174963
16.3	-0.5884484424674341
16.4	-0.5884846511688729
16.5	-0.5885307541162366
16.6	-0.5886292347128418
16.7	-0.5888285102156302
16.8	-0.5891619638136515
16.9	-0.5896274856530132
17	-0.5901776444406872
17.1	-0.5907269955113813
17.2	-0.5911752276364618
17.3	-0.591437456507979
17.4	-0.5914700422614606
17.5	-0.5912823011684701
17.6	-0.590929586592413
17.7	-0.5904899460153292
17.8	-0.5900333399694224
17.9	-0.5895961338365269
18	-0.5891713438173246
18.1	-0.5887175881606593
18.2	-0.5881811959876301
18.3	-0.5875210218546074
18.4	-0.5867259507810741
18.5	-0.5858195417676032
18.6	-0.5848520795319351
18.7	-0.5838849991251086
18.8	-0.5829745226321273
18.9	-0.58216005604262
19	-0.5814596944823786
19.1	-0.580871998224586
19.2	-0.5803814582442844
19.3	-0.5799651948641621
19.4	-0.5795996162527947
19.5	-0.5792664455596219
19.6	-0.578957060515862
19.7	-0.5786736779375362
19.8	-0.5784269575777062
19.9	-0.5782314301832306
20	-0.5781007788697637
