# L= 10  beta= [1.0]  t_max= 20.0  steps= 500
t 	  D= [40]
0.04	-0.10418843877585778
0.4	-0.10268433804284517
0.8	-0.1030000281297894
1.2	-0.10205683522325298
1.6	-0.07463799119047504
2	-0.0093824606318183
2.4	-0.021422436038395554
2.8	-0.07201049875950441
3.2	-0.10867800121227962
3.6	-0.126320000603922
4	-0.135098176657603
4.4	-0.14025023747598897
4.8	-0.13990505304161485
5.2	-0.1320656633319638
5.6	-0.12472031509457002
6	-0.10126707182971634
6.4	-0.06230279765351313
6.8	-0.0326396878678467
7.2	-0.025521959789281935
7.6	-0.039376199404910335
8	-0.06541909066479909
8.4	-0.0919579534932888
8.8	-0.12487706468555854
9.2	-0.14778190134072564
9.6	-0.1383357828110852
10	-0.1327916096516341
10.4	-0.12998689353321757
10.8	-0.12449898990420609
11.2	-0.09295436557294662
11.6	-0.07295030569556414
12	-0.05219368115765025
12.4	-0.025063903156486562
12.8	-0.029917896341337596
13.2	-0.06587517909940542
13.6	-0.11105383206682244
14	-0.1335297661557753
14.4	-0.1464198040880907
14.8	-0.1533388921573341
15.2	-0.14600986082430475
15.6	-0.11862879386230923
16	-0.10790000310606185
16.4	-0.1093691606338714
16.8	-0.0922580068275552
17.2	-0.05579082362184543
17.6	-0.03211834660889272
18	-0.03564685375630704
18.4	-0.05756055252747399
18.8	-0.08904999941890211
19.2	-0.12627359493490797
19.6	-0.1495130975085194
20	-0.15512469612103025
