# L= 10  beta= [1.0]  t_max= 20.0  steps= 500
t 	  D= [10]
0.04	-10.774330629084684
0.4	-10.77139915939216
0.8	-10.770252664254187
1.2	-10.78067824095309
1.6	-10.808428249588106
2	-10.830692116665809
2.4	-10.81267119302779
2.8	-10.785863409784014
3.2	-10.777660869926198
3.6	-10.796322945467505
4	-10.814121416329591
4.4	-10.809339703657145
4.8	-10.812409458371082
5.2	-10.819977265582953
5.6	-10.825881872673794
6	-10.83092974478285
6.4	-10.852712493690312
6.8	-10.852671187299732
7.2	-10.842464416074836
7.6	-10.849327881946127
8	-10.857486403089244
8.4	-10.856682145195808
8.8	-10.872387401066483
9.2	-10.875586830767691
9.6	-10.863824856127355
10	-10.881796800810758
10.4	-10.898868187373266
10.8	-10.888176423686716
11.2	-10.876616303090852
11.6	-10.873917946549167
12	-10.879121748297571
12.4	-10.872004362937805
12.8	-10.871949968270439
13.2	-10.878905758325411
13.6	-10.884759087819642
14	-10.889962358176312
14.4	-10.89007755875864
14.8	-10.9026935354035
15.2	-10.928487995034292
15.6	-10.957530919229672
16	-10.971232901031449
16.4	-10.993435827718976
16.8	-11.024427999875781
17.2	-11.036476309592294
17.6	-11.031489048714263
18	-11.047935960392195
18.4	-11.0654285787809
18.8	-11.07126309988513
19.2	-11.090119166534148
19.6	-11.114648417856547
20	-11.132106914845291
