L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1
# t 	 E 	 mag 	 corr 	 err 	 entropy
0.005	-63.30118908015466	-0.6465512170651697	-0.17566761368957776	3167146409193957e-34	0.5246108542272304
0.01	-63.301188854400884	-0.646551211611495	-0.17566695376278865	23661577639521157e-35	0.5246282923623451
0.015	-63.301188478286846	-0.6465512025258514	-0.17566629416967577	16813555038805629e-35	0.5246457128178774
0.02	-63.30118795202634	-0.6465511898142716	-0.17566563504970456	7613492025022897e-35	0.5246631059652862
0.025	-63.301187275916675	-0.6465511734853432	-0.1756649765286688	3616870142029189e-35	0.5246804621933727
0.03	-63.30118645034343	-0.6465511535502402	-0.17566431874334695	188240100050085e-35	0.524697771913751
0.035	-63.30118547577304	-0.6465511300226355	-0.1756636618225792	18814183224334764e-37	0.524715025566388
0.04	-63.30118435276017	-0.6465511029187777	-0.17566300589774858	18802005094760337e-37	0.5247322136249926
0.045	-63.30118308194059	-0.6465510722574009	-0.1756623511002427	18787453119352816e-37	0.524749326602524
0.05	-63.30118166403583	-0.6465510380597606	-0.17566169756147393	1877050586380947e-36	0.5247663550565526
0.055	-63.30118009985016	-0.6465510003495931	-0.17566104541288752	1875114376405022e-36	0.5247832895946616
0.06	-63.301178390270856	-0.6465509591530919	-0.17566039478598255	1872935056084571e-36	0.5248001208797941
0.065	-63.301176536266965	-0.6465509144989003	-0.17565974581231966	18705114572607786e-37	0.524816839635561
0.07	-63.301174538890855	-0.6465508664180797	-0.17565909862353568	18678430196135234e-37	0.5248334366515072
0.075	-63.30117239927525	-0.6465508149440802	-0.1756584533517097	2169963058195395e-35	0.5248499027883472
0.08	-63.30117011863272	-0.6465507601127098	-0.17565781012795822	18877536444471794e-37	0.5248662289831603
0.085	-63.301167698255604	-0.6465507019621002	-0.17565716908457005	1884453355707259e-36	0.5248824062545066
0.09	-63.301165139517735	-0.6465506405327147	-0.17565653035360768	18808989552422615e-37	0.5248984257075009
0.095	-63.301162443868385	-0.6465505758672511	-0.17565589406726362	1877094459304887e-36	0.5249142785388814
0.1	-63.30115961283482	-0.6465505080106366	-0.17565526035787257	1873045284825398e-36	0.5249299560419584
0.105	-63.3011566480225	-0.6465504370100126	-0.1756546293579285	18687585491995192e-37	0.5249454496115092
0.11	-63.30115355111046	-0.6465503629146474	-0.17565400120008157	18642431646985956e-37	0.5249607507486708
0.115	-63.301150323852674	-0.6465502857759247	-0.17565337601715386	18595099223144493e-37	0.5249758510656942
0.12	-63.301146968077965	-0.6465502056473038	-0.17565275394214702	1854571520813702e-36	0.5249907422906595
0.125	-63.301143485685245	-0.6465501225842466	-0.17565213510824307	18494425870430773e-37	0.5250054162721556
0.13	-63.301139878647376	-0.6465500366442106	-0.17565151964882098	1844139667127155e-36	0.5250198649838035
0.135	-63.30113614900532	-0.646549947886553	-0.17565090769744895	18386811609808045e-37	0.5250340805288062
0.14	-63.301132298870264	-0.646549856372527	-0.1756502993879019	1833087251682663e-36	0.5250480551443272
0.145	-63.30112833042027	-0.6465497621651995	-0.17564969485415352	1827379791266693e-36	0.5250617812058579
0.15	-63.30112424590099	-0.6465496653294195	-0.1756490942303888	1821582235327032e-36	0.5250752512314499
0.155	-63.30112004762119	-0.6465495659317293	-0.17564849765099208	1815719425900476e-36	0.5250884578859139
0.16	-63.301115737955975	-0.6465494640403714	-0.1756479052505665	1809817514252419e-36	0.5251013939848711
0.165	-63.30111131934099	-0.6465493597251564	-0.1756473171639166	18039036665205023e-37	0.5251140524987801
0.17	-63.30110679427328	-0.6465492530574616	-0.17564673352605756	17980064714732176e-37	0.5251264265568134
0.175	-63.30110216530912	-0.646549144110145	-0.17564615447220605	1792154756977706e-36	0.5251385094506844
0.18	-63.30109743506365	-0.6465490329574962	-0.17564558013778314	1786378545010641e-36	0.5251502946383443
0.185	-63.30109260620791	-0.6465489196751745	-0.17564501065840488	17807083971517093e-37	0.525161775747602
0.19	-63.30108768146639	-0.6465488043401219	-0.17564444616987482	17751754104485274e-37	0.5251729465796545
0.195	-63.30108266361989	-0.6465486870305649	-0.17564388680818738	1769811273829828e-36	0.5251838011124605
0.2	-63.30107755549751	-0.6465485678258522	-0.17564333270950588	1764648098263794e-36	0.5251943335041054
0.205	-63.30107235998106	-0.6465484468064888	-0.1756427840101653	17597184833218913e-37	0.5252045380959476
0.21	-63.30106707999936	-0.6465483240540109	-0.1756422408466515	17550554894551398e-37	0.5252144094157565
0.215	-63.30106171852786	-0.6465481996509354	-0.17564170335559945	17506926418567347e-37	0.5252239421806827
0.22	-63.301056278586955	-0.646548073680692	-0.17564117167369325	21637011547578995e-36	0.525233131300142
0.225	-63.30105076323968	-0.6465479462275576	-0.17564064593796694	17812269324722225e-37	0.5252419718785841
0.23	-63.301045175590346	-0.6465478173765875	-0.17564012628532263	17779082496184137e-37	0.5252504592181431
0.235	-63.30103951878439	-0.6465476872135599	-0.1756396128528286	21535919504471528e-36	0.5252585888211618
0.24	-63.30103379600236	-0.6465475558248779	-0.17563910577760708	18071150545614917e-37	0.5252663563926527
0.245	-63.30102801046254	-0.6465474232975295	-0.17563860519683439	18057878985004427e-37	0.5252737578425651
0.25	-63.30102216541507	-0.6465472897189999	-0.1756381112477111	1805051793617628e-36	0.525280789288005
0.255	-63.30101626414401	-0.6465471551772228	-0.17563762406787545	21607187085408405e-36	0.5252874470552721
0.26	-63.30101030996327	-0.6465470197604948	-0.17563714379362905	18370913368854907e-37	0.525293727681833
0.265	-63.30100430621303	-0.6465468835574005	-0.17563667056254034	1838731205330239e-36	0.5252996279181521
0.27	-63.30099825626077	-0.6465467466567616	-0.17563620451167036	18411286276859493e-37	0.5253051447293776
0.275	-63.30099216350002	-0.6465466091475696	-0.17563574577797506	18443124460996226e-37	0.5253102752969236
0.28	-63.300986031342816	-0.6465464711188846	-0.1756352944982749	1848304752277805e-36	0.5253150170199556
