L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1
# t 	 E 	 mag 	 corr 	 err 	 entropy
0.005	-63.32596083615677	-0.6465512802441419	-0.1756676000954561	3167123131686082e-34	0.524610841242551
0.01	-63.32852484370823	-0.6465514708265486	-0.17566689896476484	23661160374507844e-35	0.5246282131175114
0.015	-63.331323985825215	-0.6465518041882511	-0.1756661677275786	1681294382927348e-34	0.5246455085754551
0.02	-63.3343764764707	-0.6465522950422403	-0.17566540344495596	7612965435391258e-35	0.5246627120583032
0.025	-63.33770158652136	-0.6465529593430932	-0.17566460289717803	36165609152167126e-36	0.5246798075223298
0.03	-63.34131966997376	-0.6465538143778927	-0.17566376258838262	188303340210654e-35	0.5246967784064501
0.035	-63.34525218711188	-0.6465548788618141	-0.1756628787065402	18823214198404297e-37	0.5247136075985253
0.04	-63.349521724199285	-0.6465561730385951	-0.17566194711165478	18814290679603392e-37	0.5247302773996143
0.045	-63.35415200921655	-0.6465577187857777	-0.17566096330982953	188035627072266e-35	0.5247467694862238
0.05	-63.35916792316837	-0.6465595397247956	-0.17565992242870926	18791027512820838e-37	0.5247630648704755
0.055	-63.364595506456666	-0.6465616613358824	-0.1756588191917244	18776680904307466e-37	0.5247791438582299
0.06	-63.37046195980538	-0.6465641110776794	-0.17565764789115143	18760518260484558e-37	0.5247949860051894
0.065	-63.37679563922723	-0.6465669185115624	-0.1756564023599864	1874253557339495e-36	0.5248105700709722
0.07	-63.383626044495315	-0.6465701154304656	-0.17565507594296936	21736314732019457e-36	0.5248258739712244
0.075	-63.39098380060004	-0.6465737359920883	-0.1756536614646634	18961395975868477e-37	0.5248408747278319
0.08	-63.39890063166827	-0.6465778168562976	-0.17565215119991762	18939275184837656e-37	0.5248555484172737
0.085	-63.40740932682793	-0.6465823973264664	-0.17565053683963672	18915213609284917e-37	0.524869870117215
0.09	-63.41654369750861	-0.646587519494412	-0.17564880945720285	18889218770199335e-37	0.5248838138514971
0.095	-63.42633852570682	-0.6465932283887234	-0.1756469594734971	188613072801637e-35	0.5248973525335584
0.1	-63.43682950273788	-0.6465995721259095	-0.17564497662086065	1883150687557048e-36	0.5249104579085354
0.105	-63.44805315805738	-0.6466066020641352	-0.17564284990612042	18799857874079272e-37	0.5249231004941142
0.11	-63.460046777743365	-0.6466143729588625	-0.1756405675726951	1876641507020339e-36	0.5249352495204062
0.115	-63.47284831228813	-0.6466229431199628	-0.17563811706187862	18731248443293647e-37	0.5249468728690325
0.12	-63.48649627340165	-0.6466323745696965	-0.17563548497339965	18694444377453244e-37	0.5249579370115924
0.125	-63.50102961955517	-0.6466427332007808	-0.17563265702532818	18656106149953113e-37	0.5249684069479104
0.13	-63.51648763009411	-0.6466540889339666	-0.17562961801347488	18616354780461833e-37	0.5249782461442123
0.135	-63.53290976778528	-0.6466665158742624	-0.17562635177037783	1857532802171175e-36	0.5249874164716122
0.14	-63.55033552975165	-0.6466800924649305	-0.17562284112403811	18533180650796828e-37	0.52499587814524
0.145	-63.56880428682657	-0.6466949016384599	-0.17561906785653406	1849008295768969e-36	0.5250035896643369
0.15	-63.58835511144607	-0.6467110309634448	-0.1756150126626977	1844621988863087e-36	0.5250105077537245
0.155	-63.60902659428359	-0.646728572786403	-0.17561065510902107	18401789431637086e-37	0.5250165873070627
0.16	-63.63085664993123	-0.6467476243674363	-0.1756059735929807	18357000452411175e-37	0.5250217813323133
0.165	-63.65388231204332	-0.6467682880086728	-0.17560094530301606	18312070600200717e-37	0.5250260408998318
0.17	-63.678139518441206	-0.6467906711742094	-0.17559554617935186	1826722414461326e-36	0.5250293150936143
0.175	-63.70366288680666	-0.6468148866004254	-0.1755897508759319	1822268974983191e-36	0.5250315509661473
0.18	-63.730485481687175	-0.646841052395327	-0.17558353272369995	1817869736867718e-36	0.5250326934974203
0.185	-63.758638573665515	-0.6468692921257168	-0.17557686369552314	18135475555680105e-37	0.5250326855585293
0.19	-63.78815139163858	-0.6468997348907611	-0.17556971437301827	1809324978954239e-36	0.5250314678805261
0.195	-63.81905086927606	-0.6469325153806593	-0.17556205391560728	18052239071532564e-37	0.5250289790290004
0.2	-63.851361386843415	-0.6469677739190292	-0.17555385003210813	18012653706503926e-37	0.5250251553849359
0.205	-63.885104509665574	-0.6470056564876088	-0.17554506895519537	17974693001915317e-37	0.5250199311324737
0.21	-63.92029872463776	-0.647046314731938	-0.17553567541909393	17938542821458946e-37	0.5250132382540608
0.215	-63.956959176259765	-0.6470899059465473	-0.17552563264076096	21682991492211284e-36	0.5250050065336407
0.22	-63.99509740379209	-0.6471365930384056	-0.17551490230543212	18274323189160892e-37	0.5249951635683825
0.225	-64.0347210812024	-0.6471865444671919	-0.17550344455571482	1824528844393739e-36	0.5249836347895354
0.23	-64.0758337616494	-0.6472399341611696	-0.1754912179862197	18218646658660025e-37	0.5249703434929176
0.235	-64.11843462832807	-0.6472969414073176	-0.1754781796429288	1819448648591901e-36	0.5249552108796373
0.24	-64.16251825355064	-0.6473577507146331	-0.17546428502821101	18172866913387916e-37	0.5249381561074283
0.245	-64.20807436798243	-0.6474225516493745	-0.17544948811179292	18153836488803996e-37	0.5249190963532164
0.25	-64.25508764198395	-0.6474915386412283	-0.17543374134812267	21466207092691388e-36	0.5248979468872814
0.255	-64.30353748104139	-0.647564910759522	-0.17541699570052385	18462328383940387e-37	0.5248746211594358
0.26	-64.35339783724316	-0.6476428714584826	-0.1753992006725728	1845276330538327e-36	0.524849030897633
0.265	-64.40463703877742	-0.6477256282909546	-0.17538030434706178	18445466935672274e-37	0.5248210862193028
0.27	-64.45721763937327	-0.6478133925898498	-0.17536025343341236	21703867407149048e-36	0.5247906957557467
0.275	-64.51109628957809	-0.6479063791169452	-0.17533899332125294	1875239791482342e-36	0.5247577667897767
0.28	-64.56622363168918	-0.6480048056786915	-0.17531646814710497	18751445125630474e-37	0.524722205406764
0.285	-64.62254422007848	-0.6481088927087931	-0.17529262086571362	187517221005792e-35	0.5246839166593347
0.29	-64.6799964685602	-0.6482188628177131	-0.1752673933329088	18752949331060393e-37	0.5246428047455667
0.295	-64.73851262631516	-0.6483349403091422	-0.17524072639760205	18754832282373213e-37	0.5245987732008832
0.3	-64.7980187837798	-0.6484573506639734	-0.1752125600036041	18757068990092143e-37	0.5245517251033556
0.305	-64.85843490972255	-0.6485863199921679	-0.17518283330137358	18759359749566996e-37	0.5245015632924187
0.31	-64.9196749205984	-0.6487220744534273	-0.1751514847698613	18761417210122204e-37	0.5244481906006799
0.315	-64.98164678306985	-0.6488648396476232	-0.1751184523484729	1876297860388499e-36	0.5243915100984652
0.32	-65.04425265039336	-0.6490148399761823	-0.17508367357914842	18763818967284398e-37	0.524331425350778
0.325	-65.10738903315378	-0.6491722979757155	-0.1750470857584457	1876376493188644e-36	0.5242678406861745
0.33	-65.1709470046302	-0.6493374336257337	-0.17500862609953508	18762710002360442e-37	0.5242006614769044
0.335	-65.23481244081428	-0.6495104636320455	-0.1749682319037793	21778191344657757e-36	0.5241297944297975
0.34	-65.29886629489687	-0.6496916006881017	-0.17492584074165987	19227430138400707e-37	0.5240551478870243
0.345	-65.3629849057655	-0.6498810527163286	-0.17488139064258423	1922356204581304e-36	0.5239766321360423
0.35	-65.42704033982471	-0.6500790220920954	-0.1748348202930872	1921885617963754e-36	0.5238941597276852
0.355	-65.49090076518272	-0.6502857048528082	-0.17478606924284365	19213769866709418e-37	0.5238076458015914
0.36	-65.55443085701958	-0.6505012898951251	-0.17473507811781325	1920894403299457e-36	0.5237170084177205
0.365	-65.61749223266014	-0.6507259581631128	-0.17468178883969335	1920523416000657e-36	0.5236221688930236
0.37	-65.67994391467477	-0.6509598818306859	-0.17462614485086514	19203749467947575e-37	0.5235230521419425
0.375	-65.74164282005863	-0.6512032234815963	-0.1745680913438251	1920590352346853e-36	0.5234195870195032
0.38	-65.80244427331614	-0.6514561352904092	-0.17450757549408516	1921347955402356e-36	0.5233117066657182
0.385	-65.86220254105422	-0.6517187582080005	-0.17444454669536313	1922872275232583e-36	0.5231993488499387
0.39	-65.92077138548935	-0.6519912211553682	-0.17437895679590296	19254451944714977e-37	0.5230824563136689
0.395	-65.97800463406105	-0.6522736402293083	-0.1743107603346028	1929422755862266e-36	0.5229609771104663
0.4	-66.03375676219245	-0.6525661179240032	-0.1742399147756468	19352565600110054e-37	0.5228348649413731
0.405	-66.08788348604305	-0.6528687423720049	-0.17416638074018587	1943523492613103e-36	0.5227040794844637
0.41	-66.14024236201425	-0.6531815866088145	-0.17409012223379317	21585917823171967e-36	0.5225685867168472
0.415	-66.19069338960018	-0.6535047078645765	-0.17401110686765298	20153529849363216e-37	0.5224283592277184
0.42	-66.23909961411981	-0.6538381468868114	-0.17392930607330728	20356419050483287e-37	0.5222833765208514
0.425	-66.28532772579062	-0.6541819272978724	-0.17384469530776683	20630625252169486e-37	0.5221336253050219
0.43	-66.32924865155287	-0.6545360549906651	-0.1737572542487726	20998569804476308e-37	0.5219790997709032
0.435	-66.37073813605859	-0.654900517566188	-0.1736669669782707	2207688076278582e-35	0.5218198018529039
0.44	-66.40967730824033	-0.6552752838162533	-0.173573822151369	22022361981884098e-36	0.5216557414745241
0.445	-66.44595322991444	-0.6556603032544787	-0.17347781315774918	247176798292995e-35	0.5214869367758809
0.45	-66.47945942295306	-0.6560555056986408	-0.17337893825363895	22332956141231374e-36	0.5213134143220338
0.455	-66.51009637164239	-0.6564608009070992	-0.17327720068939134	2836304102700244e-36	0.5211352092908484
0.46	-66.53777199698163	-0.6568760782718555	-0.17317260881488838	22925304415284038e-36	0.5209523656391928
0.465	-66.56240209981007	-0.6573012065705358	-0.17306517616421235	34935691349935886e-37	0.5207649362463973
0.47	-66.58391076984304	-0.6577360337793001	-0.17295492152221043	13632739373502207e-36	0.5205729830338833
0.475	-66.60223075787819	-0.6581803869483994	-0.17284186896951928	241456638816288e-34	0.5203765770600819
0.48	-66.61730380867476	-0.6586340721418854	-0.17272604790704246	55651093104204605e-37	0.5201757985897806
0.485	-66.62908095222878	-0.6590968744424173	-0.17260749305816725	6821123393304001e-36	0.5199707371372151
0.49	-66.63752275145332	-0.6595685580221384	-0.17248624444923338	8612145284935005e-36	0.5197614914822476
0.495	-66.64259950453958	-0.6600488662799904	-0.1723623473678621	11237073814528613e-36	0.5195481696591444
0.5	-66.64429140056048	-0.6605375220455693	-0.1722358522992263	15202932856592745e-36	0.5193308889176445
0.505	-66.64258862721623	-0.6610342278494227	-0.17210681484061333	21315412145107442e-36	0.5191097756559614
0.51	-66.63749142989833	-0.6615386662590921	-0.1719752955945621	30671520516319565e-36	0.5188849653257166
0.515	-66.62901012161561	-0.6620505002802108	-0.17184136004119863	44342870272085415e-36	0.5186566023086849
0.52	-66.6171650436154	-0.6625693738212742	-0.17170507838926632	5820902071546045e-35	0.5184248397656089
0.525	-66.60198647690798	-0.6630949122207305	-0.17156652541281217	488868270947167e-34	0.518189839457209
0.53	-66.58351450519244	-0.6636267228344817	-0.17142578026216373	52064012754109755e-36	0.5179517715379037
0.535	-66.56179883003638	-0.6641643956816342	-0.17128292626247393	6707396054399387e-35	0.5177108143226778
0.54	-66.53689853948971	-0.6647075041463048	-0.17113805069572519	293756602643683e-34	0.5174671540277102
0.545	-66.50888183158978	-0.6652556057325535	-0.17099124456875836	20820549754393107e-36	0.5172209844856153
0.55	-66.4778256945644	-0.6658082428698276	-0.1708426023663084	18772726312104214e-36	0.5169725068360346
0.555	-66.44381554578574	-0.6663649437655722	-0.1706922217941498	19165549038729405e-36	0.51672192919267
0.56	-66.40694483182259	-0.6669252233018214	-0.17054020351208868	19337433705137296e-36	0.5164694662877778
0.565	-66.36731459218628	-0.6674885839722747	-0.17038665085867527	19133123877244625e-36	0.5162153390953068
0.57	-66.32503298958062	-0.6680545168561062	-0.17023166956934602	18892773180437054e-36	0.5159597744340009
0.575	-66.28021480969885	-0.668622502624836	-0.17007536748973293	18898725378023395e-36	0.5157030045517947
0.58	-66.23298093377551	-0.669192012578349	-0.16991785428577416	1925554282928009e-35	0.5154452666929182
0.585	-66.1834577872614	-0.6697625097060781	-0.16975924115230423	19926522564823e-33	0.5151868026492723
0.59	-66.13177676811962	-0.6703334497692945	-0.16959964052174042	20782553696682426e-36	0.5149278582976424
0.595	-66.07807365835491	-0.6709042824005741	-0.169439165774441	2162497612412727e-35	0.514668683124311
0.6	-66.02248802243348	-0.6714744522162542	-0.16927793095222132	221886302602646e-34	0.5144095297388274
0.605	-65.96516259632033	-0.6720433999378796	-0.16911605047648323	22161951062717517e-36	0.5141506533786067
0.61	-65.90624267086146	-0.6726105635186771	-0.1689536388722811	21324508291851087e-36	0.513892311406068
0.615	-65.8458754732258	-0.6731753792710279	-0.16879081049961772	19849105939861438e-36	0.5136347628001242
0.62	-65.78420955007762	-0.6737372829911883	-0.16862767929307707	18339488387993655e-36	0.5133782676437089
0.625	-65.72139415607697	-0.674295711077362	-0.16846435851077626	17262499683383844e-36	0.5131230866091873
0.63	-65.65757865120734	-0.6748501016375813	-0.16830096049356358	1663934479517776e-35	0.5128694804433604
0.635	-65.59291191031029	-0.675399895583874	-0.16813759643528692	16312496299593912e-36	0.5126177094537444
0.64	-65.52754174804137	-0.6759445377092632	-0.1679743761648241	16163242937117726e-36	0.5123680329979851
0.645	-65.46161436231564	-0.676483477744556	-0.16781140794041782	16134711156586166e-36	0.5121207089778808
0.65	-65.39527379909221	-0.6770161713917595	-0.16764879825672419	16200995064924005e-36	0.5118759933398102
0.655	-65.32866144115191	-0.6775420813313071	-0.16748665166491616	16346207615238117e-36	0.5116341395830655
0.66	-65.26191552329945	-0.67806067820055	-0.16732507060603855	16556768018525907e-36	0.5113953982775835
0.665	-65.19517067615989	-0.6785714415409158	-0.1671641552577149	16819430504555576e-36	0.5111600165926303
0.67	-65.12855750051011	-0.6790738607115918	-0.16700400339420116	17120840918761947e-36	0.5109282378376929
0.675	-65.0622021738068	-0.6795674357676498	-0.16684471025969294	1744758310977644e-35	0.5107003010170053
0.68	-64.99622609031839	-0.6800516783008033	-0.1666863684546938	17786890571186602e-36	0.5104764403988196
0.685	-64.93074553598106	-0.6805261122411758	-0.16652906783518506	18128299976451734e-36	0.5102568851006883
0.69	-64.86587139883831	-0.6809902746186284	-0.16637289542425357	1846606256408437e-35	0.5100418586916848
0.695	-64.80170891564863	-0.6814437162825351	-0.16621793533579288	18801383045922207e-36	0.5098315788126008
0.7	-64.73835745497423	-0.6818860025789442	-0.16606426870981866	19143050055051695e-36	0.5096262568149171
0.705	-64.67591033679388	-0.6823167139843052	-0.1659119736588725	19505467595475075e-36	0.5094260974194142
0.71	-64.61445468845054	-0.6827354466952243	-0.1657611252250262	19904549938507663e-36	0.5092312983949636
0.715	-64.55407133647371	-0.6831418131738249	-0.16561179534689005	2035329095734372e-35	0.5090420502581589
0.72	-64.4948347335981	-0.6835354426484112	-0.1654640528360517	20858851407321297e-36	0.5088585359942427
0.725	-64.43681292007574	-0.6839159815694181	-0.16531796336232557	21421844219771335e-36	0.5086809307996987
0.73	-64.38006751818395	-0.6842830940208129	-0.16517358944725383	22037305728768817e-36	0.5085094018467686
0.735	-64.3246537586244	-0.684636462087092	-0.16503099046520583	2269640418609794e-35	0.5083441080701274
0.74	-64.27062053735847	-0.6849757861763325	-0.16489022265149567	23388148367699044e-36	0.5081851999757865
0.745	-64.2180105012613	-0.6853007852998948	-0.1647513391169387	24100752568328482e-36	0.5080328194722393
0.75	-64.16686016084469	-0.6856111973093123	-0.16461438986826546	24822598360203463e-36	0.5078870997238005
0.755	-64.11720002819315	-0.6859067790913248	-0.16447942183383482	25542859545082224e-36	0.5077481650259195
0.76	-64.06905477814858	-0.6861873067217703	-0.164346478894129	2625188369166648e-35	0.5076161307023467
0.765	-64.0224434307252	-0.6864525755794592	-0.16421560191651557	2694140700300819e-35	0.5074911030237442
0.77	-63.97737955266662	-0.6867024004210461	-0.16408682879381523	2760465639108896e-35	0.5073731791474155
0.775	-63.93387147602467	-0.6869366154180417	-0.1639601944862017	28236375813792484e-36	0.5072624470777494
0.78	-63.89192253163248	-0.6871550741572335	-0.16383573106605687	28832800384225e-33	0.5071589856468085
0.785	-63.85153129532498	-0.6873576496056715	-0.16371346776534088	2939159420059834e-35	0.5070628645146312
0.79	-63.81269184480971	-0.6875442340417269	-0.16359343102518767	2991176176903892e-35	0.5069741441885106
0.795	-63.77539402509038	-0.6877147389534072	-0.16347564454735952	3039353881617222e-35	0.5068928760607326
0.8	-63.739623720418194	-0.6878690949053956	-0.16336012934725802	3083826432383012e-35	0.5068191024640515
0.805	-63.705363130803406	-0.6880072513762436	-0.16324690380826845	31248237629689094e-36	0.506752856744168
0.81	-63.672591051192114	-0.6881291765671169	-0.16313598373717872	316265665478275e-34	0.5066941633484893
0.815	-63.64128315149383	-0.6882348571835055	-0.16302738242043624	31977019244665495e-36	0.5066430379304611
0.82	-63.61141225576212	-0.6883242981914083	-0.1629211106811179	3230389742837316e-35	0.5065994874685593
0.825	-63.58294861890655	-0.6883975225493418	-0.16281717693638376	32611951410302557e-36	0.5065635103992734
0.83	-63.55586019945047	-0.6884545709176667	-0.16271558725533727	32906354900239626e-36	0.5065350967631868
0.835	-63.53011292694711	-0.6884955013465544	-0.1626163454171104	33192753082216383e-36	0.5065142283633801
0.84	-63.50567096280077	-0.6885203889440638	-0.16251945296912607	3347739033896275e-35	0.5065008789353168
0.845	-63.482496953355074	-0.6885293255256669	-0.16242490928541087	337673211236085e-34	0.5064950143273786
0.85	-63.46055227423204	-0.6885224192464097	-0.16233271162489346	3407070769702735e-35	0.5064965926912949
0.855	-63.43979726504963	-0.688499794217339	-0.16224285518965292	3439721536925818e-35	0.5065055646815483
0.86	-63.420191453737836	-0.688461590107041	-0.16215533318302683	3475852791642935e-35	0.506521873663104
0.865	-63.40169376982905	-0.6884079617298521	-0.16207013686757088	35169020451850424e-36	0.5065454559265411
0.87	-63.38426274619352	-0.6883390786217699	-0.16198725562282773	35646648210852643e-36	0.5065762409099164
0.875	-63.36785670882147	-0.6882551246052775	-0.16190667700287284	362141269861599e-34	0.5066141514265156
0.88	-63.35243395434535	-0.6881562973440806	-0.16182838679361947	36900499510440814e-36	0.5066591038978948
0.885	-63.33795291512729	-0.6880428078889606	-0.16175236906987037	3774318772369535e-35	0.5067110085913868
0.89	-63.32437231181649	-0.6879148802156906	-0.1616786062521167	3879060974043345e-35	0.5067697698614021
0.895	-63.311651293377366	-0.687772750755981	-0.16160707916303757	4010534050558543e-35	0.5068352863939468
