L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1
# t 	 E 	 mag 	 corr 	 err 	 entropy
0.005	-52.707859339366614	0.30631632330814923	-0.9191187610644543	3594121451516307e-34	0.03622543284909925
0.01	-52.706746674254184	0.30631612783988854	-0.9191188723666662	3205161833049243e-34	0.03622655712390476
0.015	-52.705531910963074	0.3063157863660972	-0.9191190667972994	2746785139492779e-34	0.03622768764382932
0.02	-52.704207147524514	0.3063152841681525	-0.9191193527156943	2311077003722698e-34	0.03622882461762989
0.025	-52.70276402381044	0.3063146052524929	-0.9191197391967487	20520240738548593e-35	0.03622996831235892
0.03	-52.70119371025552	0.30631373225603276	-0.9191202360826999	19518272122646368e-35	0.03623111905778997
0.035	-52.69948689791326	0.30631264634653754	-0.9191208540374947	16176328028671975e-35	0.03623227725099902
0.04	-52.6976337900409	0.30631132711786657	-0.919121604603644	15603019091838958e-35	0.03623344336120741
0.045	-52.69562409541966	0.30630975248003645	-0.9191225002616187	1364813269614933e-34	0.036234617934792296
0.05	-52.69344702362177	0.30630789854406454	-0.9191235544916518	9824408177344428e-35	0.03623580160056618
0.055	-52.69109128244683	0.3063057395016261	-0.9191247818380003	9163812980707608e-35	0.03623699507520471
0.06	-52.68854507775281	0.3063032474995033	-0.9191261979754777	8706431634172928e-35	0.036238199168888194
0.065	-52.68579611590465	0.3063003925089063	-0.9191278197781775	11133315752683715e-35	0.036239414791166484
0.07	-52.6828316090818	0.3062971421897512	-0.919129665390272	8753803656106023e-35	0.03624064295698512
0.075	-52.67963828366894	0.30629346175001776	-0.9191317542986738	8075046010043327e-35	0.03624188479290851
0.08	-52.67620239196738	0.30628931380034524	-0.9191341074074141	9605932906463354e-35	0.03624314154347707
0.085	-52.67250972745099	0.3062846582040829	-0.9191367471134642	6844645082784585e-35	0.03624441457774889
0.09	-52.66854564379273	0.30627945192301986	-0.9191396973837733	5262008984837759e-35	0.036245705395943066
0.095	-52.66429507787474	0.3062736488590999	-0.9191429838331547	5765336576671506e-35	0.036247015636272015
0.1	-52.65974257699366	0.3062671996924829	-0.9191466338028519	8943031520023284e-35	0.03624834708173583
0.105	-52.654872330441655	0.30626005171629256	-0.9191506764391806	7102992446936308e-35	0.03624970166714038
0.11	-52.64966820565541	0.3062521486685437	-0.9191551427720667	5698069754448706e-35	0.03625108148604705
0.115	-52.644113789079626	0.3062434305617216	-0.9191600657929088	29738309749257137e-36	0.036252488797785594
0.12	-52.63819243188941	0.3062338335105669	-0.9191654805313111	12392611139466189e-37	0.0362539260344657
0.125	-52.631887300685314	0.30622328955868655	-0.9191714241302446	1120127266113775e-35	0.03625539580787065
