# L= 10  beta= [1.0]  t_max= 20.0  steps= 500
t 	  D= [10]
0.04	-0.5589673753871189
0.4	-0.5585665056993752
0.8	-0.558391337683463
1.2	-0.5588735684836474
1.6	-0.5599237507191015
2	-0.5638600251790962
2.4	-0.5769424436985686
2.8	-0.606142926249257
3.2	-0.6447992710301991
3.6	-0.6746684769873972
4	-0.6532429801136537
4.4	-0.5850453884874367
4.8	-0.5719619052798808
5.2	-0.6169430498462496
5.6	-0.5538848040041784
6	-0.47900779588264875
6.4	-0.5840384809314332
6.8	-0.5945078432933213
7.2	-0.5248136577880909
7.6	-0.567965735069602
8	-0.585920006230064
8.4	-0.6505968316977027
8.8	-0.707511308516365
9.2	-0.6431661461128535
9.6	-0.6232532310528185
10	-0.6073272778296218
10.4	-0.5563658848404351
10.8	-0.5634674206071946
11.2	-0.5652468735912324
11.6	-0.5635440321196084
12	-0.6178725696780369
12.4	-0.5922765467437365
12.8	-0.5531085659110595
13.2	-0.5758274048898492
13.6	-0.6014414612891334
14	-0.5995329086024626
14.4	-0.5923009641791706
14.8	-0.624221455219335
15.2	-0.6437810386514178
15.6	-0.5778090074004667
16	-0.5597182159236186
16.4	-0.5954542629699822
16.8	-0.5853322328772321
17.2	-0.5563618191069952
17.6	-0.5993563283305947
18	-0.6394399773646691
18.4	-0.6289169316505452
18.8	-0.643571346658443
19.2	-0.655554770638614
19.6	-0.6221162116448771
20	-0.6160936108109394
