
# L= 80  beta= [2.0]  t_max= 30.0  steps= 2000,D= [60] #
t 	 E 	 mag
0.015	-76.86691672859575	-0.11140608078040948
0.03	-76.86691670896168	-0.11140585181503021
0.045	-76.86691666338402	-0.11140531498362721
0.06	-76.86691658514138	-0.11140437396020106
0.075	-76.86691646289754	-0.1114029072325427
0.09	-76.86691627805457	-0.11140076291250009
0.105	-76.86691600083759	-0.1113977529507991
0.12	-76.86691558471033	-0.11139364682761302
0.135	-76.86691495858014	-0.11138816483974917
0.15	-76.86691401622856	-0.11138097116225748
0.165	-76.86691260240443	-0.11137166692430854
0.18	-76.866910495072	-0.11135978360340969
0.195	-76.86690738353883	-0.11134477710448641
0.21	-76.86690284250754	-0.11132602294616653
0.225	-76.86689630263412	-0.11130281302038149
0.24	-76.86688701888139	-0.11127435441729569
0.255	-76.86687403878864	-0.11123977080992654
0.27	-76.8668561737221	-0.11119810686660395
0.285	-76.86683197710522	-0.11114833610088204
0.3	-76.86679973431382	-0.11108937247542588
0.315	-76.86675746935757	-0.11102008594926321
0.33	-76.86670297327406	-0.11093932199921824
0.345	-76.86663385832149	-0.11084592496216249
0.36	-76.86654764043419	-0.11073876484342385
0.375	-76.86644184995927	-0.11061676702895977
0.39	-76.86631416770078	-0.11047894413775732
0.405	-76.86616257986059	-0.1103244290697454
0.42	-76.86598554215658	-0.11015250815721561
0.435	-76.86578214057158	-0.10996265322668944
0.45	-76.8655522343959	-0.10975455133355347
0.465	-76.8652965668448	-0.10952813095043229
0.48	-76.86501682985502	-0.10928358347495501
0.495	-76.86471567269656	-0.10902137907135838
0.51	-76.86439664855334	-0.10874227606673595
0.525	-76.8640640988375	-0.10844732337591964
0.54	-76.86372298095668	-0.10813785571433242
0.555	-76.86337865088872	-0.10781548165885314
0.57	-76.86303661650848	-0.10748206491455002
0.585	-76.86270228049786	-0.10713969942206056
0.6	-76.86238069256981	-0.10679067918019283
0.615	-76.86207632951759	-0.1064374638475026
0.63	-76.86179291848866	-0.10608264131563688
0.645	-76.86153331430002	-0.10572888851097285
0.66	-76.8612994362251	-0.1053789316792189
0.675	-76.86109226412799	-0.10503550734408959
0.69	-76.86091188878228	-0.1047013250140233
0.705	-76.86075760714893	-0.10437903255103614
0.72	-76.86062805075274	-0.10407118492620435
0.735	-76.86052133404931	-0.10378021688076662
0.75	-76.86043520990367	-0.10350841980379209
0.765	-76.8603672206436	-0.10325792293907213
0.78	-76.86031483538414	-0.10303067885561061
0.795	-76.86027556699108	-0.10282845296531029
0.81	-76.86024706481389	-0.10265281675308244
0.825	-76.86022718194428	-0.10250514430075547
0.84	-76.86021401789536	-0.10238661163616575
0.855	-76.86020593926374	-0.10229819842025314
0.87	-76.86020158198679	-0.1022406914934409
0.885	-76.86019983931448	-0.10221468983290849
0.9	-76.86019983968181	-0.10222061051877264
0.915	-76.86020091835424	-0.10225869536392501
0.93	-76.86020258616041	-0.10232901792407448
0.945	-76.86020449799621	-0.10243149066686769
0.96	-76.86020642304321	-0.10256587213803796
0.975	-76.86020821799373	-0.10273177401580713
0.99	-76.86020980402006	-0.10292866799047343
1.005	-76.86021114771444	-0.10315589244332601
1.02	-76.86021224592523	-0.1034126589277724
1.035	-76.86021311414073	-0.10369805847612329
1.05	-76.86021377796713	-0.10401106776885216
1.065	-76.86021426715746	-0.10435055521024256
1.08	-76.86021461168612	-0.10471528695656304
1.095	-76.86021483936003	-0.1051039329411944
