# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [100]
0.01	-55.49205504666929
0.1	-55.492003023585795
0.2	-55.49184794026775
0.3	-55.49177557515925
0.4	-55.49216329872922
0.5	-55.4937672878196
0.6	-55.498063013301966
0.7	-55.50776709389078
0.8	-55.52757796055861
0.9	-55.564983932724765
1	-55.6308059716593
1.1	-55.73888575137519
1.2	-55.90430848233503
1.3	-56.13975599900773
1.4	-56.45020476688351
1.5	-56.82720575633696
1.6	-57.24485841302469
1.7	-57.659838147479284
1.8	-58.01701385106987
1.9	-58.26045821012226
2	-58.34726379081638
2.1	-58.25970618150016
2.2	-58.011046086178574
2.3	-57.64227098562858
2.4	-57.2107356821046
2.5	-56.77510474778515
2.6	-56.382233310186486
2.7	-56.06004166475644
2.8	-55.817216200734904
2.9	-55.64786408525444
3	-55.53805391756493
3.1	-55.47165167408866
3.2	-55.43413383277931
3.3	-55.4143107802342
3.4	-55.40452718391097
3.5	-55.400032694808715
3.6	-55.398125215800626
3.7	-55.397383835897074
3.8	-55.397127667938015
3.9	-55.39705660567408
4	-55.39704253917211
4.1	-55.39705729138682
4.2	-55.397090377539556
4.3	-55.39716414365726
4.4	-55.39729299396707
4.5	-55.3975007611724
4.6	-55.397815768394544
4.7	-55.39827357437677
4.8	-55.3989203069015
4.9	-55.399816003911
5	-55.40103727717642
5.1	-55.402677891367325
5.2	-55.404843378448774
5.3	-55.40763034330484
5.4	-55.41110125879863
5.5	-55.41529922494637
5.6	-55.42022678253787
5.7	-55.42580047626094
5.8	-55.4319552712587
5.9	-55.4386463595427
6	-55.4457980078456
6.1	-55.45336165825855
6.2	-55.46136838662968
6.3	-55.46981127923296
6.4	-55.47849966258929
6.5	-55.48716282119965
6.6	-55.495615965110204
6.7	-55.5038119666719
6.8	-55.51175134245974
6.9	-55.519438541100925
7	-55.52689617891998
7.1	-55.534170994764736
7.2	-55.54132284988279
7.3	-55.54840224539171
7.4	-55.55543243034586
7.5	-55.56240465069941
7.6	-55.56929326500386
7.7	-55.576084012709536
7.8	-55.58278631949969
7.9	-55.589427218241184
8	-55.59603854585589
8.1	-55.60264395789311
8.2	-55.60925602642454
8.3	-55.615881638833514
8.4	-55.62252817146614
8.5	-55.629206957069314
8.6	-55.635931568368306
8.7	-55.64271080409194
8.8	-55.64954591978799
8.9	-55.6564378039529
9	-55.66339031674558
9.1	-55.67039863787834
9.2	-55.677436036888615
9.3	-55.684456022669096
9.4	-55.691409765567776
9.5	-55.698267130995234
9.6	-55.705029042435335
9.7	-55.71172406527598
9.8	-55.71839167125695
9.9	-55.72506606732033
10	-55.73177412362326
10.1	-55.73854274929631
10.2	-55.74539979545018
10.3	-55.75236562013122
10.4	-55.75944555681337
10.5	-55.7666294151517
10.6	-55.77389641798021
10.7	-55.78122156548056
10.8	-55.788580592613016
10.9	-55.79595320293663
11	-55.803325375941185
11.1	-55.81069080395637
11.2	-55.81805082394559
11.3	-55.82541307224357
11.4	-55.832790187813416
11.5	-55.84019917616368
11.6	-55.847660626582645
11.7	-55.85519657676791
11.8	-55.86282683071766
11.9	-55.87056509871561
12	-55.87841622502868
12.1	-55.88637417146412
12.2	-55.89442064447631
12.3	-55.9025257566426
12.4	-55.91065184755562
12.5	-55.91876023131324
12.6	-55.92681934242486
12.7	-55.934811935157654
12.8	-55.94273954231389
12.9	-55.950623383844714
13	-55.95850128681936
13.1	-55.96642059391648
13.2	-55.97442788710456
13.3	-55.98255711673112
13.4	-55.99081902530946
13.5	-55.99919658787839
13.6	-56.00765006566043
13.7	-56.0161301810564
13.8	-56.02459367340787
13.9	-56.03301586380724
14	-56.04139751246129
14.1	-56.0497641249554
14.2	-56.05815648537738
14.3	-56.06661521047195
14.4	-56.075166290784374
14.5	-56.083813834408154
14.6	-56.09254155347756
14.7	-56.10131996488893
14.8	-56.11011503566396
14.9	-56.11889600345482
15	-56.12764182997381
15.1	-56.13634540996628
15.2	-56.145014208071785
15.3	-56.153666861571544
15.4	-56.16232667138235
15.5	-56.17101431614951
15.6	-56.17974298544293
15.7	-56.18851783423746
15.8	-56.19733840093762
15.9	-56.20620078169855
16	-56.21509817515291
16.1	-56.22402140036458
16.2	-56.23296122554975
16.3	-56.24191185502472
16.4	-56.25087337416888
16.5	-56.25985182739618
16.6	-56.26885692082435
16.7	-56.27789806764028
16.8	-56.28698016097675
16.9	-56.296100906969244
17	-56.30525084119256
17.1	-56.31441587580707
17.2	-56.323581833008014
17.3	-56.332739805044575
17.4	-56.34188975216014
17.5	-56.3510400796903
17.6	-56.36020370552154
17.7	-56.36939317919097
17.8	-56.378617069317684
17.9	-56.38787868991895
18	-56.397177204411946
18.1	-56.4065099840961
18.2	-56.41587454713048
18.3	-56.42526927601196
18.4	-56.434693172877445
18.5	-56.444144977084285
18.6	-56.453622075852714
18.7	-56.46312004890093
18.8	-56.472633401994116
18.9	-56.482157134217466
19	-56.49168793772719
19.1	-56.50122405084507
19.2	-56.5107642985401
19.3	-56.520307593268875
19.4	-56.52985300247746
19.5	-56.539399806329804
19.6	-56.548947783802454
19.7	-56.55849829619832
19.8	-56.56805570515423
19.9	-56.57762773426747
20	-56.58722395112745
