# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [100]
0.01	-0.5589709192845592
0.1	-0.5589689288129392
0.2	-0.5589631356887261
0.3	-0.5589551609481211
0.4	-0.558947474193237
0.5	-0.5589433269599196
0.6	-0.5589472481841331
0.7	-0.5589666527451957
0.8	-0.5590151586636505
0.9	-0.5591180881862243
1	-0.5593201498998649
1.1	-0.5596942288658151
1.2	-0.5603484437712157
1.3	-0.5614264850779463
1.4	-0.5630947641544048
1.5	-0.5655108238332412
1.6	-0.568772542126886
1.7	-0.5728571436724894
1.8	-0.5775698901419585
1.9	-0.5825280125775335
2	-0.58719913853096
2.1	-0.5909941022151564
2.2	-0.5933901705231619
2.3	-0.5940462422155675
2.4	-0.5928749212082188
2.5	-0.5900538487728579
2.6	-0.5859790565336331
2.7	-0.5811775291207647
2.8	-0.5762027330654682
2.9	-0.571537480249968
3	-0.5675245322830375
3.1	-0.564337115317678
3.2	-0.5619902474734775
3.3	-0.5603827241942266
3.4	-0.5593526848695405
3.5	-0.5587292011542051
3.6	-0.5583676818008061
3.7	-0.5581650916395918
3.8	-0.5580584213705275
3.9	-0.5580141263537444
4	-0.5580165100543648
4.1	-0.5580601602234031
4.2	-0.5581479330321505
4.3	-0.5582929609862531
4.4	-0.5585217439486665
4.5	-0.5588758130903702
4.6	-0.5594110411800879
4.7	-0.5601953732253782
4.8	-0.5613065594308093
4.9	-0.5628310103730869
5	-0.5648635395226309
5.1	-0.5675061093169678
5.2	-0.5708617676708735
5.3	-0.5750151041152445
5.4	-0.579983683167319
5.5	-0.5856666225710858
5.6	-0.5918857076126447
5.7	-0.598410003929992
5.8	-0.6050112106802615
5.9	-0.6115909653596225
6	-0.6181900953573162
6.1	-0.6249036375562256
6.2	-0.6317727823774801
6.3	-0.6385949147796255
6.4	-0.6447242582933215
6.5	-0.6490903618630817
6.6	-0.6505663358909669
6.7	-0.648495837931771
6.8	-0.6429540078277679
6.9	-0.6347285825155484
7	-0.625145735297356
7.1	-0.6157661011098277
7.2	-0.6080063768681289
7.3	-0.6027844933154871
7.4	-0.600276306867222
7.5	-0.599852105054248
7.6	-0.6002633890380006
7.7	-0.6000859328952329
7.8	-0.5982746691798946
7.9	-0.5945841796640398
8	-0.5896370812736836
8.1	-0.584612373652089
8.2	-0.5807406681575003
8.3	-0.5788523416149167
8.4	-0.5791415162580499
8.5	-0.5811804963035356
8.6	-0.5841188605508885
8.7	-0.5869645796942253
8.8	-0.5888630830777764
8.9	-0.589318634742678
9	-0.5883066835778745
9.1	-0.5862319924582704
9.2	-0.5837406442146856
9.3	-0.5814699277990647
9.4	-0.5798486669875694
9.5	-0.5790206129063228
9.6	-0.5788913023066484
9.7	-0.5792403827914715
9.8	-0.5798269874543309
9.9	-0.5804495498849258
10	-0.5809721313761538
10.1	-0.5813449848959263
10.2	-0.5816161400808821
10.3	-0.5819079360839862
10.4	-0.5823552220296451
10.5	-0.5830365653441854
10.6	-0.5839349452857354
10.7	-0.5849415502453661
10.8	-0.5858904975919479
10.9	-0.5866029586694345
11	-0.5869278155947132
11.1	-0.5867787820291762
11.2	-0.5861695393811387
11.3	-0.5852366909543356
11.4	-0.5842292233151192
11.5	-0.5834496194869927
11.6	-0.5831574160125138
11.7	-0.5834732892717531
11.8	-0.5843293963576164
11.9	-0.5854921990186044
12	-0.5866485518549069
12.1	-0.5875157599249659
12.2	-0.5879282335426481
12.3	-0.5878693999262355
12.4	-0.5874460774794232
12.5	-0.5868270280111537
12.6	-0.5861765263050782
12.7	-0.5856069700227267
12.8	-0.5851603292947418
12.9	-0.5848163369900282
13	-0.584519238427873
13.1	-0.584212128033654
13.2	-0.5838662891905717
13.3	-0.5834946117864667
13.4	-0.5831455895344089
13.5	-0.5828842229439158
13.6	-0.5827705787310485
13.7	-0.5828432329861671
13.8	-0.583109183332873
13.9	-0.5835397686668635
14	-0.5840729633087232
14.1	-0.5846225310760053
14.2	-0.5850932113830205
14.3	-0.585400085473598
14.4	-0.5854895893993421
14.5	-0.5853576561782254
14.6	-0.5850579132266673
14.7	-0.5846933095281457
14.8	-0.584389721825968
14.9	-0.584257735233667
15	-0.5843551681140928
15.1	-0.5846646540975838
15.2	-0.5850959130597819
15.3	-0.5855127040906991
15.4	-0.5857745217870395
15.5	-0.5857782231580301
15.6	-0.5854869706791653
15.7	-0.5849401959802684
15.8	-0.5842442569178349
15.9	-0.5835469610712122
16	-0.5830011312714692
16.1	-0.5827249661642699
16.2	-0.5827696656654433
16.3	-0.5831044465325944
16.4	-0.583623863249369
16.5	-0.5841740607033028
16.6	-0.5845877157622362
16.7	-0.58471669297936
16.8	-0.5844565651705587
16.9	-0.5837619605044573
17	-0.5826521898328367
17.1	-0.5812059427600638
17.2	-0.5795464637761204
17.3	-0.5778232436907905
17.4	-0.5761972192445729
17.5	-0.5748310793450053
17.6	-0.5738789540735728
17.7	-0.5734675666335118
17.8	-0.5736663793879438
17.9	-0.5744538824944182
18	-0.5756952924910486
18.1	-0.5771485813723983
18.2	-0.5785077830744201
18.3	-0.5794764986365074
18.4	-0.5798482188492959
18.5	-0.5795631462348406
18.6	-0.5787189065844339
18.7	-0.5775318016953334
18.8	-0.576265396570217
18.9	-0.5751537522194574
19	-0.5743446317250988
19.1	-0.5738772292074389
19.2	-0.5736946797393024
19.3	-0.5736790658264088
19.4	-0.5736911503188856
19.5	-0.573601143976966
19.6	-0.573306846160969
19.7	-0.5727438974887396
19.8	-0.5718945004294134
19.9	-0.5707964069336086
20	-0.5695477848982828
