# L= 50  beta= [0.5]  t_max= 20.0  steps= 1000
t 	  D= [50, 100]
0.02	-7822453558911697e-25	-7822453558916663e-25
0.2	-777193114369341e-24	-7771931143705107e-25
0.4	-7674991786322035e-25	-7674991786336846e-25
0.6	-7449555092661962e-25	-7449555092677657e-25
0.8	-7229954960526964e-25	-7229954960722228e-25
1	-7173514289420127e-25	-7173514284383967e-25
1.2	-7211199729877511e-25	-7211199682989714e-25
1.4	-7216144258749612e-25	-721614391506423e-24
1.6	-714922454103825e-24	-7149220211754077e-25
1.8	-7054472050188985e-25	-7054438892987644e-25
2	-6981891822149881e-25	-6981823929163192e-25
2.2	-6951607248694454e-25	-6952814525127022e-25
2.4	-6972912434194579e-25	-6969634635994159e-25
2.6	-7096169412260811e-25	-7015246962425435e-25
2.8	-7425806830347155e-25	-704924730900746e-24
3	-8265132485097815e-25	-7034358970979689e-25
3.2	-12230302997608933e-25	-6975172959166719e-25
3.4	-3386599337991973e-24	-6886521822243856e-25
3.6	-6434692167847075e-24	-6810688133738996e-25
3.8	-6453459493647315e-24	-659214304256245e-24
4	-2504415376915439e-24	-36312106855562663e-26
4.2	7082037238461216e-24	-9739476587794355e-25
4.4	15778686705849232e-24	-26648401396779896e-25
4.6	-900558398476964e-23	-17450863232271885e-25
4.8	-8374320361259885e-23	-2463402110094956e-24
5	-15949940962269235e-23	-15822862107170133e-24
5.2	-25885660205143155e-22	-7433741289445778e-23
5.4	-823945088925563e-20	-2624233438726488e-22
5.6	-16783396556420746e-21	-5604022640413864e-22
5.8	-14097741403441926e-21	-2744002969612488e-23
6	-15255256600896163e-21	18825267443562777e-22
6.2	-3223775076857316e-20	11514475875542457e-22
6.4	-5378251429124697e-20	-25882817577495742e-22
6.6	-58769699360894486e-21	-356201272542612e-20
6.8	-32115299333448626e-21	-12649136390944365e-22
7	-13375194815337536e-21	6811369084889524e-22
7.2	-27427403698560468e-21	3243046854992964e-21
7.4	-8768278504564964e-20	5389595157883901e-21
7.6	-0.00020639543346374152	57536487434523806e-22
7.8	-0.00030845712660044724	36350748571886214e-22
8	-0.00030229720872251706	-131986392728669e-20
8.2	-0.00023686156850652535	-6832999184218248e-21
8.4	-0.00018249646828561323	-10013542346882941e-21
8.6	-0.00014588206025752833	-10633002024233198e-21
8.8	-0.00011943260324627688	-9679256948068652e-21
9	-9078694995922801e-20	-7884214404018998e-21
9.2	-5777714853820221e-20	-6512592426497052e-21
9.4	-3205684998298086e-20	-6371571315385398e-21
9.6	-18187066972055398e-21	-7928642055802468e-21
9.8	-12036364835791863e-21	-10770475366010483e-21
10	-9130626775081816e-21	-1300747281622371e-20
10.2	-6442943161553264e-21	-14410567920764257e-21
10.4	-49364630054401315e-22	-16786842033385568e-21
10.6	-6838250671119057e-21	-21294796311463353e-21
10.8	-12072686481601057e-21	-25419570831210105e-21
11	-19753020809947368e-21	-2599619591373179e-20
11.2	-27405283119830097e-21	-23654348004715374e-21
11.4	-300707535768657e-19	-20455586199413886e-21
11.6	-2862050981962873e-20	-17542733559915264e-21
11.8	-27099889167209838e-21	-15412899837566737e-21
12	-26607142494448815e-21	-14741892828837946e-21
12.2	-2742109360825627e-20	-15162778832988077e-21
12.4	-29252012318170684e-21	-15100776896345073e-21
12.6	-3281031054547148e-20	-14164994464763572e-21
12.8	-372788510006969e-19	-12720313218103569e-21
13	-3913504879171381e-20	-11086697497567004e-21
13.2	-37371980567728765e-21	-10011645212364237e-21
13.4	-3392961336782893e-20	-9475807308064877e-21
13.6	-2977723214035435e-20	-7869513637711664e-21
13.8	-24692783916033e-18	-4333222092592147e-21
14	-19058579506688275e-21	916214341038529e-21
14.2	-1326844443445592e-20	6882022130969756e-21
14.4	-8457545404801716e-21	11813979577052649e-21
14.6	-6160737093853094e-21	15189409776437313e-21
14.8	-6682746714455331e-21	17613786630053775e-21
15	-10465353373523918e-21	1992743578329459e-20
15.2	-16044217042343263e-21	22336051440656355e-21
15.4	-21191449740511672e-21	23375514774977032e-21
15.6	-23011224034236397e-21	21687064529484618e-21
15.8	-2025922560599245e-20	1791133041277222e-20
16	-15702269180348292e-21	1351030293558853e-20
16.2	-11499781506823078e-21	957808917192832e-20
16.4	-7597878636467158e-21	6397636630732499e-21
16.6	-4045761819610299e-21	4088902132242646e-21
16.8	-3380582577693552e-21	33086291003411697e-22
17	-5776757638862781e-21	3629661147699701e-21
17.2	-8443073984713169e-21	29974457325782556e-22
17.4	-10853442304949188e-21	5784709733710535e-22
17.6	-14276915159820368e-21	-21459722615402833e-22
17.8	-18700075148740533e-21	-41267671873977935e-22
18	-1998517543387209e-20	-5366811215104554e-21
18.2	-15269281321032546e-21	-6028307548305475e-21
18.4	-7901648353183849e-21	-6428877936620641e-21
18.6	-20537860472512537e-22	-6863582062247688e-21
18.8	115534484364384e-20	-7943219989843621e-21
19	22295985540073826e-22	-11826814276510743e-21
19.2	25452112814488393e-22	-21554387578397928e-21
19.4	26597286091364456e-22	-36719275803902644e-21
19.6	26065866142621576e-22	-5192101175241084e-20
19.8	25888874994658893e-22	-6109066568495381e-20
20	2836133157309035e-21	-6146339893755251e-20
