# L= 50  beta= [0.5]  t_max= 20.0  steps= 1000
t 	  D= [50, 100]
0.02	-0.4058383154972276	-0.40583831549722826
0.2	-0.40605264491383675	-0.4060526449138386
0.4	-0.4089683166993732	-0.4089683166993758
0.6	-0.41794125914810193	-0.4179412591481063
0.8	-0.42329545908598126	-0.4232954590859861
1	-0.4162227301483846	-0.41622273014838806
1.2	-0.4059914334717723	-0.4059914334717757
1.4	-0.40296368694241247	-0.4029636869424079
1.6	-0.4053557263078101	-0.40535572630740296
1.8	-0.40632757425346666	-0.40632757423905685
2	-0.4048614474724351	-0.40486144707937544
2.2	-0.40433830743810845	-0.4043382996093865
2.4	-0.40536173676286336	-0.40536162933737957
2.6	-0.4056862062931277	-0.4056851891301664
2.8	-0.4049278653955735	-0.404920819541465
3	-0.4047507905619181	-0.4047114308694541
3.2	-0.4054958896657486	-0.4053066943364642
3.4	-0.4062121274506627	-0.40544036918824966
3.6	-0.4075819757539791	-0.4049699352015426
3.8	-0.41228988811108824	-0.40494018553426536
4	-0.42301205268799025	-0.4055312619121615
4.2	-0.4418716927579545	-0.40622401791502266
4.4	-0.47129401700692003	-0.4077930659587287
4.6	-0.5134385873161255	-0.4124547133239663
4.8	-0.5679566655680861	-0.42237394630263625
5	-0.6297656902251769	-0.4393297323024142
5.2	-0.6865575234751454	-0.46543620140500735
5.4	-0.7143866308353629	-0.5025189099298554
5.6	-0.6824865665549666	-0.5497943980373375
5.8	-0.5886349222722951	-0.6018449442497267
6	-0.47501578879267015	-0.6473544458075204
6.2	-0.3916377315300655	-0.6670650350425883
6.4	-0.358746500748605	-0.6422824580613888
6.6	-0.3616623514959598	-0.5766293531431761
6.8	-0.37093691185115096	-0.497070680181648
7	-0.3685680256003495	-0.4361315014375436
7.2	-0.35503418765135214	-0.4108487610092688
7.4	-0.3358151371021428	-0.4157808745261173
7.6	-0.31546344211380717	-0.4334514353884457
7.8	-0.3067235412280836	-0.45057561784239003
8	-0.32920877282509886	-0.4637671928437817
8.2	-0.39050458862064974	-0.47416502993920484
8.4	-0.4746862484839463	-0.48290211164603014
8.6	-0.5524639197160537	-0.4921058340460615
8.8	-0.6001537633763959	-0.5039720183084403
9	-0.6061641940777598	-0.5161450787925287
9.2	-0.5721870263367907	-0.5205601340221859
9.4	-0.5197564920681502	-0.508779961646566
9.6	-0.47977042598638714	-0.47946056756579597
9.8	-0.46841108205633886	-0.44211453683985946
10	-0.47915569245122314	-0.4139654500156133
10.2	-0.4934248451402768	-0.4085129140107901
10.4	-0.4968706482311217	-0.42476479782068544
10.6	-0.49146041475880464	-0.44958646124121715
10.8	-0.49128848454473456	-0.4691133868433299
11	-0.5065594308590419	-0.47834727123277493
11.2	-0.5330642627978688	-0.481870800098863
11.4	-0.5564418060016094	-0.48610816733116313
11.6	-0.5657526294502855	-0.4930992732238391
11.8	-0.562146671782435	-0.5014537820387679
12	-0.5548071837049467	-0.5096495899700243
12.2	-0.5515257129402361	-0.5170324238938797
12.4	-0.5537166346985448	-0.5236497816480223
12.6	-0.5577837500576721	-0.5298653803144642
12.8	-0.5596406090269493	-0.5352740719281152
13	-0.5578522206181045	-0.5383626151568308
13.2	-0.5533594701107585	-0.537986909849104
13.4	-0.5477598718401594	-0.5351908857548077
13.6	-0.5422494694036138	-0.5325781541873129
13.8	-0.5380952872577266	-0.5322702538840963
14	-0.5364889595195528	-0.534994021964945
14.2	-0.5375190396160037	-0.5401869841533197
14.4	-0.540805369676755	-0.5466159786137053
14.6	-0.5463453780365483	-0.5533011593327717
14.8	-0.5532546925432515	-0.5596678734986108
15	-0.5589726316982451	-0.5646111105383742
15.2	-0.5607433593794907	-0.5663028583349693
15.4	-0.5577049504980136	-0.5638785520841212
15.6	-0.5516563717620677	-0.558870117426043
15.8	-0.5459217459392026	-0.5541128015572458
16	-0.5436057370324199	-0.5516377648535331
16.2	-0.5459893304691598	-0.551834776242771
16.4	-0.5517247982364495	-0.5538932137605214
16.6	-0.5577844515007097	-0.5565772294027477
16.8	-0.5613678341090539	-0.5586181759885569
17	-0.5606856131809298	-0.5590058552495566
17.2	-0.5550517288169688	-0.557777850900365
17.4	-0.5462129947906351	-0.5562316404850067
17.6	-0.5384373772623839	-0.5557048387063109
17.8	-0.5350153151404663	-0.5564265994219468
18	-0.5354946661958941	-0.5577538299279386
18.2	-0.5375361800976932	-0.5590630686115209
18.4	-0.5400818064412914	-0.559948576742916
18.6	-0.5436347665661522	-0.5598698327288832
18.8	-0.5479296896967762	-0.5584702011003061
19	-0.5504516004307579	-0.5562701255578746
19.2	-0.5482673680335591	-0.5544777608088242
19.4	-0.54098414247977	-0.5539812982192664
19.6	-0.5316740318725647	-0.5547255687823481
19.8	-0.5250619134452046	-0.5560529221732404
20	-0.5241940062378135	-0.5572720684791922
