# L= 120  beta= [0.01]  t_max= 2.0  steps= 500
t 	  D= [100]
0.004	79439224483045e-39
0.008	7953558892948977e-41
0.016	7927115333785367e-41
0.024	7894741151970011e-41
0.032	7965029354822156e-41
0.04	7971508256674606e-41
0.048	7939200211411877e-41
0.056	7931418621514724e-41
0.064	7920471405944706e-41
0.072	791343976693154e-40
0.08	7860476080243753e-41
0.088	7834530601065137e-41
0.096	784516000547158e-40
0.104	7805502679806018e-41
0.112	7762214714472432e-41
0.12	7745398966778399e-41
0.128	7775678810103721e-41
0.136	7737575315273644e-41
0.144	7668148399756354e-41
0.152	76732558919779e-39
0.16	7628419922696064e-41
0.168	7607069821965621e-41
0.176	7572878003912485e-41
0.184	7537857451272959e-41
0.192	7501238219877488e-41
0.2	7384347812696869e-41
0.208	7324782853452347e-41
0.216	72638555780417e-39
0.224	710182258292491e-40
0.232	7025026577372046e-41
0.24	6981467514470584e-41
0.248	6952867297839436e-41
0.256	6902681473746334e-41
0.264	6828450394560822e-41
0.272	6718939687425398e-41
0.28	6641426502932922e-41
0.288	6543461393580129e-41
0.296	6471581496123784e-41
0.304	6386810691580528e-41
0.312	6309208875943651e-41
0.32	6249009944851173e-41
0.328	6150143336417048e-41
0.336	6075568695046041e-41
0.344	5992567867296234e-41
0.352	5890211586758436e-41
0.36	5761288108778783e-41
0.368	5678197799343562e-41
0.376	5606929876203848e-41
0.384	5498053657708719e-41
0.392	5378921453973711e-41
0.4	5261842185128039e-41
0.408	51637373445784647e-42
0.416	50926157136460165e-42
0.424	5007993658264348e-41
0.432	49023806403429815e-42
0.44	4781419538047445e-41
0.448	46695686918607895e-42
0.456	4533233944368705e-41
0.464	44271327391336734e-42
0.472	43095083818499234e-42
0.48	41786648297113286e-42
0.488	4077347463319291e-41
0.496	39650986159878057e-42
0.504	3884060252536038e-41
0.512	37750056009757613e-42
0.52	3686058971582661e-41
0.528	3608752348222363e-41
0.536	35209998419359195e-42
0.544	34150251092488833e-42
0.552	33345678590573876e-42
0.56	3225637685631111e-41
0.568	3123303438755131e-41
0.576	3031135680496341e-41
0.584	29398132302102327e-42
0.592	2863541245718764e-41
0.6	2774533050800589e-41
0.608	26596089711641956e-42
0.616	2584999906868049e-41
0.624	24810242605810555e-42
0.632	2373109694615303e-41
0.64	22782498751640154e-42
0.648	21910705509525222e-42
0.656	21175863084206996e-42
0.664	2044767141252222e-41
0.672	19624880680080652e-42
0.68	18901680487146655e-42
0.688	18191354318986102e-42
0.696	17735541077608817e-42
0.704	1707034272893898e-41
0.712	16389748603246836e-42
0.72	15509696847399644e-42
0.728	14750489752843256e-42
0.736	14209768859989028e-42
0.744	1348919365371934e-41
0.752	12826928043856677e-42
0.76	12213671024794608e-42
0.768	11466344832721679e-42
0.776	11067751899649966e-42
0.784	1044298662158987e-41
0.792	10009307552916958e-42
0.8	9566744357051371e-42
0.808	9247161388167374e-42
0.816	8468562703095559e-42
0.824	7859105557585694e-42
0.832	7559289008622597e-42
0.84	7107243490882307e-42
0.848	6905816910897075e-42
0.856	6578841787622717e-42
0.864	62395809007314116e-43
0.872	59922586931956526e-43
0.88	57214669424060796e-43
0.888	544529811150089e-41
0.896	51789790619414236e-43
0.904	4881714245233079e-42
0.912	45926322882800915e-43
0.92	43361572188272536e-43
0.928	4132035759541866e-42
0.936	3965436754491983e-42
0.944	3642582789324991e-42
0.952	3354576398308163e-42
0.96	30435236142902232e-43
0.968	29513994916356272e-43
0.976	2802123060765846e-42
0.984	27252143310384106e-43
0.992	2501199347859493e-42
1	22773306986791118e-43
1.008	2077302373535355e-42
1.016	19071008427007224e-43
1.024	17775857825932328e-43
1.032	16850413401065766e-43
1.04	15284801241955027e-43
1.048	14596695631836637e-43
1.056	13735509574724759e-43
1.064	12296894434494611e-43
1.072	11299504966850135e-43
1.08	10299298012395245e-43
1.088	10162190478460647e-43
1.096	9378170205162333e-43
1.104	8455953050153195e-43
1.112	8195107163295297e-43
1.12	7219320975824666e-43
1.128	6785625717311013e-43
1.136	6130230959641834e-43
1.144	5608998990993501e-43
1.152	4885603884587269e-43
1.16	4047275392657267e-43
1.168	36901147972483193e-44
1.176	34104486400212184e-44
1.184	274474177203448e-42
1.192	25414169273981e-41
1.2	23782791647563615e-44
1.208	2177364829812884e-43
1.216	2334286322569869e-43
1.224	2434621193956932e-43
1.232	21995528040673852e-44
1.24	2161416738803816e-43
1.248	2056979097747332e-43
1.256	17819743906266037e-44
1.264	1844391228868282e-43
1.272	17253186720933397e-44
1.28	1594045326423e-40
1.288	15121763650686364e-44
1.296	15882001996474008e-44
1.304	16148501749450654e-44
1.312	16849824500799264e-44
1.32	14180097083763136e-44
1.328	14586694875958437e-44
1.336	1403069339147896e-43
1.344	1548139058300935e-43
1.352	15752616091044075e-44
1.36	16146813209853656e-44
1.368	1455875139202365e-43
1.376	12265457702329819e-44
1.384	12844554985636655e-44
1.392	1429267033962106e-43
1.4	1431263991539667e-43
1.408	13268552706880152e-44
1.416	13263273983132003e-44
1.424	1272765835576486e-43
1.432	12341603928723748e-44
1.44	11310442997131623e-44
1.448	11754626884069458e-44
1.456	11832894857278834e-44
1.464	11824001853447737e-44
1.472	12914678256651483e-44
1.48	12748237202568303e-44
1.488	12208944983203088e-44
1.496	13628911171905884e-44
1.504	14174289454700833e-44
1.512	1451986044790437e-43
1.52	13775609412549024e-44
1.528	13430246735657972e-44
1.536	14577117689541118e-44
1.544	14310919058477446e-44
1.552	1386710091221348e-43
1.56	12070819107326408e-44
1.568	10952102750895018e-44
1.576	10845326493668134e-44
1.584	9808506153046639e-44
1.592	8330992398251358e-44
1.6	769833967276185e-43
1.608	7444056088867238e-44
1.616	6384496202830361e-44
1.624	5395052675511337e-44
1.632	6206163387653181e-44
1.64	5157413500959049e-44
1.648	46538274863052974e-45
1.656	4772742374133848e-44
1.664	4648991203608757e-44
1.672	49390380800352126e-45
1.68	37330728929560397e-45
1.688	2947086529624336e-44
1.696	2722295947801964e-44
1.704	25139345468110046e-45
1.712	2394049671492543e-44
1.72	2265653512577035e-44
1.728	2162980569540179e-44
1.736	17877517072365266e-45
1.744	15682665032135047e-45
1.752	15385502875765615e-45
1.76	13682314409542404e-45
1.768	15626988591296424e-45
1.776	9069441669011412e-45
1.784	8633261393016844e-45
1.792	3456248286690588e-45
1.8	41017694872285436e-46
1.808	39615446586543434e-46
1.816	13978956773860614e-46
1.824	34096450084858334e-47
1.832	8244678048046762e-46
1.84	17616837524585616e-48
1.848	-6342544867895193e-46
1.856	-16091370803916762e-46
1.864	-26154659773743498e-46
1.872	-25821795303662935e-46
1.88	-2950546253817562e-46
1.888	15302937676628126e-46
1.896	12605745514963292e-46
1.904	-65244903785659145e-47
1.912	-40973756422384204e-46
1.92	-662173276890024e-44
1.928	-41385659751266555e-46
1.936	-4122317745324302e-45
1.944	-50259801326981005e-46
1.952	-62456434251633965e-46
1.96	-6465531318646006e-45
1.968	-6280148570780056e-45
1.976	-8187985764111689e-45
1.984	-58057855050303324e-46
1.992	-7602493754428044e-45
2	-8966005887860566e-45
