# L= 80  beta= [0.01]  t_max= 2.0  steps= 500
t 	  D= [100]
0.004	-1.5904253726776674
0.008	-1.5904733770559367
0.016	-1.5905801319453947
0.024	-1.5907027180342137
0.032	-1.590843085876558
0.04	-1.591003359434509
0.048	-1.591185840903143
0.056	-1.5913930138618244
0.064	-1.5916275444330228
0.072	-1.5918922801171593
0.08	-1.5921902459660229
0.088	-1.592524637756675
0.096	-1.5928988118344594
0.104	-1.5933162713097921
0.112	-1.5937806483171257
0.12	-1.5942956820788372
0.128	-1.5948651925619424
0.136	-1.5954930495696635
0.144	-1.5961831371763118
0.152	-1.5969393134911225
0.16	-1.5977653658212791
0.168	-1.5986649614015536
0.176	-1.599641593960566
0.184	-1.6006985265037528
0.192	-1.6018387308069528
0.2	-1.6030648242313321
0.208	-1.6043790045858526
0.216	-1.6057829838765487
0.224	-1.607277921887869
0.232	-1.6088643606384405
0.24	-1.6105421608377515
0.248	-1.6123104415382385
0.256	-1.6141675242269824
0.264	-1.616110882627876
0.272	-1.6181370994883726
0.28	-1.620241831601629
0.288	-1.6224197842626407
0.296	-1.6246646962766134
0.304	-1.626969336527975
0.312	-1.6293255129795967
0.32	-1.63172409480522
0.328	-1.6341550481673834
0.336	-1.636607485937051
0.344	-1.6390697314190568
0.352	-1.6415293958982016
0.36	-1.6439734695630253
0.368	-1.6463884251003669
0.376	-1.6487603329933946
0.384	-1.6510749872993096
0.392	-1.6533180404428116
0.4	-1.6554751453382126
0.408	-1.657532102955467
0.416	-1.6594750132789617
0.424	-1.661290427475397
0.432	-1.6629654989935552
0.44	-1.664488131269773
0.448	-1.6658471197057128
0.456	-1.6670322856273398
0.464	-1.6680346000192847
0.472	-1.6688462949628178
0.48	-1.6694609608810067
0.488	-1.6698736279117703
0.496	-1.6700808299827417
0.504	-1.6700806504469154
0.512	-1.6698727484485425
0.52	-1.669458365518222
0.528	-1.66884031223892
0.536	-1.6680229351702367
0.544	-1.667012064563079
0.552	-1.6658149437299186
0.56	-1.664440141252193
0.568	-1.6628974474964902
0.576	-1.6611977571728105
0.584	-1.6593529398906284
0.592	-1.657375700852002
0.6	-1.6552794339571406
0.608	-1.65307806968976
0.616	-1.650785920189421
0.624	-1.6484175239121075
0.632	-1.6459874922241287
0.64	-1.6435103601751153
0.648	-1.6410004435525538
0.656	-1.638471704140606
0.664	-1.6359376248932016
0.672	-1.6334110964911905
0.68	-1.6309043164947168
0.688	-1.6284287020272086
0.696	-1.6259948166472884
0.704	-1.6236123117842254
0.712	-1.6212898828365787
0.72	-1.6190352397719927
0.728	-1.6168550918202211
0.736	-1.614755145627346
0.744	-1.61274011604245
0.752	-1.6108137485388858
0.76	-1.6089788521344257
0.768	-1.6072373415689893
0.776	-1.605590287425345
0.784	-1.604037972836475
0.792	-1.6025799554119888
0.8	-1.6012151330334663
0.808	-1.5999418122112905
0.816	-1.5987577777608595
0.824	-1.5976603626420034
0.832	-1.5966465169054598
0.84	-1.5957128748025626
0.848	-1.5948558192375861
0.856	-1.5940715428654129
0.864	-1.5933561052675995
0.872	-1.592705485763816
0.88	-1.5921156315396148
0.888	-1.591582500885307
0.896	-1.5911021014487379
0.904	-1.5906705235020056
0.912	-1.5902839683077794
0.92	-1.5899387717458233
0.928	-1.5896314234230267
0.936	-1.5893585815401692
0.944	-1.589117083828919
0.952	-1.588903954899292
0.96	-1.5887164103560165
0.968	-1.5885518580508098
0.976	-1.5884078968370534
0.984	-1.5882823131870558
0.992	-1.5881730760176251
1	-1.5880783300528827
1.008	-1.5879963880303094
1.016	-1.587925722031596
1.024	-1.5878649541936538
1.032	-1.5878128470264579
1.04	-1.5877682935377786
1.048	-1.5877303073364633
1.056	-1.5876980128598914
1.064	-1.5876706358462551
1.072	-1.5876474941479226
1.08	-1.5876279889623826
1.088	-1.5876115965356798
1.096	-1.5875978603780634
1.104	-1.5875863840148943
1.112	-1.5875768242838122
1.12	-1.587568885178175
1.128	-1.5875623122268891
1.136	-1.5875568873950745
1.144	-1.5875524244826535
1.152	-1.5875487649951852
1.16	-1.5875457744572044
1.168	-1.5875433391379092
1.176	-1.587541363156032
1.184	-1.5875397659328558
1.192	-1.5875384799613983
1.2	-1.5875374488609892
1.208	-1.5875366256883627
1.216	-1.587535971477419
1.224	-1.5875354539819042
1.232	-1.5875350465974134
1.24	-1.5875347274404288
1.248	-1.5875344785649914
1.256	-1.5875342852985193
1.264	-1.5875341356814092
1.272	-1.5875340199951704
1.28	-1.5875339303672007
1.288	-1.5875338604407425
1.296	-1.5875338051001393
1.304	-1.5875337602429365
1.312	-1.5875337225917485
1.32	-1.5875336895392287
1.328	-1.5875336590207543
1.336	-1.5875336294103892
1.344	-1.587533599435963
1.352	-1.5875335681101959
1.36	-1.587533534674733
1.368	-1.5875334985550005
1.376	-1.5875334593238593
1.384	-1.5875334166724577
1.392	-1.5875333703868784
1.4	-1.5875333203294073
1.408	-1.587533266423684
1.416	-1.5875332086428693
1.424	-1.5875331470002325
1.432	-1.5875330815417503
1.44	-1.5875330123401843
1.448	-1.5875329394903195
1.456	-1.587532863105411
1.464	-1.5875327833139787
1.472	-1.5875327002576913
1.48	-1.5875326140893016
1.488	-1.5875325249711194
1.496	-1.5875324330736647
1.504	-1.587532338574803
1.512	-1.58753224165865
1.52	-1.5875321425148734
1.528	-1.5875320413379594
1.536	-1.5875319383266786
1.544	-1.5875318336834547
1.552	-1.5875317276138374
1.56	-1.5875316203260494
1.568	-1.5875315120304963
1.576	-1.5875314029393055
1.584	-1.5875312932657895
1.592	-1.5875311832242003
1.6	-1.5875310730291015
1.608	-1.5875309628950025
1.616	-1.5875308530359964
1.624	-1.5875307436652681
1.632	-1.5875306349947145
1.64	-1.5875305272345115
1.648	-1.587530420592702
1.656	-1.5875303152748048
1.664	-1.5875302114833887
1.672	-1.5875301094177585
1.68	-1.5875300092734879
1.688	-1.5875299112420507
1.696	-1.5875298155105209
1.704	-1.5875297222611142
1.712	-1.5875296316709204
1.72	-1.587529543911482
1.728	-1.5875294591485747
