# L= 50  beta= [0.5]  t_max= 8.0  steps= 1000
t 	  D= [200]
0.008	-0.4058379347637464
0.016	-0.4058381977830871
0.032	-0.40583938225917204
0.048	-0.4058417053988696
0.064	-0.4058455556247592
0.08	-0.405851424922256
0.096	-0.4058599301740578
0.112	-0.40587183655337344
0.128	-0.40588808241203134
0.144	-0.4059098048154573
0.16	-0.405938364562691
0.176	-0.4059753692027387
0.192	-0.40602269224152426
0.208	-0.40608248645578565
0.224	-0.4061571890246744
0.24	-0.4062495160930704
0.256	-0.4063624444282024
0.272	-0.40649917805488384
0.288	-0.4066630981777651
0.304	-0.4068576953319304
0.32	-0.40708648353990057
0.336	-0.4073528972674254
0.352	-0.4076601731145637
0.368	-0.4080112193839404
0.384	-0.40840847784766043
0.4	-0.40885378308938103
0.416	-0.40934822562538675
0.432	-0.4098920255125811
0.448	-0.41048442325398404
0.464	-0.41112359446570235
0.48	-0.41180659396322816
0.496	-0.4125293336922362
0.512	-0.4132865973462689
0.528	-0.4140720926930354
0.544	-0.4148785407115866
0.56	-0.41569779877287294
0.576	-0.4165210134191963
0.592	-0.41733879693487885
0.608	-0.41814142093763756
0.624	-0.41891901970358003
0.64	-0.41966179587105806
0.656	-0.4203602215139388
0.672	-0.421005228266948
0.688	-0.4215883811385012
0.704	-0.4221020317648793
0.72	-0.42253944805085825
0.736	-0.4228949183222319
0.752	-0.4231638292169685
0.768	-0.4233427175135427
0.784	-0.42342929690548664
0.8	-0.4234224613655383
0.816	-0.4233222672009992
0.832	-0.4231298961950446
0.848	-0.4228476023764829
0.864	-0.42247864498684984
0.88	-0.4220272101451957
0.896	-0.4214983235734237
0.912	-0.42089775656283623
0.928	-0.42023192715607555
0.944	-0.4195077983054973
0.96	-0.41873277456164204
0.976	-0.4179145986531308
0.992	-0.41706124914731757
1.008	-0.4161808402317286
1.024	-0.415281524529431
1.04	-0.41437139975519394
1.056	-0.41345841993029525
1.072	-0.4125503117983084
1.088	-0.4116544970181605
1.104	-0.4107780206503258
1.12	-0.4099274863937893
1.136	-0.4091089989728453
1.152	-0.40832811401161984
1.168	-0.40758979566940445
1.184	-0.40689838224069
1.2	-0.40625755985041734
1.216	-0.40567034429772675
1.232	-0.40513907102146784
1.248	-0.4046653930790782
1.264	-0.40425028694834053
1.28	-0.4038940658805971
1.296	-0.4035964004554825
1.312	-0.40335634591260516
1.328	-0.40317237576594855
1.344	-0.40304242114342537
1.36	-0.40296391523772235
1.376	-0.40293384220644796
1.392	-0.40294878981991206
1.408	-0.40300500512457427
1.424	-0.40309845236923797
1.44	-0.40322487242990496
1.456	-0.40337984296777185
1.472	-0.4035588385629987
1.488	-0.4037572900844708
1.504	-0.40397064258242954
1.52	-0.4041944110259642
1.536	-0.4044242332505072
1.552	-0.40465591953081553
1.568	-0.4048854982518858
1.584	-0.4051092572126284
1.6	-0.4053237801643987
1.616	-0.4055259782575225
1.632	-0.4057131161424992
1.648	-0.4058828325482412
1.664	-0.4060331552356734
1.68	-0.4061625103010221
1.696	-0.4062697258775888
1.712	-0.4063540303570779
1.728	-0.40641504532068123
1.744	-0.40645277343508557
1.76	-0.40646758162880314
1.776	-0.4064601799188185
1.792	-0.40643159630603737
1.808	-0.4063831481997394
1.824	-0.4063164108658287
1.84	-0.4062331834208615
1.856	-0.40613545291320885
1.872	-0.40602535704446385
1.888	-0.40590514608795764
1.904	-0.4057771445575245
1.92	-0.4056437131682758
1.936	-0.40550721161269976
1.952	-0.4053699626501389
1.968	-0.40523421797615
1.984	-0.4051021263010129
2	-0.4049757040243181
2.016	-0.40485680884578423
2.032	-0.40474711660216356
2.048	-0.4046481015667082
2.064	-0.40456102039249753
2.08	-0.4044868998242186
2.096	-0.4044265282460891
2.112	-0.40438045107692555
2.128	-0.4043489699679476
2.144	-0.4043321457053832
2.16	-0.4043298046690442
2.176	-0.4043415486505454
2.192	-0.4043667677911217
2.208	-0.40440465635990713
2.224	-0.40445423105921924
2.24	-0.40451435151454207
2.256	-0.4045837425834724
2.272	-0.4046610181005489
2.288	-0.4047447056632321
2.304	-0.40483327205890174
2.32	-0.4049251489331174
2.336	-0.4050187583057155
2.352	-0.4051125375531694
2.368	-0.40520496349293766
2.384	-0.40529457522762485
2.4	-0.405379995433625
2.416	-0.4054599498096059
2.432	-0.405533284434616
2.448	-0.4055989808227652
2.464	-0.40565616850110275
2.48	-0.4057041349786173
2.496	-0.4057423330166331
2.512	-0.40577038515369934
2.528	-0.40578808548069334
2.544	-0.4057953987034657
2.56	-0.4057924565707777
2.576	-0.4057795517834145
2.592	-0.4057571295361479
2.608	-0.4057257768768521
2.624	-0.40568621009631034
2.64	-0.4056392603876436
2.656	-0.405585858035529
2.672	-0.4055270154122802
2.688	-0.40546380907022045
2.704	-0.4053973612274344
2.72	-0.40532882094708883
2.736	-0.405259345308916
2.752	-0.40519008086534986
2.768	-0.40512214566440446
2.784	-0.40505661210689203
2.8	-0.40499449088720535
2.816	-0.4049367162452454
2.832	-0.40488413273213797
2.848	-0.40483748366504296
2.864	-0.40479740141673354
2.88	-0.404764399654386
2.896	-0.40473886760956485
2.912	-0.4047210664283986
2.928	-0.4047111276176434
2.944	-0.4047090535696315
2.96	-0.40471472011707216
2.976	-0.40472788103811674
2.992	-0.40474817440328514
3.008	-0.40477513062925174
3.024	-0.40480818208042707
3.04	-0.404846674038173
3.056	-0.40488987683945077
3.072	-0.40493699897216434
3.088	-0.40498720090342233
3.104	-0.40503960940949923
3.12	-0.40509333217275173
3.136	-0.4051474724106519
3.152	-0.4052011433059022
3.168	-0.40525348201376293
3.184	-0.4053036630333095
3.2	-0.4053509107430538
3.216	-0.4053945109179386
3.232	-0.4054338210638845
3.248	-0.4054682794274191
3.264	-0.405497412561176
3.28	-0.4055208413507784
3.296	-0.4055382854343629
3.312	-0.4055495659724629
3.328	-0.40555460675258914
3.344	-0.40555343363932694
3.36	-0.4055461724065796
3.376	-0.40553304501352766
3.392	-0.4055143644092895
3.408	-0.4054905279731253
3.424	-0.40546200971675983
3.44	-0.40542935139286745
3.456	-0.4053931526687316
3.472	-0.4053540605362633
3.488	-0.40531275813888223
3.504	-0.4052699532021727
3.52	-0.40522636625844966
3.536	-0.4051827188557174
3.552	-0.405139721938725
3.568	-0.40509806458423486
3.584	-0.4050584032641346
3.6	-0.4050213517990891
3.616	-0.4049874721519219
3.632	-0.4049572661944216
3.648	-0.4049311685637696
3.664	-0.4049095407058149
3.68	-0.4048926661821638
3.696	-0.4048807472968167
3.712	-0.4048739030764129
3.728	-0.4048721686160915
3.744	-0.40487549578119597
3.76	-0.4048837552336212
3.776	-0.4048967397311026
3.792	-0.4049141686282489
3.808	-0.4049356934900854
3.824	-0.4049609047125466
3.84	-0.40498933902980755
3.856	-0.405020487776017
3.872	-0.40505380575882427
3.888	-0.40508872059443146
3.904	-0.4051246423486751
3.92	-0.4051609733259977
3.936	-0.4051971178479537
3.952	-0.40523249186523297
3.968	-0.40526653225200326
3.984	-0.4052987056386669
4	-0.4053285166486569
4.016	-0.4053555154162915
4.032	-0.40537930427596036
4.048	-0.4053995435277055
4.064	-0.40541595620025195
4.08	-0.4054283317493541
4.096	-0.4054365286471823
4.112	-0.4054404758368978
4.128	-0.4054401730451483
4.144	-0.4054356899637687
4.16	-0.4054271643303289
4.176	-0.4054147989548201
4.192	-0.40539885775599505
4.208	-0.40537966088542404
4.224	-0.40535757903071296
4.24	-0.40533302700171026
4.256	-0.4053064567147424
4.272	-0.4052783496985968
4.288	-0.4052492092519747
4.304	-0.40521955238564933
4.32	-0.4051899016843625
4.336	-0.40516077722346444
4.352	-0.40513268867326657
4.368	-0.40510612771969967
4.384	-0.40508156092321623
4.4	-0.4050594231290024
4.416	-0.4050401115308077
4.432	-0.40502398047814675
4.448	-0.4050113371029243
4.464	-0.4050024378274934
4.48	-0.4049974858028695
4.496	-0.4049966293144607
4.512	-0.40499996118246273
4.528	-0.4050075191717801
4.544	-0.40501928740795384
4.56	-0.4050351987718812
4.576	-0.40505513822448114
4.592	-0.4050789469992005
4.608	-0.405106427593495
4.624	-0.4051373494831421
4.64	-0.40517145547226946
4.656	-0.4052084685804337
4.672	-0.4052480993604428
4.688	-0.40529005353785214
4.704	-0.4053340398626112
4.72	-0.4053797780622209
4.736	-0.4054270067831603
4.752	-0.40547549140429284
4.768	-0.4055250316039935
4.784	-0.405575468563393
4.8	-0.4056266916925135
4.816	-0.4056786447751641
4.832	-0.40573133144193796
4.848	-0.40578481989787163
4.864	-0.40583924685035727
4.88	-0.4058948206018923
4.896	-0.40595182328909435
