L= 50  beta= 1.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
0.05	-55.541073147740946	-0.5589774277357846	4323030852021979e-30	-25253731742084145e-21	6531869132659778e-35
0.1	-55.606758115819474	-0.5590082408003207	-10585404623154882e-31	-25244440019189594e-21	1363035607479528e-34
0.15	-55.734910242757756	-0.5590936347370428	-7571824027149954e-30	-25233185498796866e-21	33727009572617836e-35
0.2	-55.95733736594012	-0.559289650093915	-1075305954847082e-29	-25217778633028665e-21	24724203481363606e-35
0.25	-56.298751408123294	-0.5596881942817367	-13042088161394419e-30	-2519437403200472e-20	18125195727271524e-35
0.3	-56.757833948721455	-0.5604204130361436	-1459545849523229e-29	-2515707727120072e-20	33760484719505936e-35
0.35	-57.2896079638612	-0.5616444166858487	-16765074097317874e-30	-25098100211933413e-21	12923040709861441e-35
0.4	-57.8023623346177	-0.5635108777095912	-13492957022954305e-30	-25008946479610322e-21	32381381598619326e-35
0.45	-58.17885864364706	-0.5661093234802875	-15961155127078817e-30	-2488281356426415e-20	2945406959189939e-34
0.5	-58.31800761107499	-0.569411215604599	-14765500359393592e-30	-24717596607293144e-21	16446492213932927e-35
0.55	-58.17763175564834	-0.5732346929686192	-13657233980876593e-30	-2451801895917837e-20	35364525951124937e-35
0.6	-57.79407356493838	-0.5772516167453695	-8391811212398424e-30	-24295436181551466e-21	3445044164625671e-34
0.65	-57.266433341363665	-0.5810400966545812	-27161754697626814e-31	-24065171094516485e-21	284170878626224e-33
0.7	-56.71463063987999	-0.5841654630689848	5337036016036731e-30	-2384278980618979e-20	40506036252526204e-35
0.75	-56.23535063545921	-0.5862624144433386	12862280007351276e-30	-2364109846294863e-20	2236418154063108e-34
0.8	-55.87765250528801	-0.5870951273584903	2355958107097024e-29	-2346871469964765e-20	17910947622744805e-35
0.85	-55.64439725683467	-0.5865847165361447	2886473984907e-26	-23329971490200273e-21	3205527967677907e-34
0.9	-55.51021499608755	-0.5848057709271972	35443499060727225e-30	-2322550307945224e-20	3686436426620555e-34
0.95	-55.441705469890344	-0.5819606119880658	45079826983406186e-30	-23153037040033997e-21	29362342799112866e-35
1	-55.41053337113124	-0.5783412357006648	4627934760946268e-29	-23108203561731724e-21	20679708616949944e-35
1.05	-55.39786183799257	-0.5742870535504225	5838704662168657e-29	-23085308876633414e-21	3391153437123197e-34
1.1	-55.393257568260296	-0.5701440079582538	6596428827156716e-29	-23078053667067404e-21	3503502135842077e-34
1.15	-55.39176726834689	-0.5662286877133169	682330999021057e-28	-2308016990404281e-20	32190911395701354e-35
1.2	-55.391342556006435	-0.5627998753045726	7108489042892147e-29	-23085949275360636e-21	42307630777994143e-35
1.25	-55.39123786595097	-0.5600391640863362	7923244783251786e-29	-23090644331990585e-21	36914779427332987e-35
1.3	-55.39121267124487	-0.5580415253103534	8177757855110969e-29	-23090726834234988e-21	27686897699051365e-35
1.35	-55.391198106305566	-0.5568158323609188	8537321647154525e-29	-23083996629306174e-21	3874324502231239e-34
1.4	-55.39117720635269	-0.5562944076698935	9183921696319809e-29	-23069548212442e-18	41024806355006325e-35
1.45	-55.391147360328034	-0.5563497844328169	9576724755279518e-29	-23047613225276308e-21	38305322085429867e-35
1.5	-55.391109882269475	-0.5568162106113526	9011598433618373e-29	-2301931029715822e-20	4220108593977721e-34
1.55	-55.39106734204406	-0.557513064222485	8635524275366936e-29	-2298634082797625e-20	3521785071752248e-34
1.6	-55.3910228235411	-0.5582673383490906	806099233045289e-28	-22950671705344208e-21	3652245432772732e-34
1.65	-55.390979590457135	-0.5589326801498533	7544201435707044e-29	-2291424285006952e-20	3818289871242528e-34
1.7	-55.39094082336614	-0.5594030739918392	7411788163194568e-29	-2287873032705727e-20	3599488404657248e-34
1.75	-55.390909375342844	-0.5596200548683606	7763533502321788e-29	-2284538654972035e-20	40681608969064125e-35
1.8	-55.390887552731726	-0.5595732150942714	7585703678430252e-29	-22814962973223404e-21	41687076969743507e-35
1.85	-55.39087693710107	-0.5592946109725005	743629756974314e-28	-22787714752511247e-21	3716799519566356e-34
1.9	-55.390878263117	-0.5588483830809947	7078697877697677e-29	-2276347313264477e-20	336666259233377e-33
1.95	-55.39089136280356	-0.5583173935064625	6904345971087567e-29	-22741767037411537e-21	3961534786234458e-34
2	-55.39091518119989	-0.5577889075327114	6898624432935454e-29	-2272196758404342e-20	3594550665945119e-34
2.05	-55.39094786245192	-0.5573412946777532	6413840033354327e-29	-22703433128372004e-21	3965845506506052e-34
2.1	-55.390986899358815	-0.5570334197514668	5803875853223686e-29	-22685633761311507e-21	36176908765073615e-35
