L= 50  beta= 0.5  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 10.0
# t 	 E 	 mag 	 corr 	 err
0.005	-40.2382362398453	-0.40583787095213875	-7827499554151087e-25	15177676564977912e-36
0.01	-40.23930976133436	-0.40583793758482156	-7827159885124299e-25	15506772007965617e-36
0.015	-40.24049608304868	-0.4058380526644866	-7826819345601835e-25	16171567286787757e-36
0.02	-40.24180707543124	-0.4058382214155041	-7826477905879826e-25	1718842071770791e-35
0.025	-40.24325585679694	-0.4058384495792004	-7826135526304417e-25	18585877324503893e-36
0.03	-40.2448569244373	-0.4058387434681907	-7825792156225643e-25	20407828139725128e-36
0.035	-40.246626299484625	-0.4058391100264385	-782544773283839e-24	22716342960457024e-36
0.04	-40.24858168697713	-0.4058395568956859	-7825102179897956e-25	25593728097571147e-36
0.045	-40.250742652715374	-0.4058400924888569	-7824755406300427e-25	291444620072687e-34
0.05	-40.253130818667316	-0.4058407260712383	-7824407304509077e-25	3349748435093043e-35
0.055	-40.255770078858234	-0.4058414678501838	-782405774881566e-24	3880899192680498e-35
0.06	-40.25868683789439	-0.40584232907431683	-7823706593414475e-25	4526582456096963e-35
0.065	-40.261910274469	-0.40584332214311214	-7823353670269959e-25	5308948000622907e-35
0.07	-40.265472632470804	-0.40584446072804803	-782299878675615e-24	6254065027235783e-35
0.075	-40.26940954256915	-0.4058457599065284	-7822641723041614e-25	7392394563421344e-35
0.08	-40.27376037744342	-0.4058472363098411	-7822282229192718e-25	8759222424388741e-35
0.085	-40.27856864416033	-0.40584890828664966	-7821920021962532e-25	10394971818192208e-35
0.09	-40.2838824175695	-0.405850796083756	-7821554781233692e-25	12345296242113728e-35
0.095	-40.289754818953504	-0.40585292204570894	-7821186146071841e-25	14660840928159298e-35
0.1	-40.29624454464446	-0.40585531083548254	-7820813710349791e-25	17396558880684228e-35
0.105	-40.30341644975871	-0.40585798967819275	-7820437017892519e-25	2061048660883742e-34
0.11	-40.31134219275623	-0.40586098863042175	-7820055557087876e-25	2436194474942656e-34
0.115	-40.32010094709297	-0.4058643408777696	-7819668754904521e-25	2870925371520849e-34
0.12	-40.32978018685991	-0.4058680830635138	-7819275970246399e-25	33707256693144793e-35
0.125	-40.34047655400943	-0.4058722556516487	-7818876486565985e-25	394052039124821e-33
0.13	-40.35229681552349	-0.40587690332794957	-7818469503652689e-25	4584580741522568e-34
0.135	-40.36535891969238	-0.4058820754428716	-7818054128501757e-25	11009870713236448e-35
0.14	-40.37979316159151	-0.4058878265006902	-7817629365113547e-25	12740363605838817e-35
0.145	-40.395743468828414	-0.40589421669968123	-7817194103178052e-25	14526496095220793e-35
0.15	-40.41336881968655	-0.40590131252852835	-7816747105418138e-25	16330618919499786e-35
0.155	-40.432844806988534	-0.4059091874248568	-7816286993469615e-25	18124729449762189e-35
0.16	-40.454365362229545	-0.4059179225021682	-7815812232103698e-25	1989716059026057e-34
0.165	-40.47814465592853	-0.4059276073522624	-7815321111577712e-25	21656196073534107e-35
0.17	-40.504419191593584	-0.405938340930792	-7814811727870742e-25	2343014558931249e-34
0.175	-40.533450112308316	-0.4059502325345241	-7814281960525796e-25	25265165081106547e-35
0.18	-40.565525740616714	-0.4059634028794922	-7813729447776557e-25	272230941065419e-33
0.185	-40.600964374217696	-0.4059779852903206	-7813151558591443e-25	2938116945820656e-34
0.19	-40.64011736189319	-0.40599412701188065	-7812545361208771e-25	31834094211816264e-35
0.195	-40.68337248613139	-0.40601199065557986	-781190758767452e-24	3469773961035626e-34
0.2	-40.731157681024925	-0.4060317557936281	-7811234593808462e-25	3811360435078004e-34
0.205	-40.78394511624043	-0.4060536207159547	-781052231393529e-24	42253977342052643e-35
0.21	-40.84225568014318	-0.4060778043658273	-7809766210746174e-25	2281052879822382e-34
0.215	-40.906663897444524	-0.4061045484715289	-7808961213361542e-25	2321553588544903e-34
0.22	-40.97780331906323	-0.406134119893094	-7808101655215894e-25	2282389280371017e-34
0.225	-41.056372424133926	-0.4061668132046925	-7807181197255891e-25	24302012951437524e-35
0.23	-41.14314107621523	-0.40620295353493907	-7806192741905702e-25	25998865944481532e-35
0.235	-41.238957577674995	-0.40624289968930816	-7805128334666741e-25	27965523877922398e-35
0.24	-41.344756367811954	-0.4062870475805025	-7803979051343349e-25	30264579280118626e-35
0.245	-41.46156641143614	-0.4063358339947982	-7802734868532855e-25	3297628050543425e-34
0.25	-41.590520325128075	-0.40638974072405043	-780138451459717e-24	36205308413869723e-35
0.255	-41.7328642881033	-0.4064492990951805	-7799915297828092e-25	40088225742502733e-35
0.26	-41.88996878320737	-0.40651509493071203	-7798312919580448e-25	24631303872848466e-35
0.265	-42.06334021076171	-0.4065877739755994	-7796561207155429e-25	32197604659205046e-36
0.27	-42.25463341344201	-0.4066680478271876	-7794641882242989e-25	37804050463508344e-36
0.275	-42.46566514358031	-0.40675670040619916	-7792534245980679e-25	4586508123406221e-35
0.28	-42.698428494786135	-0.406854595007406	-7790214815082691e-25	5706662722183069e-35
0.285	-42.95510830690615	-0.406962681968593	-7787656902346654e-25	7227089344017998e-35
0.29	-43.238097536404084	-0.40708200699567204	-7784830127284634e-25	9257116313626802e-35
0.295	-43.55001456237722	-0.40721372017963997	-7781699844617303e-25	11936597733165595e-35
0.3	-43.893721370716946	-0.4073590857375905	-7778226476252175e-25	15445740952464886e-35
0.305	-44.2723425243223	-0.4075194925046482	-7774364729948127e-25	20017952753389097e-35
0.31	-44.68928478452101	-0.4076964651952903	-7770062685079792e-25	25956550211610228e-35
0.315	-45.14825719686442	-0.4078916764418462	-7765260722792361e-25	3365653973086925e-34
0.32	-45.65329139168332	-0.408106959602305	-7759890276858367e-25	18611011074857968e-35
0.325	-46.208761775119804	-0.40834432230983	-7753872362628001e-25	24263989187103403e-35
0.33	-46.819405198320354	-0.40860596070991073	-7747115876059146e-25	8607630240466759e-35
0.335	-47.490339590067244	-0.40889427429719616	-7739515591471999e-25	1123676420209876e-34
0.34	-48.227080920512435	-0.4092118812209731	-7730949843397813e-25	14746678119545393e-35
0.345	-49.03555773051126	-0.4095616338736948	-7721277825890246e-25	19453433348932055e-35
0.35	-49.922122312788865	-0.4099466345090703	-771033646585947e-24	2579439109447918e-34
0.355	-50.893557469187606	-0.4103702505515703	-7697936814101744e-25	3437783585648405e-34
0.36	-51.95707759545407	-0.41083612915575657	-7683859897869953e-25	4422221438394137e-34
0.365	-53.120322666011305	-0.41134821044738334	-7667851979801017e-25	9986086904391551e-35
0.37	-54.39134351282983	-0.4119107387255321	-7649619173010994e-25	1394430139333283e-34
0.375	-55.778576624567826	-0.4125282707227289	-762882137139779e-24	195224642454061e-33
0.38	-57.290806547368994	-0.4132056798041442	-7605065472018443e-25	2740661862872792e-34
0.385	-58.93711386351989	-0.4139481547350171	-7577897892501763e-25	3858566498547022e-34
0.39	-60.726806678650355	-0.4147611913553052	-754679642648769e-24	9859791342362141e-35
0.395	-62.66933358606737	-0.41565057517289394	-7511161530021967e-25	14052150887268397e-35
0.4	-64.77417622481238	-0.4166223525239787	-7470307217917774e-25	20125076950206347e-35
0.405	-67.05071983479004	-0.4176827875597634	-7423451831511715e-25	28961582147271715e-35
0.41	-69.50810066627918	-0.4188383019154504	-7369709075311321e-25	4187876236019006e-34
0.415	-72.15502974822913	-0.4200953935238234	-7308080000821024e-25	11881416928495446e-35
0.42	-74.99959337893453	-0.42146053068256634	-7237446052452555e-25	1778936502122476e-34
0.425	-78.04903178270226	-0.4229400172204148	-7156565318529264e-25	2669922157765615e-34
0.43	-81.3094986690295	-0.4245398244915115	-7064072045458287e-25	4018482774431547e-34
