L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t      E   mag_x   max_z   corr    err     entropy
0.025   -63.30118727968702  -0.6465511728132064 -6803154286439378e-22   -0.1756649765281826 36168657561862463e-36   0.5246804621935633
0.05    -63.30118172072425  -0.6465510335362897 -32416744024719154e-22  -0.1756616975479119 1877050228096872e-36    0.5247663550590596
0.075   -63.30117271745829  -0.6465507976787125 -87517448921642e-19 -0.17565845325177068    21699578860774123e-36   0.5248499028060447
0.1 -63.301160823841926 -0.6465504558289509 -1876543717360239e-20   -0.1756552598963966 1873045027244065e-36    0.5249299561217655
0.125   -63.30114720234971  -0.6465499844865225 -35488396720460956e-21  -0.1756521334523943 1849442716726909e-36    0.5250054165517507
0.15    -63.301134144842315 -0.6465493315912628 -6196294218532516e-20   -0.17564908916854385    18215834165189902e-37   0.5250752520666111
0.175   -63.3011259122903   -0.6465483924082571 -0.00010226377661742471 -0.17564614065182776    17921590760571616e-37   0.5251385116830544
0.2 -63.30112994842125  -0.6465469725623363 -0.00016168274624074011 -0.17564329809192722    1764662451457749e-36    0.5251943389915017
0.225   -63.301158406012995 -0.6465447366238902 -0.00024687371684414214 -0.17564056508442466    1781272220850952e-36    0.5252419844857016
0.25    -63.30122969649905  -0.6465411448204299 -0.00036592190410993433 -0.17563793333014946    18051849221056e-34  0.5252808166325682
0.275   -63.30136943531028  -0.6465353877270213 -0.0005282987218622807  -0.17563537438665755    1844680743534768e-36    0.5253103316490851
0.3 -63.30160977811308  -0.6465263384911812 -0.0007446653994191738  -0.17563282774631148    19143090603075565e-37   0.525330161947551
0.325   -63.301985892377125 -0.6465125516388679 -0.0010264977752338044  -0.17563018496704108    21706335421282436e-36   0.5253400831458459
0.35    -63.30252842730712  -0.6464923421086998 -0.0013855212733173145  -0.17562727048354612    2211825453314376e-36    0.5253400193978894
0.375   -63.30325156885276  -0.6464639722885723 -0.0018329681092996077  -0.17562382114291547    22437084076018762e-37   0.5253300465792848
0.4 -63.30413767758155  -0.6464259545018939 -0.0023786955996291017  -0.17561946820961102    22053389445248776e-36   0.5253103925992927
0.425   -63.30512138145376  -0.6463774423720899 -0.003030230966569485   -0.17561372719505913    24252945259387618e-37   0.5252814338769357
