L= 50  beta= 0.0  t_max= 10.0  steps= 2000  D= 200  prec= 1.0e-20  delta= 0.01  [J0,h0,g0]= [1.0, -0.525, 0.25]  rate= 0.6
# t      E   mag_x   max_z   corr    err     entropy
0.025   -52.71508222342385  0.24929903052438304 -0.8843145785637807 -0.9191189218195293 207806653996529e-33 0.18218234975322226
0.05    -52.711457636565356 0.2492972913439381  -0.8843149522899435 -0.9191196993870208 12741896567869431e-35   0.1821879270879188
0.075   -52.70774050099629  0.24929278002072822 -0.884315923944958  -0.9191217227527617 9614507741638792e-35    0.1821934871515376
0.1 -52.70393734164444  0.24928417705678846 -0.8843177790104196 -0.9191255909812308 3654361871212476e-35    0.18219901897418392
0.125   -52.70005507744264  0.24927018735416562 -0.8843207980482589 -0.919131897845858  12529661527666337e-37   0.182204510730853
0.15    -52.69610100191942  0.2492495602761427  -0.8843252525985915 -0.9191412247869819 12393594907157081e-37   0.18220994895958453
0.175   -52.69208276129818  0.24922110906018125 -0.8843314012120586 -0.9191541340328108 1225147288551747e-36    0.18221531781889885
0.2 -52.68800833016535  0.24918372927513693 -0.8843394856776465 -0.9191711619734579 12106622118283719e-37   0.18222059840469057
0.225   -52.683885984810985 0.24913641603242526 -0.8843497275033033 -0.9191928128735405 11964359071695146e-37   0.18222576814536745
0.25    -52.67972427435116  0.2490782796825071  -0.8843623247020933 -0.9192195530025872 11831816466891229e-37   0.18223080029250893
0.275   -52.675531989800795 0.24900855975448546 -0.8843774489314858 -0.9192518052557173 1179036295415386e-36    0.1822356635216863
0.3 -52.67131813126665  0.2489266369267798  -0.8843952430269824 -0.9192899443284736 11716305168107027e-37   0.1822403216562105
0.325   -52.667091873473375 0.24883204285055438 -0.8844158189647472 -0.9193342925010652 11684235115521591e-37   0.1822447335232972
0.35    -52.66286252985137  0.24872446768400724 -0.8844392562805122 -0.919385116077152  1170848791276128e-36    0.18224885294956747
0.375   -52.65863951543779  0.24860376523423958 -0.8844656009644367 -0.9194426225124799 11803257067619403e-37   0.1822526288993348
0.4 -52.65443230885566  0.2484699556434515  -0.8844948648437208 -0.9195069582577112 11180043586677156e-36   0.1822560057563706
0.425   -52.65025041365672  0.248323225597019   -0.884527025456815  -0.9195782073294202 1219871097660894e-36    0.18225892374610564
0.45    -52.646103319310654 0.2481639260717356  -0.8845620264150458 -0.9196563906121651 12390081065436108e-37   0.18226131949264984
0.475   -52.64200046213942  0.24799256768270747 -0.8845997782398841 -0.919741465884438  1246899464992423e-36    0.1822631267016485
0.5 -52.63795118648686  0.24780981372603803 -0.8846401596564688 -0.9198333285507576 12411740806054798e-37   0.18226427695740485
0.525   -52.63396470640791  0.24761647105117668 -0.8846830193169735 -0.9199318130527935 1226735263972187e-36    0.18226470062035327
0.55    -52.63005006816343  0.24741347893082832 -0.8847281779211186 -0.9200366949234526 12086032672478914e-37   0.18226432780840357
0.575   -52.6262161137811   0.24720189612719642 -0.8847754306950413 -0.9201476934395834 11904608360022692e-37   0.18226308944430228
0.6 -52.622471445932035 0.24698288638037805 -0.8848245501848467 -0.9202644748217501 117501190063524e-35 0.1822609183494557
0.625   -52.61882439435508  0.2467577025677928  -0.8848752893166181 -0.9203866559233465 1164249455373408e-36    0.18225775036383424
0.65    -52.61528298403246  0.24652766980195737 -0.8849273846715348 -0.9205138083459995 11585226423763808e-37   0.1822535254708881
0.675   -52.61185490530295  0.2462941677477252  -0.8849805599220023 -0.9206454629143761 11570027339296999e-37   0.18224818890612945
0.7 -52.60854748606299  0.2460586124488429  -0.885034529372988  -0.9207811144402688 11645113246600649e-37   0.18224169222885633
0.725   -52.60536766619714  0.2458224379575606  -0.8850890015526504 -0.9209202267047257 11736283797199983e-37   0.18223399433602705
0.75    -52.602321974326465 0.2455870780596778  -0.8851436827957594 -0.921062237585656  11928773017751854e-37   0.1822250623997313
0.775   -52.59941650696654  0.24535394838135746 -0.8851982807655291 -0.9212065642598549 12284294273036231e-37   0.18221487270972278
0.8 -52.59665691013501  0.24512442915296462 -0.885252507860841  -0.9213526084093986 12879995930882709e-37   0.1822034114050297
0.825   -52.59404836344141  0.24489984888980385 -0.8853060844590975 -0.9214997613655669 13790925328061285e-37   0.18219067508025638
0.85    -52.591595566665774 0.24468146922997486 -0.8853587419485967 -0.9216474091271366 1505301777276551e-36    0.1821766712542862
0.875   -52.58930272880223  0.24447047114603182 -0.8854102255084345 -0.9217949371944133 16613088321730224e-37   0.18216141869176858
0.9 -52.58717355954667  0.24426794272049818 -0.885460296599332  -0.9219417351660163 18320612793653376e-37   0.18214494756999391
0.925   -52.58521126316576  0.24407486864550543 -0.8855087351336433 -0.9220872010513178 19991118488137634e-37   0.18212729948700318
0.95    -52.58341853469582  0.24389212157509543 -0.8855553412993968 -0.9222307452583177 21543472168251506e-37   0.18210852730900895
0.975   -52.58179755839117  0.2437204554250489  -0.8855999370187885 -0.922371794223645  23087303107505544e-37   0.18208869485863402
1   -52.580350008348816 0.24356050068052443 -0.8856423670283938 -0.9225097936589374 24928114832587243e-37   0.18206787644798716
1.025   -52.57907705121033  0.24341276173657572 -0.8856824995744864 -0.9226442113951131 27372156869439753e-37   0.18204615626364987
1.05    -52.577979350860666 0.24327761626174516 -0.8857202267237282 -0.9227745398139595 30511731259991453e-37   0.18202362761291135
1.075   -52.57705707502422  0.24315531654065548 -0.8857554642954472 -0.9229002978637092 3414538050025939e-36    0.18200039204320195
1.1 -52.57630990366108  0.24304599271865268 -0.8857881514281509 -0.9230210326624003 3783497693277194e-36    0.18197655834850637
