# L= 50  beta= [1.0]  t_max= 20.0  steps= 2000
t 	  D= [80]
0.01	-25257223866713174e-21
0.1	-2522893976677741e-20
0.2	-2520124494339081e-20
0.3	-25179610114626007e-21
0.4	-25165970089505803e-21
0.5	-25161874023746148e-21
0.6	-25168236977638884e-21
0.7	-2518496000131614e-20
0.8	-25210471791861513e-21
0.9	-25241277847600807e-21
1	-2527163029077804e-20
1.1	-2529347482284018e-20
1.2	-25296904886760692e-21
1.3	-25271407268145033e-21
1.4	-25208047628458265e-21
1.5	-25102198918187313e-21
1.6	-24955525495994254e-21
1.7	-2477543303381578e-20
1.8	-24571155419244768e-21
1.9	-2434815196312765e-20
2	-24104655354442783e-21
2.1	-23833546106504006e-21
2.2	-2352891141560072e-20
2.3	-23192748815941543e-21
2.4	-2283676617140003e-20
2.5	-22477995204676808e-21
2.6	-2213149072941207e-20
2.7	-21804739740549293e-21
2.8	-21496569866878586e-21
2.9	-2120012005497108e-20
3	-20907295905700965e-21
3.1	-20612765745642224e-21
3.2	-20316221295521828e-21
3.3	-20022427434020787e-21
3.4	-1973994848233729e-20
3.5	-1947791870511602e-20
3.6	-19243404696435653e-21
3.7	-19039757214594028e-21
3.8	-18865554329375814e-21
3.9	-1871463439570183e-20
4	-18578042301511548e-21
4.1	-18450182616994268e-21
4.2	-18340392691356182e-21
4.3	-18283801211215494e-21
4.4	-18343473300475076e-21
4.5	-18598208089211532e-21
4.6	-19119090674977083e-21
4.7	-19964040878747772e-21
4.8	-2117866181324531e-20
4.9	-22745275626030056e-21
5	-2439333560079219e-20
5.1	-25129146305519186e-21
5.2	-22969697911707707e-21
5.3	-15776264204860046e-21
5.4	-22103927065383594e-22
5.5	18576059002101754e-21
5.6	4899294338634944e-20
5.7	9333939868103917e-20
5.8	0.0001529781223638478
5.9	0.000222889257035156
6	0.00029931596108318843
6.1	0.00038884000661049145
6.2	0.0004987384171758844
6.3	0.000612616502494729
6.4	0.0006777658973634079
6.5	0.0006247860973283138
6.6	0.00040959758649433356
6.7	3039910754781388e-20
6.8	-0.0004931851888965075
6.9	-0.001133524076210735
7	-0.001848738096802845
7.1	-0.0025760353233540405
7.2	-0.0032436944540758465
7.3	-0.003800077031491507
7.4	-0.004236769742626366
7.5	-0.004590622416367635
7.6	-0.004926277700096356
7.7	-0.005313707731984699
7.8	-0.005822437571225894
7.9	-0.006533780964842192
8	-0.00753935977721254
8.1	-0.00890043564042814
8.2	-0.010597063968332321
8.3	-0.012524117218834896
8.4	-0.014544602654884895
8.5	-0.01655747993124431
8.6	-0.018538365879317904
8.7	-0.020541539204985176
8.8	-0.022671275146791858
8.9	-0.025046287990559423
9	-0.02778544103929532
9.1	-0.031013422414045127
9.2	-0.03485933858232505
9.3	-0.03943044860963476
9.4	-0.04476547927471505
9.5	-0.05079433970231881
9.6	-0.0573394052833554
9.7	-0.06416706872484848
9.8	-0.07105917432359475
9.9	-0.0778550636124953
10	-0.08442771959829712
10.1	-0.09061404526509942
10.2	-0.09617708277446273
10.3	-0.10083613646512332
10.4	-0.10432279098377763
10.5	-0.10643981026569402
10.6	-0.10713490563245798
10.7	-0.1065466723056966
10.8	-0.10494606457554047
10.9	-0.10258538560513543
11	-0.09956015568122022
11.1	-0.09579941482070443
11.2	-0.09120997499861404
11.3	-0.0858470696845167
11.4	-0.07994637608106157
11.5	-0.07379832390063848
11.6	-0.06760634255979749
11.7	-0.06146309425408574
11.8	-0.05542315636899747
11.9	-0.04955803509920061
12	-0.0439540703704294
12.1	-0.03870840521952329
12.2	-0.03394710092309345
12.3	-0.0298164802340263
12.4	-0.02643354462716526
12.5	-0.023854528599059538
12.6	-0.022086524950492264
12.7	-0.021089590180708336
12.8	-0.02074284370913926
12.9	-0.020827071420649854
13	-0.0210769190497598
13.1	-0.02128153166079433
13.2	-0.021362601133402555
13.3	-0.021383612822896185
13.4	-0.021495811791402593
13.5	-0.02185846856549092
13.6	-0.022573559105392632
13.7	-0.02365661273071286
13.8	-0.025045953491783162
13.9	-0.026636447205127846
14	-0.02831979685240685
14.1	-0.030018588417912512
14.2	-0.031700666096903196
14.3	-0.033365281507545926
14.4	-0.035012334617994106
14.5	-0.03661666852742623
14.6	-0.03811999315266943
14.7	-0.0394407268187592
14.8	-0.04049418297507914
14.9	-0.04121029611093215
15	-0.041543197545230656
15.1	-0.041483587716878406
